station_id,channel,observable_value,epoch_utc,t_days,beta_dyn_template,beta_lt_template,scale_by_row,fit_scaled,value_scaled,residual_norm
25,doppler,-2741.159912109375,2011-01-03 16:00:00+00:00,0.0,0.21905471327791443,0.0,0.6354647372245787,-263.81489780216236,-4313.630248125987,-4049.815350323825
25,range,146331.3441834238,2011-01-03 17:00:00+00:00,0.041666666666666664,0.0,1.3078286020691818,215738.32965895667,2.5240082187718,0.6782816220684902,-1.8457265967033099
25,doppler,0.0504107475280761,2011-01-03 17:20:00+00:00,0.05555555555555555,0.21508667297321873,0.0,0.6354647372245787,-265.35027158748153,0.07932894553401554,265.42960053301556
25,range,793457.1621923144,2011-01-03 18:00:00+00:00,0.08333333333333333,0.0,1.3078153169146,215738.32965895667,2.5240042889810974,3.6778682927907473,1.15386400380965
25,doppler,0.04673385620117185,2011-01-03 18:40:00+00:00,0.1111111111111111,0.21111869514692805,0.0,0.6354647372245787,-266.8856204840672,0.07354280019578127,266.95916328426296
25,range,740668.3450922193,2011-01-03 19:00:00+00:00,0.125,0.0,1.307793175121035,215738.32965895667,2.524000153890076,3.433179195663015,0.9091790417729393
25,range,389331.9719145695,2011-01-03 20:00:00+00:00,0.16666666666666666,0.0,1.3077621768845917,215738.32965895667,2.523995813503281,1.8046490511446576,-0.7193467623586234
25,doppler,0.0461511611938476,2011-01-03 20:00:00+00:00,0.16666666666666666,0.20715084227646355,0.0,0.6354647372245787,-268.42091960357766,0.07262584135732678,268.49354544493497
25,range,781613.585027178,2011-01-03 21:00:00+00:00,0.20833333333333334,0.0,1.3077223224798153,215738.32965895667,2.523991267827077,3.622970411714821,1.0989791438877439
25,doppler,0.0486059188842773,2011-01-03 21:20:00+00:00,0.2222222222222222,0.20318317683727904,0.0,0.6354647372245787,-269.9561440584551,0.07648877433634771,270.0326328327914
34,doppler,0.00104188919067375,2011-01-05 16:00:00+00:00,2.0,0.07669022596940836,0.0,0.6354647372245787,-77.9097379116435,0.0016395704271872718,77.91137748207069
34,doppler,-2629.057861328125,2011-01-05 17:20:00+00:00,2.0555555555555554,0.07276372371760237,0.0,0.6354647372245787,-79.42856470716981,-4137.220694275901,-4057.7921295687315
