source_file,parse_status,n_rows_raw,n_rows_valid,note
data/mercury/messenger/data-tnf/2012/120050610sc236dss65_tnf.dat,pass,26467,26451,tnf_decode_ok_dop=26439_rng=12
data/mercury/messenger/data-tnf/2012/120051320sc236dss15_tnf.dat,pass,11118,11113,tnf_decode_ok_dop=11101_rng=12
data/mercury/messenger/data-tnf/2012/120060615sc236dss54_tnf.dat,pass,27327,27319,tnf_decode_ok_dop=27294_rng=25
data/mercury/messenger/data-tnf/2012/120061335sc236dss25_tnf.dat,pass,9130,9125,tnf_decode_ok_dop=9116_rng=9
data/mercury/messenger/data-tnf/2012/120070620sc236dss54_tnf.dat,pass,27281,27276,tnf_decode_ok_dop=27247_rng=29
data/mercury/messenger/data-tnf/2012/120071335sc236dss24_tnf.dat,pass,7743,7738,tnf_decode_ok_dop=7732_rng=6
data/mercury/messenger/data-tnf/2012/120080415sc236dss34_tnf.dat,pass,7778,7778,tnf_decode_ok_dop=7778_rng=0
data/mercury/messenger/data-tnf/2012/120080620sc236dss54_tnf.dat,pass,27207,27196,tnf_decode_ok_dop=27169_rng=27
data/mercury/messenger/data-tnf/2012/120081335sc236dss26_tnf.dat,pass,6272,6267,tnf_decode_ok_dop=6267_rng=0
data/mercury/messenger/data-tnf/2012/120091650sc236dss15_tnf.dat,pass,17218,17203,tnf_decode_ok_dop=17198_rng=5
data/mercury/messenger/data-tnf/2012/120092105sc236dss34_tnf.dat,pass,20821,20816,tnf_decode_ok_dop=20786_rng=30
data/mercury/messenger/data-tnf/2012/120101800sc236dss25_tnf.dat,pass,5560,5555,tnf_decode_ok_dop=5555_rng=0
data/mercury/messenger/data-tnf/2012/120101920sc236dss45_tnf.dat,pass,23390,23380,tnf_decode_ok_dop=23347_rng=33
data/mercury/messenger/data-tnf/2012/120111500sc236dss25_tnf.dat,pass,23085,23076,tnf_decode_ok_dop=23065_rng=11
data/mercury/messenger/data-tnf/2012/120112100sc236dss34_tnf.dat,pass,18336,18331,tnf_decode_ok_dop=18306_rng=25
data/mercury/messenger/data-tnf/2012/120121435sc236dss26_tnf.dat,pass,18095,18087,tnf_decode_ok_dop=18083_rng=4
data/mercury/messenger/data-tnf/2012/120121915sc236dss45_tnf.dat,pass,22768,22763,tnf_decode_ok_dop=22730_rng=33
data/mercury/messenger/data-tnf/2012/120131410sc236dss26_tnf.dat,pass,26063,26056,tnf_decode_ok_dop=26038_rng=18
data/mercury/messenger/data-tnf/2012/120132105sc236dss45_tnf.dat,pass,14835,14830,tnf_decode_ok_dop=14810_rng=20
data/mercury/messenger/data-tnf/2012/120141415sc236dss25_tnf.dat,pass,26143,26135,tnf_decode_ok_dop=26115_rng=20
data/mercury/messenger/data-tnf/2012/120142115sc236dss43_tnf.dat,pass,9067,9062,tnf_decode_ok_dop=9052_rng=10
data/mercury/messenger/data-tnf/2012/120151415sc236dss25_tnf.dat,pass,26399,26389,tnf_decode_ok_dop=26368_rng=21
data/mercury/messenger/data-tnf/2012/120152110sc236dss43_tnf.dat,pass,13117,13112,tnf_decode_ok_dop=13095_rng=17
