arc_id,n_points,intercept_hz,drift_hz_per_s,rms_hz,status
2011-01-03,314,-53648.126612678905,58.75654985265052,7909252.5431991285,pass
2011-01-05,240,220411.33531471726,-22.051260505558037,134379.58236857926,pass
2011-01-07,321,156359.46032875552,-11.829055450033868,114997.53078170767,pass
2011-01-08,95,1254.9515586759353,0.45952533292229625,2.2887458038235025,pass
2011-01-10,437,547916.5683845292,-14.689938083014102,6712854.612726827,pass
2011-01-12,332,1709054.5721573331,-122.73222217644091,7686327.724509836,pass
2011-01-13,137,1676905.5435604579,-101.60699016627076,11947626.498558903,pass
2011-01-14,245,172355.85676231483,-16.279879645317337,92488.52054563822,pass
2011-01-17,261,115346.31830683898,-10.613639509683031,72161.73348758965,pass
2011-01-19,435,-181773.3129639895,40.121541600510795,6722321.109859379,pass
2011-01-20,239,115254.68020045372,-11.184173084931821,63994.59433651259,pass
2011-01-21,310,-659796.1904337382,121.8634225880512,7940320.89040356,pass
2011-01-22,41,919.6811365234148,0.5057848053471948,2.5701301556677247,pass
2011-01-23,242,91376.84703434742,-8.582752795827165,49261.25296118931,pass
2011-01-28,84,102125.2740301011,-26.55283552478354,26860.49788890061,pass
2011-01-29,830,10017.148330476091,5.341828089919405,6887744.0099303555,pass
2011-01-30,241,44847.52445674757,75.14662497595714,9027216.678288601,pass
2011-01-31,299,27790.8863371573,-1.9938289821728945,17639.336176946646,pass
2011-02-01,394,-137684.98809894323,42.21018212562482,7064415.180372409,pass
2011-02-03,3708,5416.775446710498,-0.10237796951959323,4428.917842844415,pass
2011-02-04,4687,980720.1059985433,-52.68240055382549,24626363.34072074,pass
2011-02-07,4654,-18429.205191070436,1.2825461463796444,12222.72110440671,pass
2011-02-08,4282,-18631.282919104244,1.4331461154016878,15547.728421093601,pass
2011-02-09,5805,-58219.50697647706,23.78355198077933,22130455.906815827,pass
2011-02-10,3135,375785.20591070206,16.85319784790943,30113703.28783758,pass
2011-02-11,5712,-22626.372480898935,1.3048529648428213,23227.90596043415,pass
2011-02-12,612,-123033.67223765014,-0.668009671337804,6685.509507451072,pass
2011-02-13,2973,-83486.57683274148,7.843982731882101,39153.102367454485,pass
2011-02-14,2878,-80460.22549851266,8.2790885678585,42976.80332777403,pass
2011-02-15,4194,-63826.29715211382,4.605863213506834,45855.3820493868,pass
2011-02-16,3951,-100668.85721986875,7.457674103202445,54746.1567279768,pass
2011-02-17,5521,-96285.59027009981,25.30258293685538,22693428.68613857,pass
2011-02-18,2943,1425897.1040517688,-119.59036177225069,31076552.276252225,pass
2011-02-20,298,-282275.5339226136,-0.7436414801941942,7482.198901026774,pass
2011-02-21,3776,-321944.98669736367,3.7450998103361655,88301.05501700696,pass
2011-02-22,4618,-512528.61695206765,13.64695095122069,24812560.07493675,pass
2011-02-23,3786,-149257.47871123714,11.585466849637028,95098.8254274208,pass
2011-02-24,5549,-176809.77909769566,8.903356310617712,104271.91887276394,pass
2011-02-25,4191,-59675.25375065927,-3.9174362729132355,181405.1775516271,pass
2011-02-26,3536,-71735.6933751828,-6.493730503567093,206306.8636139055,pass
2011-02-27,3568,-446372.7428196285,32.54184725217334,136537.28362800463,pass
2011-02-28,4660,-119086.51192041962,3.737022984528679,185586.4989449981,pass
2011-03-01,3033,-572433.0243196514,6.433760827515595,170657.20994241792,pass
2011-03-02,5200,427279.98738471494,-2.06927714839029,23385637.70533331,pass
2011-03-03,3376,-600741.5395758452,6.8293317377611364,207876.22961606982,pass
2011-03-04,5065,-887157.6639274963,79.09681010370812,23691569.289040945,pass
2011-03-05,3419,-588710.2738229883,6.128393124585568,264037.09200699645,pass
2011-03-06,2116,-64024.06978765862,-1.739542702819109,315630.8706559068,pass
2011-03-07,11093,955802.6477747888,-4.169591012543938,41197156.10632263,pass
2011-03-08,17728,259935.780784404,-4.13310781090701,12666177.110451275,pass
2011-03-09,16489,244761.64922739269,-0.2973079023071507,22749022.359647598,pass
2011-03-10,17582,-114256.93653342567,4.240545072756252,12719551.249639362,pass
2011-03-11,17178,-419898.7778599222,24.202046890674428,34032270.00113182,pass
2011-03-12,18148,113715.38560751853,1.6724850742107267,17704042.070421953,pass
2011-03-13,18242,-4015.4905230675517,0.030733876842819138,49784.837603063344,pass
2011-03-14,17343,-444164.5295662899,12.424568704023184,18111591.072665025,pass
2011-03-15,18401,636289.0616860279,-9.040204875681146,21533117.47062362,pass
2011-03-16,24294,199503.34264932174,1.197895563970188,21640873.723436315,pass
2011-03-17,42185,275810.2413439141,0.9230836442870677,23223876.494566754,pass
2011-03-18,42579,-46404.30965179796,7.791823657511043,14155266.49554187,pass
2011-03-19,13797,-69367.18619001826,5.3353904551322415,14357633.873546567,pass
2011-03-20,16542,-124968.0211161711,5.792107807253184,13112303.19762803,pass
2011-03-21,12716,-202918.27477805025,3.4423180611983986,24215537.53188127,pass
2011-03-22,13140,407880.8874443969,-5.634199407232373,14713252.169068806,pass
2011-03-23,14219,465715.17555702,-4.409652262702553,20001121.68513864,pass
2011-03-24,15648,-193364.69910746202,6.640713052380945,13481676.713099862,pass
2011-03-25,15690,285578.4536057921,0.8935048848262097,23319066.92215187,pass
2011-03-26,15876,145856.61942638524,1.6123795406569437,18928558.73070204,pass
2011-03-27,15979,-11437.3478131666,0.2915137853135448,90701.42449420845,pass
2011-03-28,7320,100971.23672923057,1.8837517562157622,19712556.427777685,pass
2011-03-29,6879,-76294.64452953072,1.3098035744175065,185807.6968823562,pass
2012-01-04,6711,67372.7738775968,15.414619659263519,20589126.864745047,pass
2012-01-05,7421,846496.6127593552,-29.766347900701646,19571256.912541088,pass
2012-01-06,7198,176285.4501129724,-5.793348713954627,186624.96250320558,pass
2012-01-07,6905,160816.21803433888,-5.196171742299407,182084.0468292458,pass
2012-01-08,8148,130475.6064019628,-2.7479692006156293,186030.37636402692,pass
2012-01-09,4757,223852.93760193526,15.200023039025325,24445249.686729107,pass
2012-01-10,6479,7586.614485690216,0.42510554959112584,111692.84618008812,pass
2012-01-11,7944,20429.317268373306,0.05008992495703084,100393.59737176758,pass
2012-01-12,8373,-19130.773229091923,4.358504514487626,18426256.528153982,pass
2012-01-13,8384,24180.16727874218,-0.0014162921184306908,96085.55174349416,pass
2012-01-14,7972,-140271.59348558148,6.403271872120563,18883761.569288477,pass
2012-01-15,7022,57140.171985894594,-0.5144910981428652,80179.34177974101,pass
2012-01-16,8007,1271995.453343714,-17.23618998691441,18837830.702461038,pass
2012-01-17,8187,547772.0952900272,-4.779509655410137,18635721.92373719,pass
2012-01-18,7604,-49457.357797704026,4.990921833724914,19336206.71593531,pass
2012-01-19,6426,49588.885870377446,15.580525065813934,21033346.977793563,pass
2012-01-20,8159,291442.1504505517,-3.2633600454816163,18668223.324732292,pass
2012-01-21,7044,-16318.779229776608,4.7138760190267694,90912.12672887815,pass
2012-01-22,5810,55313.04078419954,-2.894366150302948,44702.17436192569,pass
2012-01-23,7265,23616.942165608816,4.100688828474098,19782153.655385803,pass
2012-01-24,5456,39855.5298821036,-2.257859449816352,33366.1146721447,pass
2012-01-25,6240,221205.67509701187,3.324638621009949,21346792.234923128,pass
2012-01-26,7746,1085124.0006673583,-14.722650756987848,19154528.601207826,pass
2012-01-27,6994,1361206.1455851533,-18.913539893544474,20157258.59456684,pass
2012-01-28,7531,207419.28678222472,0.2552810636516499,19430311.22106786,pass
2012-01-29,8253,-155793.6268956599,5.821775626016832,18561983.616024546,pass
2012-01-30,7601,6451.455195988241,-0.5262504857605368,11956.015049884674,pass
2012-01-31,7374,-3817.410461868078,0.03499735567319029,17361.561431568825,pass
2012-02-01,8387,-2486.618041550471,0.10011484063397846,33937.48685291852,pass
2012-02-02,6982,483.5676729538257,0.14986061790623986,56863.54591846819,pass
2012-02-03,7516,12880.370149986635,-1.4356272744328271,33011.26449108053,pass
2012-02-04,7991,590963.2126408592,-7.267365319453066,26675083.244800206,pass
2012-02-05,7170,2549.5080312953964,-0.6585530553652107,36718.21794092429,pass
2012-02-06,5916,334266.5513239637,-3.5837551056345798,21922970.603541713,pass
2012-02-07,7520,810253.1854813895,-32.59359561343209,19442519.487319537,pass
2012-02-08,8098,-38554.1345125582,1.1529828849848058,49554.2815200212,pass
2012-02-09,7295,-30043.055136524817,-0.2175642586112124,91609.95283000874,pass
2012-02-10,6854,-320880.0802948082,14.345433615486916,20367903.7931116,pass
2012-02-11,8941,324978.0655568248,0.7467893431458831,25220036.468460146,pass
2012-02-12,7170,-22457.670297472538,5.256072371290861,19914156.272109,pass
2012-02-13,7039,-103042.78587212376,1.2876671870224445,107460.53084032686,pass
2012-02-14,6646,-100136.73950279012,15.259156503160595,35819267.04041995,pass
2012-02-15,6199,545245.791055214,4.12632574185438,37090735.968634024,pass
2012-02-16,5780,-17869.509371438824,0.17514605522380944,55840.03028950596,pass
2012-02-17,5783,-24066.93390559034,0.22833263496889294,61370.19264375822,pass
2012-02-18,4810,386478.5395764045,-0.701936894712072,24314380.102202427,pass
2012-02-19,5652,-33785.30303134094,0.30644691265032076,73759.03269501745,pass
2012-02-20,5324,-27174.49612887259,0.9577627971383608,80418.5473154114,pass
2012-02-21,5337,-458055.83715569193,58.614402010219244,23079617.74404444,pass
2012-02-22,5261,-26114.027341593523,0.6925759313187189,90781.70695629132,pass
2012-02-23,6477,4543398.277172572,-62.540649001131754,45004215.95078884,pass
2012-02-24,8159,137887.83023935856,0.23728980908532415,18672139.168198455,pass
2012-02-25,6257,-61299.84864808821,-0.2061785065124187,256431.04541190245,pass
2012-02-26,5514,-250045.60839140954,3.583042634191469,22705130.55713862,pass
2012-02-27,4947,-286413.78823657136,16.43815489728227,262742.44132821256,pass
2012-02-28,6455,-113060.10131466534,20.037400093012423,20992312.231199525,pass
2012-02-29,5971,955633.1717498571,-32.301055869571364,21823173.181270443,pass
2013-01-02,1361,28482.49774914097,4.46906708201297,98383.68978059375,pass
2013-01-03,8514,5712.161526183623,0.22090501898927933,46431.27976384181,pass
2013-01-04,7936,-47392.45850506339,12.011606179299534,18927131.613746647,pass
2013-01-05,9660,25873.31943912407,0.07407182797228722,47122.26311161529,pass
2013-01-06,8366,-223251.6599951352,7.898824176660082,18434305.32668376,pass
2013-01-07,5178,3174.0860540760555,0.38663593427704257,27263.51868315888,pass
2013-01-08,8871,28933.74830550245,-1.3290348163994037,10706.828846481336,pass
2013-01-09,8845,242549.53094547236,3.9521104942210687,25354048.605729233,pass
2013-01-10,10898,505283.00776521233,-0.5614233319154481,27975378.464678653,pass
2013-01-11,6799,-252704.23594601464,26.516403910050347,20447795.195334025,pass
2013-01-12,4033,-2203.133460685288,1.3502318506163489,24868.621356485695,pass
2013-01-13,8987,-1238.8164589883047,0.19215665449819064,27273.863772824057,pass
2013-01-14,4736,2732901.6352565535,-33.784287431953864,34638851.250978746,pass
2013-01-15,5004,-218810.72597890891,97.63555288983011,41272093.621563725,pass
2013-01-16,8527,18651.96354340242,-0.17288836220001952,48512.97516141949,pass
2013-01-17,5399,1015738.2184393625,-51.40599684184124,22945247.04384909,pass
2013-01-18,4687,-26001.07122315701,-0.5744854252407181,89601.28745325652,pass
2013-01-19,9959,56620.325095471315,2.182417402966787,16897903.50936036,pass
2013-01-20,5731,1363451.230126671,-3.4399077215847886,44538052.030768625,pass
2013-01-21,6569,1676051.9422328796,-23.10321471279153,20797657.55722866,pass
2013-01-22,5416,23452.024264440064,3.416754517303894,22914108.859702747,pass
2013-01-23,8251,499683.07470513514,-2.302943680632766,26253239.11544643,pass
2013-01-24,4859,-911442.4039974222,156.71322095035032,41876211.68965167,pass
2013-01-25,6191,-590016.8058047544,14.315121408052466,21430597.270921428,pass
2013-01-26,3279,436184.073615238,5.727961427649035,29447424.876855332,pass
2013-01-27,3234,-175833.18824107846,16.242211198694307,129227.61629628768,pass
2013-01-28,4228,-177679.69184725385,15.036193768551648,124055.32089490145,pass
2013-01-29,3139,-989296.2459571508,187.09817315885405,30085604.721357137,pass
2013-01-30,2662,-245162.4312490599,27.39078294070883,160725.6575995475,pass
2013-01-31,6513,558956.7360554368,-8.431835014150883,20896599.158467855,pass
2013-02-01,7239,-102140.96488064296,1.8888221407257157,194775.99925614224,pass
2013-02-02,4191,-431825.6396625516,77.72557156759662,26045696.53999687,pass
2013-02-03,3605,-140523.30303492877,44.960700030881405,28089450.693817437,pass
2013-02-04,3537,1166486.420354927,-85.33904831460582,28352689.993917227,pass
2013-02-05,3949,-507451.66864212975,88.02416692977538,26831646.628846634,pass
2013-02-06,5906,-105737.46748100764,0.6458923853055923,265997.5527623075,pass
2013-02-07,2888,-1140554.710521034,226.66878957460648,31366900.81502551,pass
2013-02-08,7348,973891.430276986,-14.278026274277957,34072882.105206944,pass
2013-02-09,6446,-1245874.5674379978,34.04240057023289,29699881.35018158,pass
2013-02-10,6351,-499493.47168140317,6.413344250545426,348216.6180472883,pass
2013-02-11,5946,1579796.3699874345,-22.839787005812752,21864930.010180604,pass
2013-02-12,5832,3863131.208558728,-45.434112468196275,44135186.087689415,pass
2013-02-13,6647,361739.02995108935,2.574076719715758,29253042.051860683,pass
2013-02-14,4749,-267293.04871661676,16.72370863894891,299218.5796482198,pass
2013-02-15,10338,235497.12071391725,1.3769430597222536,23458883.939292967,pass
2013-02-16,7649,-473907.92519101297,15.570660942593435,27269631.432829525,pass
2013-02-17,5871,-153143.91205142328,7.449113524376661,22012430.1925569,pass
2013-02-18,6132,-295233.87169002055,9.572969752143777,21535932.706409846,pass
2013-02-19,5577,-52234.39615254474,1.1323262123939435,201177.69318929708,pass
2013-02-20,10065,-5894.5782195873,0.9859176779804638,84057.96882302302,pass
2013-02-22,8815,-105504.47339747786,7.4272493723486335,17963722.54995446,pass
2013-02-23,8507,-146605.9734006601,2.6411183170139636,206132.81804974627,pass
2013-02-24,7562,-92256.8403569102,1.7479996295672173,215039.34356230477,pass
2013-02-25,5098,1865394.2779833698,-26.00398864364894,23611248.912783742,pass
2013-02-26,6302,-292537.3220556324,9.970222008237878,21240974.86063517,pass
2013-02-27,7586,1369761.5619134724,-13.346939065568925,33530244.292646345,pass
2013-02-28,4250,-17109.708759723602,6.268668555848383,25865493.51485163,pass
2013-03-01,4463,124413.56313235522,4.15894509610278,25242405.060554694,pass
2014-01-02,1970,864.4834572584432,0.2997362586703833,508.476927669762,pass
