branch,segmentation_type,n_segments_valid,weighted_beta_mean,chi2,dof,chi2_per_dof,status,note
odf,station,6,1.0552448788529571,10.842634417849602,5,2.1685268835699203,pass,ok
odf,link_type,3,1.0261983685424572,3.1246749394674933,2,1.5623374697337467,pass,ok
odf,campaign,2,-23.522957775123942,0.15888716902900935,1,0.15888716902900935,pass,ok
tnf,station,6,-23.057012397853995,12.919808460169877,5,2.5839616920339754,pass,ok
tnf,link_type,2,1.0369185496923736,7.538533939960405,1,7.538533939960405,watch,ok
tnf,campaign,0,nan,nan,0,nan,watch,insufficient_segments_for_consistency
