subset_key,spe_rule,n_rows,n_range_rows,n_doppler_rows,beta_dyn,beta_sigma,beta_z_from_1,rms_range,rms_doppler,fit_status,sigma_status,z_delta_vs_all,status_delta_vs_all
all_rows,SPE finite (baseline),3160,986,2174,333.6397193344582,122.68717453561317,2.7112835599445715,41730543.79449625,2301.5161434293154,pass,watch,0.0,pass
spe_gt_90,SPE > 90 deg (primary),86,24,62,-2760.3718788769293,1894.5177413670572,1.4575592609042354,1356570.0060178293,1175.9933079051145,pass,watch,1.6297256728522187,pass
spe_35_90,35 < SPE <= 90 deg (extended),1438,487,951,-547.6080339141328,371.1762436059674,1.478025717875746,48483219.922813386,2848.0974890902517,pass,watch,2.2542512402139403,watch
spe_gt_35,SPE > 35 deg (operational),1524,511,1013,-258.9138513200077,278.2433673954326,0.9341241581173958,24636772.98606862,2782.7335643418096,pass,watch,1.948604201705479,pass
spe_le_35,SPE <= 35 deg (excluded policy branch),1636,475,1161,-393.77618300692205,145.4236960656355,2.7146620096132326,26672510.217932787,1702.636355975976,pass,watch,3.823202848588992,watch
