source_file,parse_status,n_rows_raw,n_rows_valid,epoch_col,doppler_col,note
data/mercury/messenger/data-odf/collection_mess-rs-raw_odf.csv,watch,1524,0,,,required_columns_not_found
data/mercury/messenger/data-odf/2011/mess_rs_11003_005_odf.dat,pass,569,554,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11007_008_odf.dat,pass,428,416,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11010_013_odf.dat,pass,930,906,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11014_014_odf.dat,pass,251,245,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11017_017_odf.dat,pass,268,261,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11019_020_odf.dat,pass,693,674,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11021_023_odf.dat,pass,609,593,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11028_031_odf.dat,pass,1476,1454,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11032_032_odf.dat,pass,405,394,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11034_035_odf.dat,pass,8413,8395,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11038_039_odf.dat,pass,8957,8936,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11040_044_odf.dat,pass,18276,18237,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11045_046_odf.dat,pass,7088,7072,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11047_048_odf.dat,pass,9492,9472,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11049_053_odf.dat,pass,7341,7326,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11053_054_odf.dat,pass,5343,5332,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11054_058_odf.dat,pass,19647,19607,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11059_2000_odf.dat,pass,10057,10043,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11061_066_odf.dat,pass,23362,23315,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11066_069_odf.dat,pass,50505,50455,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11069_073_odf.dat,pass,70085,70013,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11073_075_odf.dat,pass,42409,42341,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11075_076_odf.dat,pass,21555,21529,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11076_077_odf.dat,pass,5899,5897,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11076_2100_odf.dat,pass,17986,17964,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11076_2230_odf.dat,pass,4471,4469,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11077_0120_odf.dat,pass,3192,3192,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11077_0130_1per1_odf.dat,pass,13462,13462,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11077_0300_odf.dat,pass,5097,5097,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
data/mercury/messenger/data-odf/2011/mess_rs_11077_0430_odf.dat,pass,2160,2158,odf_binary_time_tag,odf_binary_observable,odf_binary_ok_mode=doppler_ref=19500101_000000
