product,year,filename,url,rel_path,status,bytes,note
data-odf,2015,mess_rs_15021_021_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15021_021_odf.xml,data-odf/2015/mess_rs_15021_021_odf.xml,skip,136097,exists
data-odf,2015,mess_rs_15021_022_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15021_022_odf.dat,data-odf/2015/mess_rs_15021_022_odf.dat,skip,193536,exists
data-odf,2015,mess_rs_15021_022_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15021_022_odf.xml,data-odf/2015/mess_rs_15021_022_odf.xml,skip,106218,exists
data-odf,2015,mess_rs_15022_022_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15022_022_odf.dat,data-odf/2015/mess_rs_15022_022_odf.dat,skip,274176,exists
data-odf,2015,mess_rs_15022_022_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15022_022_odf.xml,data-odf/2015/mess_rs_15022_022_odf.xml,skip,121165,exists
data-odf,2015,mess_rs_15022_023_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15022_023_odf.dat,data-odf/2015/mess_rs_15022_023_odf.dat,skip,330624,exists
data-odf,2015,mess_rs_15022_023_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15022_023_odf.xml,data-odf/2015/mess_rs_15022_023_odf.xml,skip,136095,exists
data-odf,2015,mess_rs_15024_026_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15024_026_odf.dat,data-odf/2015/mess_rs_15024_026_odf.dat,skip,403200,exists
data-odf,2015,mess_rs_15024_026_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15024_026_odf.xml,data-odf/2015/mess_rs_15024_026_odf.xml,skip,151048,exists
data-odf,2015,mess_rs_15027_027_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15027_027_odf.dat,data-odf/2015/mess_rs_15027_027_odf.dat,skip,32256,exists
data-odf,2015,mess_rs_15027_027_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15027_027_odf.xml,data-odf/2015/mess_rs_15027_027_odf.xml,skip,91270,exists
data-odf,2015,mess_rs_15027_028_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15027_028_odf.dat,data-odf/2015/mess_rs_15027_028_odf.dat,skip,322560,exists
data-odf,2015,mess_rs_15027_028_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15027_028_odf.xml,data-odf/2015/mess_rs_15027_028_odf.xml,skip,106216,exists
data-odf,2015,mess_rs_15028_029_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15028_029_odf.dat,data-odf/2015/mess_rs_15028_029_odf.dat,skip,137088,exists
data-odf,2015,mess_rs_15028_029_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15028_029_odf.xml,data-odf/2015/mess_rs_15028_029_odf.xml,skip,106224,exists
data-odf,2015,mess_rs_15029_030_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15029_030_odf.dat,data-odf/2015/mess_rs_15029_030_odf.dat,skip,314496,exists
data-odf,2015,mess_rs_15029_030_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15029_030_odf.xml,data-odf/2015/mess_rs_15029_030_odf.xml,skip,121159,exists
data-odf,2015,mess_rs_15031_033_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15031_033_odf.dat,data-odf/2015/mess_rs_15031_033_odf.dat,skip,580608,exists
data-odf,2015,mess_rs_15031_033_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15031_033_odf.xml,data-odf/2015/mess_rs_15031_033_odf.xml,skip,165978,exists
data-odf,2015,mess_rs_15033_034_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15033_034_odf.dat,data-odf/2015/mess_rs_15033_034_odf.dat,skip,217728,exists
data-odf,2015,mess_rs_15033_034_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15033_034_odf.xml,data-odf/2015/mess_rs_15033_034_odf.xml,skip,106215,exists
data-odf,2015,mess_rs_15035_035_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15035_035_odf.dat,data-odf/2015/mess_rs_15035_035_odf.dat,skip,201600,exists
data-odf,2015,mess_rs_15035_035_odf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15035_035_odf.xml,data-odf/2015/mess_rs_15035_035_odf.xml,skip,106225,exists
data-odf,2015,mess_rs_15035_036_odf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-odf/2015/mess_rs_15035_036_odf.dat,data-odf/2015/mess_rs_15035_036_odf.dat,skip,145152,exists
