branch,n_scenarios,n_core_scenarios,n_diagnostic_scenarios,beta_base,beta_sigma_base,beta_min,beta_max,beta_span,max_abs_z_delta_core,max_abs_z_delta_all,max_abs_z_delta,median_beta_sigma,status,sigma_status_diagnostic,status_all_diagnostic,note
odf,8,4,4,-5.060246961220375,0.41980943834498585,-6.875901657592261,-4.91307861868076,1.9628230389115018,0.2489524423524144,2.637280137935102,0.2489524423524144,0.42450368631302604,pass,watch,watch,ok
tnf,8,4,4,333.6397193344582,122.68717453561317,-239.31955078789676,475.70441019058825,715.023960978485,0.7743401639183614,3.110946467252994,0.7743401639183614,132.1611574314497,pass,watch,watch,ok
