kernel_key,filename,status,note,exists,bytes,path,url
lsk,naif0012.tls,exists,ok,1,5257,data/mercury/messenger/spice/generic/naif0012.tls,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/lsk/naif0012.tls
spk_planet,de440s.bsp,exists,ok,1,32726016,data/mercury/messenger/spice/generic/de440s.bsp,https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/planets/de440s.bsp
