station_id,observable_value,dtype_id,epoch_utc,t_days,beta_template,station_base,fit_value,residual
25,146331.34418342402,37.0,2011-01-03 17:00:00+00:00,0.0,1.0111102941834298,14,556380.928279309,-410049.58409588493
25,793457.1621923145,37.0,2011-01-03 18:00:00+00:00,0.041666666666666664,1.0111058657854954,14,556380.2887525583,237076.87343975622
25,740668.3450922191,37.0,2011-01-03 19:00:00+00:00,0.08333333333333333,1.0110925806309137,14,556379.5892177669,184288.75587445218
25,389331.9719145695,37.0,2011-01-03 20:00:00+00:00,0.125,1.0110704388373486,14,556378.8296757318,-167046.85776116233
25,781613.585027178,37.0,2011-01-03 21:00:00+00:00,0.16666666666666666,1.0110394406009051,14,556378.0101277819,225235.57489939616
34,940125.7172462661,37.0,2011-01-05 19:00:00+00:00,2.0833333333333335,1.0000597039564234,14,559234.7399361685,380890.97731009754
34,106389.611765166,37.0,2011-01-05 20:00:00+00:00,2.125,0.9996141174456968,14,559231.111388144,-452841.499622978
34,473420.763289325,37.0,2011-01-05 21:00:00+00:00,2.1666666666666665,0.9991597759583923,14,559227.423521679,-85806.66023235401
45,532058.6003422525,37.0,2011-01-07 19:00:00+00:00,4.083333333333333,0.9688805475408494,14,547492.6953851061,-15434.095042853616
45,933072.8568694955,37.0,2011-01-07 20:00:00+00:00,4.125,0.9680205935320848,14,547486.2593328537,385586.59753664176
45,454119.654649428,37.0,2011-01-07 21:00:00+00:00,4.166666666666667,0.9671521643641341,14,547479.7658580346,-93360.11120860663
45,122754.644391532,37.0,2011-01-07 22:00:00+00:00,4.208333333333333,0.9662752677284971,14,547473.2150127619,-424718.5706212299
45,341906.1907297855,37.0,2011-01-07 23:00:00+00:00,4.25,0.9653899113916685,14,547466.6068496567,-205560.4161198712
45,338185.59068079595,37.0,2011-01-08 00:00:00+00:00,4.291666666666667,0.9644961031950686,14,547459.9414218478,-209274.35074105184
25,244982.2352886135,37.0,2011-01-10 15:00:00+00:00,6.916666666666667,0.8915430149995184,14,555469.6317651568,-310487.3964765433
25,815885.0916609629,37.0,2011-01-10 16:00:00+00:00,6.958333333333333,0.8901279669708143,14,555459.4347306475,260425.65693031542
25,559116.6325240125,37.0,2011-01-10 17:00:00+00:00,7.0,0.8887051336620173,14,555449.1849477763,3667.4475762362126
25,208438.45990438949,37.0,2011-01-10 18:00:00+00:00,7.041666666666667,0.8872745276748715,14,555438.882501925,-347000.42259753554
25,870835.622816408,37.0,2011-01-10 19:00:00+00:00,7.083333333333333,0.8858361616799623,14,555428.5274789417,315407.09533746634
25,351934.18849938555,37.0,2011-01-10 20:00:00+00:00,7.125,0.8843900484166033,14,555418.1199651405,-203483.93146575493
25,473891.40030265,37.0,2011-01-10 21:00:00+00:00,7.166666666666667,0.8829362006927248,14,555407.6600472999,-81516.25974464993
24,568213.659836537,37.0,2011-01-12 16:00:00+00:00,8.958333333333334,0.8132967100835063,14,510696.38861574646,57517.27122079051
24,745536.9618010204,37.0,2011-01-12 17:00:00+00:00,9.0,0.8115162463852363,14,510683.7157450722,234853.24605594826
24,322219.7715774005,37.0,2011-01-12 18:00:00+00:00,9.041666666666666,0.8097286936548355,14,510670.99484339217,-188451.22326599166
24,945886.5219264785,37.0,2011-01-12 19:00:00+00:00,9.083333333333334,0.8079340677242933,14,510658.22601797443,435228.29590850405
24,442751.18479359895,37.0,2011-01-12 20:00:00+00:00,9.125,0.8061323844882456,14,510645.4093765114,-67894.22458291246
55,616439.260563696,37.0,2011-01-13 10:00:00+00:00,9.708333333333334,0.7801768509821968,14,542971.728541196,73467.53202250006
55,734312.49033899,37.0,2011-01-13 12:00:00+00:00,9.791666666666666,0.7763588697968308,14,542944.6411584244,191367.84918056556
55,790891.797175946,37.0,2011-01-14 11:00:00+00:00,10.75,0.7305383499129703,14,542620.1699340369,248271.62724190904
55,145245.464347137,37.0,2011-01-14 12:00:00+00:00,10.791666666666666,0.7284681093344323,14,542605.53371001,-397360.069362873
55,315611.782822005,37.0,2011-01-14 13:00:00+00:00,10.833333333333334,0.7263915152641607,14,542590.8544385554,-226979.07161655044
34,663716.0014973985,37.0,2011-01-17 19:00:00+00:00,14.083333333333334,0.546437822282721,14,555985.7291741864,107730.27232321212
34,654713.3887089989,37.0,2011-01-17 20:00:00+00:00,14.125,0.5439217610018356,14,555968.0723379911,98745.31637100782
34,444653.24678138504,37.0,2011-01-17 21:00:00+00:00,14.166666666666666,0.5414009807185522,14,555950.3835286819,-111297.1367472969
34,375377.815752685,37.0,2011-01-17 22:00:00+00:00,14.208333333333334,0.5388755037589069,14,555932.6628975268,-180554.84714484174
25,780208.892202237,37.0,2011-01-19 15:00:00+00:00,15.916666666666666,0.4315680649192937,14,552221.462070713,227987.430131524
25,278900.9048900185,37.0,2011-01-19 16:00:00+00:00,15.958333333333334,0.42886601160196186,14,552202.5450646657,-273301.6401746472
25,706065.734647184,37.0,2011-01-19 17:00:00+00:00,16.0,0.4261602583075178,14,552183.6029898053,153882.13165737875
25,573451.988425589,37.0,2011-01-19 18:00:00+00:00,16.041666666666668,0.4234508290002662,14,552164.6360084993,21287.352417089744
25,527274.4850311575,37.0,2011-01-19 19:00:00+00:00,16.083333333333332,0.42073774767706945,14,552145.6442833361,-24871.159252178622
25,534272.5941336105,37.0,2011-01-19 20:00:00+00:00,16.125,0.41802103836713467,14,552126.6279771231,-17854.033843512647
25,409249.9792970185,37.0,2011-01-19 21:00:00+00:00,16.166666666666668,0.41530072513180183,14,552107.5872528855,-142857.60795586696
63,650486.521390902,37.0,2011-01-20 08:00:00+00:00,16.625,0.38514633353315975,14,608228.8496274983,42257.67176340369
63,441754.7443913825,37.0,2011-01-20 09:00:00+00:00,16.666666666666668,0.3823846613819955,14,608209.5286801939,-166454.78428881144
63,883390.306751638,37.0,2011-01-20 10:00:00+00:00,16.708333333333332,0.3796197009295499,14,608190.1854533436,275200.1212982944
63,279218.738009379,37.0,2011-01-20 11:00:00+00:00,16.75,0.37685147666451285,14,608170.8201128676,-328952.0821034886
45,120895.526550225,37.0,2011-01-21 19:00:00+00:00,18.083333333333332,0.28669299013196925,14,542665.8043862301,-421770.2778360051
45,565474.7895882495,37.0,2011-01-21 20:00:00+00:00,18.125,0.2838309759533046,14,542645.8035818719,22828.986006377614
45,751075.7828403965,37.0,2011-01-21 21:00:00+00:00,18.166666666666668,0.28096654634323254,14,542625.7864120073,208449.99642838922
45,498064.8708707965,37.0,2011-01-21 22:00:00+00:00,18.208333333333332,0.2780997266714214,14,542605.753048526,-44540.88217772951
45,266505.032376468,37.0,2011-01-21 23:00:00+00:00,18.25,0.2752305423287074,14,542585.7036634609,-276080.6712869929
45,303154.962758201,37.0,2011-01-22 00:00:00+00:00,18.291666666666668,0.2723590187268705,14,542565.6384289872,-239410.67567078624
26,659926.237874992,37.0,2011-01-23 15:00:00+00:00,19.916666666666668,0.15881799220717044,14,515094.02450781147,144832.2133671805
26,590759.783772054,37.0,2011-01-23 16:00:00+00:00,19.958333333333332,0.1558739483904387,14,515073.46792010433,75686.31585194968
26,240697.15347761151,37.0,2011-01-23 17:00:00+00:00,20.0,0.1529286224315718,14,515052.9026453755,-274355.749167764
26,956704.881049707,37.0,2011-01-23 18:00:00+00:00,20.041666666666668,0.14998204041672134,14,515032.3288603689,441672.552189338
45,271177.883436819,37.0,2011-01-28 23:00:00+00:00,25.25,-0.2194784844783234,14,539131.4539007373,-267953.5704639183
45,353921.154125654,37.0,2011-01-29 00:00:00+00:00,25.291666666666668,-0.22237329672045394,14,539111.2308764842,-185190.07675083017
45,12089.945724612498,37.0,2011-01-29 01:00:00+00:00,25.333333333333332,-0.2252660410460809,14,539091.0218631859,-527001.0761385735
14,507536.626681449,37.0,2011-01-29 20:00:00+00:00,26.125,-0.2798013194831368,14,498424.7031566404,9111.923524808604
34,438951.326312836,37.0,2011-01-30 19:00:00+00:00,27.083333333333332,-0.3445574190353707,14,549758.7118003849,-110807.38548754889
34,597450.2482163,37.0,2011-01-30 20:00:00+00:00,27.125,-0.3473372821671009,14,549739.2676019686,47710.980614331434
34,679400.379360514,37.0,2011-01-30 21:00:00+00:00,27.166666666666668,-0.3501139706018177,14,549719.8449133844,129680.53444712958
34,372854.856876252,37.0,2011-01-30 22:00:00+00:00,27.208333333333332,-0.3528874597469583,14,549700.4439012567,-176845.58702500467
55,197678.798990065,37.0,2011-01-31 10:00:00+00:00,27.708333333333332,-0.3859108725388593,14,534807.7077269696,-337128.9087369046
55,179943.81581486948,37.0,2011-01-31 11:00:00+00:00,27.75,-0.38864054618514227,14,534788.6035822334,-354844.78776736395
