station_id,channel,observable_value,epoch_utc,t_days,beta_dyn_template,beta_lt_template,scale_by_row,fit_scaled,value_scaled,residual_norm
25,range,146331.34418342402,2011-01-03 16:00:00+00:00,0.0,0.0,0.9971521349346643,182284.20772936966,3.068990559874985,0.8027647924425605,-2.2662257674324247
25,doppler,142.733932972,2011-01-03 16:00:00+00:00,0.0,-0.26734287129501694,0.0,9138.302851239254,-1.7252383283041919,0.015619304294849859,1.7408576325990417
25,doppler,1757.6161141395,2011-01-03 18:00:00+00:00,0.08333333333333333,-0.273294912227532,0.0,9138.302851239254,-1.6685163051877843,0.19233506951470186,1.8608513747024862
25,range,793457.1621923145,2011-01-03 18:00:00+00:00,0.08333333333333333,0.0,0.9971344213821481,182284.20772936966,3.068979742481021,4.352857398213727,1.2838776557327063
25,range,442859.393554839,2011-01-03 20:00:00+00:00,0.16666666666666666,0.0,0.9970812813521396,182284.20772936966,3.0689674317626645,2.4294995110730344,-0.6394679206896301
25,doppler,3693.980556011,2011-01-03 20:00:00+00:00,0.16666666666666666,-0.2792467422964678,0.0,9138.302851239254,-1.6117962944574482,0.4042304808830072,2.0160267753404555
25,doppler,-98.4973077765,2011-01-03 22:00:00+00:00,0.25,-0.28519815064571535,0.0,9138.302851239254,-1.5550803084279612,-0.010778512091349947,1.5443017963366112
34,doppler,-2409.0867009149997,2011-01-05 18:00:00+00:00,2.0833333333333335,-0.4155962520647244,0.0,9138.302851239254,-7.069974037826723,-0.2636251763737838,6.806348861452939
34,range,940125.7172462661,2011-01-05 18:00:00+00:00,2.0833333333333335,0.0,0.9861015447076578,182284.20772936966,3.0817478329891363,5.157472108840248,2.075724275851112
34,doppler,-2413.9642281525003,2011-01-05 20:00:00+00:00,2.1666666666666665,-0.4214798933378339,0.0,9138.302851239254,-7.013904789942178,-0.26415892178766437,6.7497458681545135
34,range,237579.52447067952,2011-01-05 20:00:00+00:00,2.1666666666666665,0.0,0.9852016167096268,182284.20772936966,3.081699827806712,1.3033467212003613,-1.7783531066063507
34,doppler,-1303.6131539335,2011-01-05 22:00:00+00:00,2.25,-0.42735807398247416,0.0,9138.302851239254,-6.957887655811503,-0.1426537482019121,6.815233907609591
