Z,N,A,symbol,parity,is_magic_Z,is_magic_N,is_magic_any,B_obs_MeV,sigma_B_obs_MeV,B_over_A_obs_MeV,r_rms_fm,sigma_r_rms_fm,R_model_fm,sigma_R_model_fm,radius_source,L_fm,R_ref_fm,J_ref_MeV,J_E_MeV,sigma_J_E_from_R_model_MeV,C_required,C_collective,B_pred_collective_MeV,sigma_B_pred_collective_from_R_MeV,ratio_collective,Delta_B_collective_MeV,C_pn_only,B_pred_pn_only_MeV,sigma_B_pred_pn_only_from_R_MeV,ratio_pn_only,Delta_B_pn_only_MeV,C_pairwise_all,B_pred_pairwise_all_MeV,sigma_B_pred_pairwise_all_from_R_MeV,ratio_pairwise_all,Delta_B_pairwise_all_MeV,log10_ratio_collective,z_robust_log10_ratio_collective,is_outlier_robust_abs_z_gt3,r0_from_R_model_fm,d_spacing_fm,J_E_local_spacing_MeV,B_pred_local_spacing_MeV,ratio_local_spacing,Delta_B_local_spacing_MeV,nu_base_from_C_collective,nu_sat_frozen,nu_eff_saturated,C_eff_saturated,B_pred_local_spacing_sat_MeV,ratio_local_spacing_sat,Delta_B_local_spacing_sat_MeV,B_pred_pmodel_local_sat_MeV,B_pred_yukawa_proxy_MeV,B_pred_semf_ref_MeV,ratio_pmodel_local_sat,ratio_yukawa_proxy,ratio_semf_ref,Delta_B_P_minus_Yukawa_MeV,Delta_B_P_minus_SEMF_MeV,Delta_Bfrac_P_minus_Yukawa,Delta_Bfrac_P_minus_SEMF
1,5,6,H,oo,False,False,False,5.769837,0.254127,0.9616395,nan,nan,2.2293361676256365,0.0711537565885126,radius_law_r0_median,1.413816930654131,4.317674363595111,1.11228317099471,4.8720129094959335,0.24519583345063953,0.5921409802459818,5,48.72012909495933,2.4519583345063953,8.443935087760597,42.95029209495933,5,48.72012909495933,2.4519583345063953,8.443935087760597,42.95029209495933,15,146.160387284878,7.355875003519186,25.331805263281787,140.390550284878,0.9265448860359339,6.182942235475181,True,1.226851,1.977674,5.821216,58.212162,10.089048,52.442325,1.666667,1.500000,1.500000,4.500000,52.390946,9.080143,46.621109,52.390945,48.720129,-32.038521,9.080143,8.443935,,3.670816,84.429466,0.636208,14.632903
2,4,6,He,ee,True,False,True,29.271119400000003,5.34e-05,4.878519900000001,2.066,0.0111,2.667194531088174,0.014330038380967443,measured_r_rms,1.413816930654131,4.317674363595111,1.11228317099471,3.5744370796665743,0.0362294575990658,4.094507575264191,5,35.74437079666574,0.36229457599065795,1.2211480643499317,6.473251396665738,8,57.19099327466519,0.5796713215850527,1.953836902959891,27.919873874665186,15,107.23311238999723,1.0868837279719739,3.663444193049796,77.96199298999723,0.08676832539580712,3.733533182850348,True,1.467814,2.366104,4.422790,44.227897,1.510974,14.956778,1.666667,1.500000,1.500000,4.500000,39.805107,1.359877,10.533988,39.805122,35.744371,23.707354,1.359877,1.221148,0.809923,4.060751,16.097768,0.138729,0.549954
3,3,6,Li,oo,False,False,False,31.9939872,1.8e-06,5.3323312,2.589,0.039,3.3423846277770006,0.050348783500696416,measured_r_rms,1.413816930654131,4.317674363595111,1.11228317099471,2.217193637806156,0.07895859784150015,7.214973616751186,5,22.17193637806156,0.7895859784150016,0.6930032271207998,-9.82205082193844,9,39.9094854805108,1.4212547611470028,1.2474058088174393,7.915498280510803,15,66.51580913418468,2.3687579352450046,2.079009681362399,34.52182193418468,-0.15926474299642915,3.015918934953688,True,1.839385,2.965074,2.895379,28.953789,0.904976,-3.040198,1.666667,1.500000,1.500000,4.500000,26.058410,0.814478,-5.935577,26.058399,22.171936,28.813809,0.814478,0.693003,0.900601,3.886462,-2.755410,0.121475,-0.086123
4,2,6,Be,ee,False,True,True,26.923486800000003,0.005448000000000001,4.4872478000000005,nan,nan,2.2293361676256365,0.0711537565885126,radius_law_r0_median,1.413816930654131,4.317674363595111,1.11228317099471,4.8720129094959335,0.24519583345063953,2.7630762992770426,5,48.72012909495933,2.4519583345063953,1.8095772459516397,21.79664229495933,8,77.95220655193494,3.9231333352102324,2.895323593522624,51.02871975193493,15,146.160387284878,7.355875003519186,5.428731737854919,119.23690048487799,0.257577126695122,4.231737876550805,True,1.226851,1.977674,5.821216,58.212162,2.162133,31.288675,1.666667,1.500000,1.500000,4.500000,52.390946,1.945920,25.467459,52.390951,48.720129,19.794570,1.945920,1.809577,0.735216,3.670822,32.596381,0.136343,1.210704
1,6,7,H,oe,False,False,False,6.58,1.001,0.9400000000000001,nan,nan,2.3468814831307796,0.07490545222285955,radius_law_r0_median,1.413816930654131,4.317674363595111,1.11228317099471,4.48333313349468,0.23753152798557323,0.7338290289919862,6,53.79999760193616,2.850378335826879,8.176291428865678,47.219997601936164,6,53.79999760193616,2.850378335826879,8.176291428865678,47.219997601936164,21,188.29999160677656,9.976324175394076,28.61702000102987,181.71999160677655,0.9125563626943312,6.14214136377705,True,1.226851,1.977674,5.821216,69.854594,10.616200,63.274594,1.714286,1.500000,1.500000,5.250000,61.122770,9.289175,54.542770,61.122771,53.799998,-39.528499,9.289175,8.176291,,7.322774,100.651270,1.112884,15.296546
2,5,7,He,eo,True,False,True,28.8614046,0.0075593000000000014,4.1230578,nan,nan,2.3468814831307796,0.07490545222285955,radius_law_r0_median,1.413816930654131,4.317674363595111,1.11228317099471,4.48333313349468,0.23753152798557323,3.218744150906207,6,53.79999760193616,2.850378335826879,1.864081057300176,24.938593001936162,10,89.66666266989361,4.750630559711465,3.10680176216696,60.80525806989361,21,188.29999160677656,9.976324175394076,6.524283700550615,159.43858700677657,0.2704647931965029,4.269327836160574,True,1.226851,1.977674,5.821216,69.854594,2.420346,40.993189,1.714286,1.500000,1.500000,5.250000,61.122770,2.117803,32.261365,61.122769,53.799998,13.899568,2.117803,1.864081,0.481597,7.322772,47.223201,0.253722,1.636206
3,4,7,Li,oe,False,False,False,39.245080699999995,4.2e-06,5.6064400999999995,2.444,0.042,3.1551904327103086,0.054221766846903836,measured_r_rms,1.413816930654131,4.317674363595111,1.11228317099471,2.5310789842433166,0.09707025823438303,7.752638488232042,6,30.372947810919797,1.1648430988125964,0.7739300638237648,-8.872132889080198,12,60.745895621839594,2.329686197625193,1.5478601276475297,21.5008149218396,21,106.3053173382193,4.076950845844087,2.708755223383177,67.0602366382193,-0.11129828255703775,3.1558245812044707,True,1.649401,2.658821,3.595670,43.148040,1.099451,3.902960,1.714286,1.500000,1.500000,5.250000,37.754535,0.962020,-1.490546,37.754553,30.372948,39.498559,0.962020,0.773930,1.006459,7.381605,-1.744006,0.188090,-0.044439
4,3,7,Be,eo,False,False,False,37.6008409,7.07e-05,5.3715487,2.646,0.016,3.4159713113549417,0.02065591117977289,measured_r_rms,1.413816930654131,4.317674363595111,1.11228317099471,2.1047443874560905,0.03075038371715051,8.932400799853525,6,25.256932649473086,0.3690046046058061,0.6717119097587279,-12.343908250526916,12,50.51386529894617,0.7380092092116122,1.3434238195174557,12.91302439894617,21,88.39926427315581,1.2915161161203212,2.350991684155548,50.798423373155806,-0.17281695139366693,2.976390680073664,False,1.785726,2.878576,3.078050,36.936602,0.982334,-0.664239,1.714286,1.500000,1.500000,5.250000,32.319527,0.859542,-5.281314,32.319502,25.256933,37.268473,0.859542,0.671712,0.991161,7.062569,-4.948971,0.187830,-0.131619
5,2,7,B,oe,False,True,True,24.9109385,0.0251503,3.5587055,nan,nan,2.3468814831307796,0.07490545222285955,radius_law_r0_median,1.413816930654131,4.317674363595111,1.11228317099471,4.48333313349468,0.23753152798557323,2.7781717037589795,6,53.79999760193616,2.850378335826879,2.159693726590677,28.889059101936162,10,89.66666266989361,4.750630559711465,3.599489544317795,64.75572416989361,21,188.29999160677656,9.976324175394076,7.558928043067368,163.38905310677654,0.334392166760803,4.45578730032991,True,1.226851,1.977674,5.821216,69.854594,2.804174,44.943655,1.714286,1.500000,1.500000,5.250000,61.122770,2.453652,36.211831,61.122774,53.799998,7.209312,2.453652,2.159694,0.289403,7.322776,53.913462,0.293958,2.164249
2,6,8,He,ee,True,False,True,31.396168000000003,8.88e-05,3.9245210000000004,1.9239,0.0306,2.483744219922816,0.03950443013131565,measured_r_rms,1.413816930654131,4.317674363595111,1.11228317099471,4.0696746344483685,0.11371357476909656,3.857331460142102,7,56.97544488227716,1.5919900467673518,1.8147260800196112,25.579276882277156,12,97.67219122676084,2.7291257944583176,3.110958994319333,66.27602322676084,28,227.90177952910864,6.367960187069407,7.258904320078445,196.50561152910865,0.2588110806593254,4.235336998212571,True,1.241872,2.001888,5.722367,80.113139,2.551685,48.716971,1.750000,1.500000,1.500000,6.000000,68.668405,2.187159,37.272237,68.668411,56.975445,10.641727,2.187159,1.814726,0.338950,11.692967,58.026684,0.372433,1.848209
3,5,8,Li,oo,False,False,False,41.2776992,4.72e-05,5.1597124,2.339,0.044,3.0196360155930493,0.05680375574437544,measured_r_rms,1.413816930654131,4.317674363595111,1.11228317099471,2.7857691898739034,0.1119254899208131,7.408671786241634,7,39.00076865823465,1.5669568588913834,0.9448387243985403,-2.2769305417653527,15,83.5730756962171,3.357764697624393,2.0246544094254433,42.2953764962171,28,156.0030746329386,6.2678274355655335,3.7793548975941613,114.72537543293859,-0.024642315386120647,3.408577420948665,True,1.509818,2.433814,4.215965,59.023516,1.429913,17.745817,1.750000,1.500000,1.500000,6.000000,50.591585,1.225640,9.313886,50.591599,39.000769,36.864273,1.225640,0.944839,0.893080,11.590831,13.727326,0.280801,0.332560
4,4,8,Be,ee,False,False,False,56.4994848,3.52e-05,7.0624356,nan,nan,2.4537019462764693,0.0783148425802751,radius_law_r0_median,1.413816930654131,4.317674363595111,1.11228317099471,4.157076691291483,0.23027083607068988,6.795578840096796,7,58.19907367808076,3.223791704989658,1.0300814933817017,1.6995888780807604,16,133.02645412132745,7.368666754262076,2.354471984872461,76.52696932132744,28,232.79629471232303,12.895166819958632,4.120325973526807,176.29680991232303,0.012871584633278801,3.517995676486469,True,1.226851,1.977674,5.821216,81.497026,1.442438,24.997541,1.750000,1.500000,1.500000,6.000000,69.854594,1.236375,13.355109,69.854551,58.199074,54.486727,1.236375,1.030081,0.964376,11.655477,15.367824,0.206294,0.271999
5,3,8,B,oo,False,False,False,37.7372408,0.001,4.7171551,nan,nan,2.4537019462764693,0.0783148425802751,radius_law_r0_median,1.413816930654131,4.317674363595111,1.11228317099471,4.157076691291483,0.23027083607068988,4.538915637406263,7,58.19907367808076,3.223791704989658,1.5422185735974834,20.461832878080756,15,124.71230073874449,6.908125082120696,3.304754086280322,86.9750599387445,28,232.79629471232303,12.895166819958632,6.1688742943899335,195.05905391232304,0.18814592921444026,4.029225194470074,True,1.226851,1.977674,5.821216,81.497026,2.159592,43.759785,1.750000,1.500000,1.500000,6.000000,69.854594,1.851079,32.117353,69.854614,58.199074,31.887273,1.851079,1.542219,0.844982,11.655540,37.967341,0.308860,1.006097
6,2,8,C,ee,False,True,True,24.812193599999997,0.0182432,3.1015241999999996,nan,nan,2.4537019462764693,0.0783148425802751,radius_law_r0_median,1.413816930654131,4.317674363595111,1.11228317099471,4.157076691291483,0.23027083607068988,2.98433195278526,7,58.19907367808076,3.223791704989658,2.3455835713808377,33.386880078080765,12,99.76984059099559,5.526500065696557,4.021000408081436,74.95764699099558,28,232.79629471232303,12.895166819958632,9.382334285523351,207.98410111232303,0.37025091114502356,4.56037789886188,True,1.226851,1.977674,5.821216,81.497026,3.284555,56.684833,1.750000,1.500000,1.500000,6.000000,69.854594,2.815333,45.042400,69.854587,58.199074,0.687727,2.815333,2.345584,0.027717,11.655514,69.166861,0.469749,2.787616
