T_K,Cp_obs_J_per_molK,Cp_debye_J_per_molK,residual_J_per_molK
100.0,7.268,6.156199313927287,1.111800686072713
200.0,15.636,16.072482957027955,-0.43648295702795536
250.0,18.221,18.6508909107747,-0.42989091077469865
298.15,20.0,20.25652924695076,-0.25652924695075896
300.0,20.05,20.306200746399334,-0.2562007463993332
