T_K,energy_density_J_per_m3,pressure_Pa,entropy_density_J_per_m3K,entropy_per_photon_kB
2.725,4.1717382508831196e-14,1.3905794169610398e-14,2.0412174927868475e-14,3.601570710558753
77.0,2.6595853114215635e-08,8.865284371405212e-09,4.60534253060011e-10,3.601570710558753
300.0,6.128243932726806e-06,2.042747977575602e-06,2.7236639701008026e-08,3.6015707105587533
5772.0,0.8397621860165138,0.27992072867217127,0.00019398525895507362,3.6015707105587533
