T_K,alpha_1e-8_per_K,alpha_per_K,sigma_fit_1e-8_per_K,sigma_fit_per_K
104.0,-29.308017813354557,-2.930801781335456e-07,0.5,5e-09
105.0,-28.081410100504645,-2.8081410100504645e-07,0.5,5e-09
106.0,-26.82263100646448,-2.682263100646448e-07,0.5,5e-09
107.0,-25.53241696298056,-2.553241696298056e-07,0.5,5e-09
108.0,-24.21150428191423,-2.421150428191423e-07,0.5,5e-09
109.0,-22.86062913391679,-2.2860629133916793e-07,0.5,5e-09
110.0,-21.48052752417128,-2.148052752417128e-07,0.5,5e-09
111.0,-20.07193526490828,-2.007193526490828e-07,0.5,5e-09
112.0,-18.635587944384035,-1.8635587944384036e-07,0.5,5e-09
113.0,-17.172220891989664,-1.7172220891989665e-07,0.5,5e-09
114.0,-15.682569139140362,-1.5682569139140362e-07,0.5,5e-09
115.0,-14.167367375572635,-1.4167367375572635e-07,0.5,5e-09
116.0,-12.62734990065664,-1.262734990065664e-07,0.5,5e-09
117.0,-11.063250569308558,-1.1063250569308558e-07,0.5,5e-09
118.0,-9.475802732065834,-9.475802732065834e-08,0.5,5e-09
119.0,-7.865739168864852,-7.865739168864852e-08,0.5,5e-09
120.0,-6.233792016037186,-6.233792016037186e-08,0.5,5e-09
121.0,-4.580692686016328,-4.5806926860163285e-08,0.5,5e-09
122.0,-2.907171779221993,-2.9071717792219933e-08,0.5,5e-09
123.0,-1.2139589875638004,-1.2139589875638004e-08,0.5,5e-09
124.0,0.4982170110198722,4.9821701101987225e-09,0.5,5e-09
125.0,2.2286286675985836,2.2286286675985837e-08,0.5,5e-09
126.0,3.976549687500006,3.976549687500006e-08,0.5,5e-09
127.0,5.74125516643895,5.741255166438951e-08,0.5,5e-09
128.0,7.522021738219501,7.522021738219502e-08,0.5,5e-09
129.0,9.318127734732666,9.318127734732666e-08,0.5,5e-09
130.0,11.128853359002111,1.1128853359002111e-07,0.5,5e-09
131.0,12.953480872060279,1.295348087206028e-07,0.5,5e-09
132.0,14.791294794467797,1.4791294794467798e-07,0.5,5e-09
133.0,16.64158212332076,1.664158212332076e-07,0.5,5e-09
134.0,18.503632565621775,1.8503632565621776e-07,0.5,5e-09
135.0,20.376738788923472,2.0376738788923472e-07,0.5,5e-09
136.0,22.26019669018624,2.2260196690186243e-07,0.5,5e-09
137.0,24.153305683825135,2.415330568382514e-07,0.5,5e-09
138.0,26.055369009955758,2.605536900995576e-07,0.5,5e-09
139.0,27.965694063883113,2.7965694063883116e-07,0.5,5e-09
140.0,29.883592747913255,2.9883592747913254e-07,0.5,5e-09
141.0,31.80838184660322,3.180838184660322e-07,0.5,5e-09
142.0,33.73938342660163,3.3739383426601627e-07,0.5,5e-09
143.0,35.67592526226912,3.567592526226912e-07,0.5,5e-09
144.0,37.61734128830585,3.7617341288305853e-07,0.5,5e-09
145.0,39.562972080651484,3.9562972080651485e-07,0.5,5e-09
146.0,41.512165366962165,4.1512165366962167e-07,0.5,5e-09
147.0,43.464276568008046,4.346427656800805e-07,0.5,5e-09
148.0,45.418669371375756,4.541866937137576e-07,0.5,5e-09
149.0,47.37471633890064,4.737471633890064e-07,0.5,5e-09
