T_K,alpha_1e-8_per_K,alpha_per_K,sigma_fit_1e-8_per_K,sigma_fit_per_K
427.0,336.41359180616485,3.3641359180616485e-06,0.5,5e-09
428.0,336.8146838372204,3.368146838372204e-06,0.5,5e-09
429.0,337.21369254899867,3.372136925489987e-06,0.5,5e-09
430.0,337.6106327493177,3.376106327493177e-06,0.5,5e-09
431.0,338.0055191172411,3.380055191172411e-06,0.5,5e-09
432.0,338.3983662043388,3.383983662043388e-06,0.5,5e-09
433.0,338.78918843593556,3.387891884359356e-06,0.5,5e-09
434.0,339.1780001123474,3.3917800011234737e-06,0.5,5e-09
435.0,339.5648154101045,3.395648154101045e-06,0.5,5e-09
436.0,339.9496483831636,3.3994964838316363e-06,0.5,5e-09
437.0,340.3325129641071,3.403325129641071e-06,0.5,5e-09
438.0,340.7134229653298,3.4071342296532982e-06,0.5,5e-09
439.0,341.0923920802151,3.4109239208021514e-06,0.5,5e-09
440.0,341.46943388429753,3.4146943388429753e-06,0.5,5e-09
441.0,341.8445618364156,3.4184456183641562e-06,0.5,5e-09
442.0,342.2177892798508,3.4221778927985084e-06,0.5,5e-09
443.0,342.58912944345695,3.4258912944345695e-06,0.5,5e-09
444.0,342.95859544277664,3.4295859544277663e-06,0.5,5e-09
445.0,343.3262002811471,3.4332620028114714e-06,0.5,5e-09
446.0,343.691956850795,3.4369195685079503e-06,0.5,5e-09
447.0,344.05587793391913,3.4405587793391916e-06,0.5,5e-09
448.0,344.4179762037628,3.4441797620376282e-06,0.5,5e-09
449.0,344.7782642256753,3.447782642256753e-06,0.5,5e-09
450.0,345.1367544581618,3.4513675445816182e-06,0.5,5e-09
451.0,345.4934592539236,3.4549345925392363e-06,0.5,5e-09
452.0,345.8483908608862,3.4584839086088618e-06,0.5,5e-09
453.0,346.2015614232179,3.4620156142321795e-06,0.5,5e-09
454.0,346.55298298233845,3.4655298298233844e-06,0.5,5e-09
455.0,346.9026674779152,3.4690266747791523e-06,0.5,5e-09
456.0,347.25062674885123,3.4725062674885125e-06,0.5,5e-09
457.0,347.5968725342621,3.4759687253426212e-06,0.5,5e-09
458.0,347.94141647444263,3.4794141647444266e-06,0.5,5e-09
459.0,348.284270111824,3.48284270111824e-06,0.5,5e-09
460.0,348.6254448919208,3.4862544489192077e-06,0.5,5e-09
461.0,348.96495216426797,3.48964952164268e-06,0.5,5e-09
462.0,349.30280318334866,3.4930280318334868e-06,0.5,5e-09
463.0,349.639009109512,3.4963900910951204e-06,0.5,5e-09
464.0,349.9735810098815,3.499735810098815e-06,0.5,5e-09
465.0,350.3065298592541,3.503065298592541e-06,0.5,5e-09
466.0,350.6378665409895,3.506378665409895e-06,0.5,5e-09
467.0,350.96760184789105,3.5096760184789104e-06,0.5,5e-09
468.0,351.2957464830768,3.512957464830768e-06,0.5,5e-09
469.0,351.62231106084147,3.516223110608415e-06,0.5,5e-09
470.0,351.9473061075099,3.519473061075099e-06,0.5,5e-09
471.0,352.2707420622818,3.522707420622818e-06,0.5,5e-09
472.0,352.5926292780664,3.525926292780664e-06,0.5,5e-09
473.0,352.9129780223104,3.5291297802231045e-06,0.5,5e-09
474.0,353.2317984778156,3.5323179847781557e-06,0.5,5e-09
475.0,353.54910074354865,3.5354910074354867e-06,0.5,5e-09
476.0,353.8648948354429,3.538648948354429e-06,0.5,5e-09
477.0,354.1791906871908,3.541791906871908e-06,0.5,5e-09
478.0,354.4919981510292,3.5449199815102917e-06,0.5,5e-09
479.0,354.80332699851544,3.5480332699851544e-06,0.5,5e-09
480.0,355.11318692129635,3.5511318692129636e-06,0.5,5e-09
481.0,355.42158753186794,3.5542158753186795e-06,0.5,5e-09
482.0,355.728538364329,3.55728538364329e-06,0.5,5e-09
483.0,356.0340488751248,3.5603404887512483e-06,0.5,5e-09
484.0,356.33812844378497,3.56338128443785e-06,0.5,5e-09
485.0,356.6407863736519,3.566407863736519e-06,0.5,5e-09
486.0,356.94203189260344,3.5694203189260343e-06,0.5,5e-09
487.0,357.24187415376605,3.5724187415376605e-06,0.5,5e-09
488.0,357.5403222362225,3.575403222362225e-06,0.5,5e-09
489.0,357.83738514571036,3.5783738514571035e-06,0.5,5e-09
490.0,358.1330718153151,3.581330718153151e-06,0.5,5e-09
491.0,358.4273911061541,3.5842739110615412e-06,0.5,5e-09
492.0,358.72035180805506,3.5872035180805507e-06,0.5,5e-09
493.0,359.01196264022656,3.5901196264022657e-06,0.5,5e-09
494.0,359.3022322519217,3.593022322519217e-06,0.5,5e-09
495.0,359.5911692230952,3.5959116922309522e-06,0.5,5e-09
496.0,359.87878206505326,3.5987878206505328e-06,0.5,5e-09
497.0,360.16507922109696,3.6016507922109696e-06,0.5,5e-09
498.0,360.4500690671592,3.604500690671592e-06,0.5,5e-09
499.0,360.73375991243375,3.6073375991243375e-06,0.5,5e-09
500.0,361.01616000000007,3.6101616000000006e-06,0.5,5e-09
501.0,361.29727750743905,3.6129727750743907e-06,0.5,5e-09
502.0,361.5771205474447,3.6157712054744467e-06,0.5,5e-09
503.0,361.8556971684276,3.618556971684276e-06,0.5,5e-09
504.0,362.1330153551133,3.621330153551133e-06,0.5,5e-09
505.0,362.40908302913425,3.6240908302913426e-06,0.5,5e-09
506.0,362.68390804961535,3.626839080496154e-06,0.5,5e-09
507.0,362.9574982137536,3.6295749821375357e-06,0.5,5e-09
508.0,363.2298612573918,3.632298612573918e-06,0.5,5e-09
509.0,363.5010048555864,3.635010048555864e-06,0.5,5e-09
510.0,363.77093662316906,3.637709366231691e-06,0.5,5e-09
511.0,364.0396641153031,3.640396641153031e-06,0.5,5e-09
512.0,364.30719482803346,3.6430719482803347e-06,0.5,5e-09
513.0,364.5735361988317,3.6457353619883167e-06,0.5,5e-09
514.0,364.83869560713475,3.6483869560713475e-06,0.5,5e-09
515.0,365.1026803748787,3.6510268037487866e-06,0.5,5e-09
516.0,365.3654977670264,3.653654977670264e-06,0.5,5e-09
517.0,365.6271549920904,3.6562715499209045e-06,0.5,5e-09
518.0,365.8876592026501,3.658876592026501e-06,0.5,5e-09
519.0,366.14701749586345,3.6614701749586346e-06,0.5,5e-09
520.0,366.4052369139736,3.6640523691397364e-06,0.5,5e-09
521.0,366.6623244448105,3.6666232444481052e-06,0.5,5e-09
522.0,366.91828702228696,3.66918287022287e-06,0.5,5e-09
523.0,367.1731315268902,3.6717313152689017e-06,0.5,5e-09
524.0,367.42686478616747,3.6742686478616748e-06,0.5,5e-09
525.0,367.6794935752079,3.6767949357520793e-06,0.5,5e-09
526.0,367.93102461711817,3.6793102461711817e-06,0.5,5e-09
527.0,368.18146458349435,3.6818146458349434e-06,0.5,5e-09
528.0,368.4308200948883,3.6843082009488833e-06,0.5,5e-09
529.0,368.6790977212695,3.6867909772126953e-06,0.5,5e-09
530.0,368.92630398248224,3.6892630398248223e-06,0.5,5e-09
531.0,369.172445348698,3.69172445348698e-06,0.5,5e-09
532.0,369.41752824086336,3.6941752824086337e-06,0.5,5e-09
533.0,369.66155903114344,3.6966155903114344e-06,0.5,5e-09
534.0,369.9045440433604,3.699045440433604e-06,0.5,5e-09
535.0,370.1464895534279,3.701464895534279e-06,0.5,5e-09
536.0,370.38740178978134,3.7038740178978133e-06,0.5,5e-09
537.0,370.62728693380285,3.7062728693380285e-06,0.5,5e-09
538.0,370.86615112024293,3.7086615112024294e-06,0.5,5e-09
539.0,371.1040004376374,3.711040004376374e-06,0.5,5e-09
540.0,371.34084092872024,3.7134084092872024e-06,0.5,5e-09
541.0,371.5766785908319,3.715766785908319e-06,0.5,5e-09
542.0,371.81151937632393,3.7181151937632393e-06,0.5,5e-09
543.0,372.04536919295964,3.7204536919295967e-06,0.5,5e-09
544.0,372.27823390431007,3.7227823390431006e-06,0.5,5e-09
545.0,372.5101193301463,3.7251011933014634e-06,0.5,5e-09
546.0,372.7410312468284,3.727410312468284e-06,0.5,5e-09
547.0,372.9709753876894,3.729709753876894e-06,0.5,5e-09
548.0,373.199957443416,3.7319995744341602e-06,0.5,5e-09
549.0,373.42798306242577,3.7342798306242576e-06,0.5,5e-09
550.0,373.65505785123975,3.7365505785123974e-06,0.5,5e-09
551.0,373.8811873748518,3.738811873748518e-06,0.5,5e-09
552.0,374.1063771570947,3.7410637715709473e-06,0.5,5e-09
553.0,374.33063268100125,3.7433063268100126e-06,0.5,5e-09
554.0,374.5539593891634,3.7455395938916342e-06,0.5,5e-09
555.0,374.7763626840866,3.7477636268408665e-06,0.5,5e-09
556.0,374.9978479285409,3.749978479285409e-06,0.5,5e-09
557.0,375.218420445909,3.75218420445909e-06,0.5,5e-09
558.0,375.4380855205301,3.754380855205301e-06,0.5,5e-09
559.0,375.6568483980413,3.756568483980413e-06,0.5,5e-09
560.0,375.8747142857143,3.758747142857143e-06,0.5,5e-09
561.0,376.0916883527901,3.760916883527901e-06,0.5,5e-09
562.0,376.3077757308092,3.7630777573080923e-06,0.5,5e-09
563.0,376.5229815139399,3.765229815139399e-06,0.5,5e-09
564.0,376.7373107593016,3.767373107593016e-06,0.5,5e-09
565.0,376.9507684872863,3.7695076848728632e-06,0.5,5e-09
566.0,377.16335968187684,3.7716335968187686e-06,0.5,5e-09
567.0,377.37508929096094,3.7737508929096096e-06,0.5,5e-09
568.0,377.58596222664295,3.7758596222664295e-06,0.5,5e-09
569.0,377.7959833655529,3.777959833655529e-06,0.5,5e-09
570.0,378.0051575491514,3.7800515754915144e-06,0.5,5e-09
571.0,378.21348958403274,3.7821348958403276e-06,0.5,5e-09
572.0,378.42098424222365,3.7842098424222366e-06,0.5,5e-09
573.0,378.6276462614807,3.7862764626148075e-06,0.5,5e-09
574.0,378.8334803455835,3.788334803455835e-06,0.5,5e-09
575.0,379.0384911646256,3.7903849116462562e-06,0.5,5e-09
576.0,379.2426833553027,3.792426833553027e-06,0.5,5e-09
577.0,379.4460615211971,3.7944606152119715e-06,0.5,5e-09
578.0,379.64863023306117,3.796486302330612e-06,0.5,5e-09
579.0,379.8503940290958,3.798503940290958e-06,0.5,5e-09
580.0,380.0513574152282,3.8005135741522823e-06,0.5,5e-09
581.0,380.25152486538536,3.802515248653854e-06,0.5,5e-09
582.0,380.4509008217661,3.804509008217661e-06,0.5,5e-09
583.0,380.6494896951097,3.8064948969510973e-06,0.5,5e-09
584.0,380.8472958649622,3.8084729586496217e-06,0.5,5e-09
585.0,381.04432367994013,3.8104432367994014e-06,0.5,5e-09
586.0,381.2405774579917,3.8124057745799174e-06,0.5,5e-09
587.0,381.43606148665503,3.8143606148665506e-06,0.5,5e-09
588.0,381.63078002331486,3.816307800233149e-06,0.5,5e-09
589.0,381.8247372954556,3.818247372954556e-06,0.5,5e-09
590.0,382.01793750091304,3.820179375009131e-06,0.5,5e-09
591.0,382.21038480812246,3.822103848081224e-06,0.5,5e-09
592.0,382.40208335636584,3.824020833563659e-06,0.5,5e-09
593.0,382.5930372560151,3.825930372560151e-06,0.5,5e-09
594.0,382.78325058877425,3.827832505887743e-06,0.5,5e-09
595.0,382.9727274079182,3.829727274079183e-06,0.5,5e-09
596.0,383.16147173853045,3.831614717385305e-06,0.5,5e-09
597.0,383.34948757773736,3.833494875777374e-06,0.5,5e-09
598.0,383.53677889494105,3.835367788949411e-06,0.5,5e-09
599.0,383.7233496320492,3.837233496320492e-06,0.5,5e-09
600.0,383.9092037037037,3.839092037037037e-06,0.5,5e-09
