T_K,flux_W_per_m2,energy_density_J_per_m3,photon_number_density_per_m3,mean_photon_energy_eV
2.725,3.126639160912178e-06,4.1717382508831196e-14,410500842.69444704,0.0006342969231988442
77.0,1.993309044429415,2.6595853114215635e-08,9261614680397.686,0.017923252508737983
300.0,459.30032795393896,6.128243932726806e-06,547744842915490.2,0.06983085393014798
5772.0,62938592.470335975,0.8397621860165138,3.90115764502091e+18,1.3435456296160473
