t_s,env_h1,env_v1,selected,ratio_h1_v1_selected
-0.119970798,1.13627934e-22,4.05973138e-21,0,
-0.119726658,2.02213695e-22,5.48500333e-21,0,
-0.119482517,2.17725826e-22,5.46243244e-21,0,
-0.119238377,2.43695288e-22,5.57248381e-21,0,
-0.118994236,2.48418458e-22,5.55388513e-21,0,
-0.118750095,2.45607298e-22,5.62683184e-21,0,
-0.118505955,2.37151881e-22,5.87249274e-21,0,
-0.118261814,2.15896425e-22,6.12377165e-21,0,
-0.118017673,1.98141044e-22,6.53558585e-21,0,
-0.117773533,1.69816096e-22,6.76107926e-21,0,
-0.117529392,1.49412294e-22,7.05279568e-21,0,
-0.117285252,1.28119914e-22,7.0259077e-21,0,
-0.117041111,1.15485904e-22,7.01336215e-21,0,
-0.11679697,1.12933443e-22,6.68962651e-21,0,
-0.11655283,1.14442668e-22,6.39720112e-21,0,
-0.116308689,1.25842611e-22,5.93369928e-21,0,
-0.116064548,1.3510373e-22,5.58901818e-21,0,
-0.115820408,1.47277478e-22,5.28442859e-21,0,
-0.115576267,1.55985294e-22,5.1995616e-21,0,
-0.115332127,1.60868128e-22,5.28128474e-21,0,
-0.115087986,1.61219699e-22,5.52702263e-21,0,
-0.114843845,1.52128221e-22,5.87312946e-21,0,
-0.114599705,1.3818405e-22,6.19817037e-21,0,
-0.114355564,1.1353019e-22,6.52344095e-21,0,
-0.114111423,8.47325098e-23,6.6858769e-21,0,
-0.113867283,4.70154473e-23,6.79995974e-21,0,
-0.113623142,8.05651053e-24,6.70164892e-21,0,
-0.113379002,3.71785131e-23,6.54938585e-21,0,
-0.113134861,7.7464732e-23,6.23270724e-21,0,
-0.11289072,1.13919096e-22,5.91397732e-21,0,
-0.11264658,1.45258624e-22,5.57852298e-21,0,
-0.112402439,1.69035721e-22,5.3676466e-21,0,
-0.112158298,1.87317651e-22,5.32310305e-21,0,
-0.111914158,1.97474814e-22,5.48159027e-21,0,
-0.111670017,2.05171017e-22,5.82072072e-21,0,
-0.111425877,2.08517705e-22,6.23195023e-21,0,
-0.111181736,2.11804681e-22,6.67597948e-21,0,
-0.110937595,2.09623023e-22,7.00600916e-21,0,
-0.110693455,2.04606101e-22,7.2504577e-21,0,
-0.110449314,1.93080457e-22,7.2841815e-21,0,
-0.110205173,1.80023571e-22,7.20369021e-21,0,
-0.109961033,1.65898735e-22,6.93716115e-21,0,
-0.109716892,1.62815506e-22,6.62174307e-21,0,
-0.109472752,1.78056125e-22,6.25561527e-21,0,
-0.109228611,2.16021834e-22,5.9798384e-21,0,
-0.10898447,2.64917374e-22,5.82896422e-21,0,
-0.10874033,3.19010454e-22,5.86800947e-21,1,0.054364339
-0.108496189,3.69181302e-22,6.07125208e-21,1,0.0608081
-0.108252048,4.13558954e-22,6.3718765e-21,1,0.064903793
-0.108007908,4.45522307e-22,6.70973454e-21,1,0.066399394
-0.107763767,4.64840515e-22,6.9743466e-21,1,0.066650045
-0.107519627,4.69592164e-22,7.16162332e-21,1,0.065570631
-0.107275486,4.6233421e-22,7.17632627e-21,1,0.064424915
-0.107031345,4.433882e-22,7.07791627e-21,1,0.062643889
-0.106787205,4.13847849e-22,6.80601062e-21,1,0.06080623
-0.106543064,3.75620488e-22,6.45982705e-21,1,0.058147143
-0.106298923,3.3114097e-22,6.03416053e-21,1,0.05487772
-0.106054783,2.84631694e-22,5.64820896e-21,0,
-0.105810642,2.37456475e-22,5.35159277e-21,0,
-0.105566502,1.94431334e-22,5.23673627e-21,0,
-0.105322361,1.60027354e-22,5.32274735e-21,0,
-0.10507822,1.41688735e-22,5.57750873e-21,0,
-0.10483408,1.37273391e-22,5.94058835e-21,0,
-0.104589939,1.40167187e-22,6.30430386e-21,0,
-0.104345798,1.42580368e-22,6.63052896e-21,0,
-0.104101658,1.41214993e-22,6.82128518e-21,0,
