pair,bottleneck_rank,n_rows,n_reject_event_rows,n_tensor_fail,tensor_fail_rate,scalar_overlap_rate,mean_reject_tensor_mismatch_share,median_tensor_mismatch,median_scalar_mismatch,median_abs_corr,median_abs_lag_over_tolerance,median_obs_ratio_iqr_rel
H1-V1,1,3,3,3,1,0.3333333,0.7593995,0.0100208,3.6114211,0.0729121,7.5,0.7011839
L1-V1,2,4,4,3,0.75,1,0.417864,0.0006830488,0.199937,0.087578,9.5,0.5681386
H1-L1,3,2,2,0,0,1,0.0251727,5.334603e-06,0.0115382,0.5916277,5.5793066,0.6877107
