t_s,env_h1,env_l1,selected,ratio_h1_l1_selected
-0.119970798,3.15987447e-21,1.90928052e-21,1,1.655007969
-0.119726658,2.86357871e-21,1.66115159e-21,1,1.723851535
-0.119482517,2.89992862e-21,1.64790367e-21,1,1.75976829
-0.119238377,2.7562493e-21,1.42180772e-21,1,1.938552769
-0.118994236,2.65124301e-21,1.15609206e-21,0,
-0.118750095,2.47515803e-21,8.31932602e-22,0,
-0.118505955,2.33270844e-21,5.76116895e-22,0,
-0.118261814,2.21135814e-21,5.41606265e-22,0,
-0.118017673,2.17064356e-21,7.17505018e-22,0,
-0.117773533,2.19455236e-21,8.63462465e-22,0,
-0.117529392,2.29482168e-21,9.33142483e-22,0,
-0.117285252,2.43060519e-21,8.77600066e-22,0,
-0.117041111,2.58530926e-21,7.41223094e-22,0,
-0.11679697,2.72563405e-21,6.21081818e-22,0,
-0.11655283,2.82804643e-21,6.87815327e-22,0,
-0.116308689,2.89036538e-21,9.32253658e-22,0,
-0.116064548,2.88246304e-21,1.226462e-21,1,2.350226129
-0.115820408,2.82688905e-21,1.45281344e-21,1,1.945803214
-0.115576267,2.68894062e-21,1.55702665e-21,1,1.726971477
-0.115332127,2.52079006e-21,1.51667986e-21,1,1.662044916
-0.115087986,2.29967562e-21,1.30950697e-21,0,
-0.114843845,2.10376349e-21,9.87173498e-22,0,
-0.114599705,1.92625007e-21,5.87483886e-22,0,
-0.114355564,1.85362872e-21,4.06297476e-22,0,
-0.114111423,1.8631496e-21,7.07065158e-22,0,
-0.113867283,1.97632204e-21,1.10616071e-21,0,
-0.113623142,2.11130522e-21,1.4139597e-21,0,
-0.113379002,2.26193337e-21,1.58743651e-21,1,1.424896909
-0.113134861,2.36404256e-21,1.58638745e-21,1,1.490205025
-0.11289072,2.43990877e-21,1.44317791e-21,1,1.690650029
-0.11264658,2.44940484e-21,1.17084232e-21,0,
-0.112402439,2.43914235e-21,8.77546937e-22,0,
-0.112158298,2.38870807e-21,6.92475409e-22,0,
-0.111914158,2.35556352e-21,7.74638555e-22,0,
-0.111670017,2.31672079e-21,9.71804562e-22,0,
-0.111425877,2.31645567e-21,1.13277079e-21,0,
-0.111181736,2.321679e-21,1.15456263e-21,0,
-0.110937595,2.36548493e-21,1.03118916e-21,0,
-0.110693455,2.40792132e-21,7.6251621e-22,0,
-0.110449314,2.4754849e-21,4.23877462e-22,0,
-0.110205173,2.53193417e-21,3.63637939e-22,0,
-0.109961033,2.60435714e-21,7.39179462e-22,0,
-0.109716892,2.65458693e-21,1.14044819e-21,0,
-0.109472752,2.6991266e-21,1.45143704e-21,1,1.859623621
-0.109228611,2.7000603e-21,1.60345886e-21,1,1.68389746
-0.10898447,2.67718088e-21,1.58647858e-21,1,1.687498908
-0.10874033,2.60654654e-21,1.38432992e-21,1,1.882894029
-0.108496189,2.51530035e-21,1.03279805e-21,0,
-0.108252048,2.39771864e-21,5.81519806e-22,0,
-0.108007908,2.29558788e-21,2.54795002e-22,0,
-0.107763767,2.21907614e-21,5.93582897e-22,0,
-0.107519627,2.20360031e-21,1.02595764e-21,0,
-0.107275486,2.23929383e-21,1.33826587e-21,0,
-0.107031345,2.33279487e-21,1.49078106e-21,0,
-0.106787205,2.45212723e-21,1.45451126e-21,1,1.685877098
-0.106543064,2.58728634e-21,1.24216394e-21,0,
-0.106298923,2.70434074e-21,8.94941258e-22,0,
-0.106054783,2.79764417e-21,5.2203686e-22,0,
-0.105810642,2.84909623e-21,5.01118078e-22,0,
-0.105566502,2.85752004e-21,8.81441441e-22,0,
-0.105322361,2.81365795e-21,1.27047096e-21,1,2.214657432
-0.10507822,2.71813322e-21,1.5414038e-21,1,1.763414119
-0.10483408,2.57870421e-21,1.64364712e-21,1,1.568891626
-0.104589939,2.40688557e-21,1.55649238e-21,1,1.546352296
-0.104345798,2.22828319e-21,1.30177172e-21,0,
-0.104101658,2.06657571e-21,9.18418869e-22,0,
-0.103857517,1.96392835e-21,5.44943619e-22,0,
-0.103613377,1.94282226e-21,5.51163641e-22,0,
-0.103369236,2.01072558e-21,9.18664075e-22,0,
-0.103125095,2.13428919e-21,1.28257081e-21,0,
-0.102880955,2.28000707e-21,1.51304272e-21,0,
-0.102636814,2.40641583e-21,1.56315554e-21,1,1.539460263
-0.102392673,2.49354094e-21,1.42554855e-21,1,1.749179948
-0.102148533,2.5164735e-21,1.11094006e-21,0,
-0.101904392,2.480622e-21,6.80612916e-22,0,
-0.101660252,2.38333824e-21,3.00971636e-22,0,
-0.101416111,2.25294948e-21,5.62396127e-22,0,
-0.10117197,2.09790668e-21,1.01287314e-21,0,
-0.10092783,1.95541807e-21,1.36902735e-21,0,
-0.100683689,1.83764073e-21,1.55539742e-21,0,
-0.100439548,1.77675925e-21,1.54914672e-21,0,
-0.100195408,1.7634405e-21,1.33931971e-21,0,
-0.099951267,1.79970398e-21,9.57532371e-22,0,
-0.099707127,1.85558349e-21,4.46248169e-22,0,
-0.099462986,1.92511148e-21,1.39997588e-22,0,
-0.099218845,1.97617981e-21,7.01396074e-22,0,
-0.098974705,2.00359258e-21,1.19066604e-21,0,
-0.098730564,1.98244604e-21,1.53610868e-21,0,
-0.098486423,1.92052113e-21,1.70243747e-21,0,
-0.098242283,1.80644908e-21,1.66480643e-21,0,
-0.097998142,1.66072455e-21,1.43909468e-21,0,
-0.097754002,1.49152833e-21,1.06379603e-21,0,
-0.097509861,1.34651977e-21,6.26306502e-22,0,
-0.09726572,1.25919881e-21,4.13294872e-22,0,
-0.09702158,1.27098224e-21,7.05810573e-22,0,
-0.096777439,1.36297215e-21,1.0606444e-21,0,
-0.096533298,1.50953139e-21,1.29308853e-21,0,
-0.096289158,1.6573489e-21,1.34331037e-21,0,
-0.096045017,1.78352594e-21,1.20493984e-21,0,
-0.095800877,1.85642945e-21,8.93760237e-22,0,
-0.095556736,1.87860849e-21,4.54703938e-22,0,
-0.095312595,1.84249298e-21,5.37026953e-23,0,
-0.095068455,1.76462339e-21,5.4528234e-22,0,
-0.094824314,1.64793282e-21,9.59060357e-22,0,
-0.094580173,1.51670375e-21,1.23518956e-21,0,
-0.094336033,1.38590899e-21,1.32751406e-21,0,
-0.094091892,1.28585097e-21,1.22474207e-21,0,
-0.093847752,1.23031138e-21,9.46378246e-22,0,
-0.093603611,1.2393115e-21,5.7120643e-22,0,
-0.09335947,1.30661336e-21,4.47870518e-22,0,
-0.09311533,1.42285565e-21,8.46780189e-22,0,
-0.092871189,1.55325742e-21,1.32087162e-21,0,
-0.092627048,1.67726865e-21,1.69784292e-21,0,
-0.092382908,1.76744959e-21,1.90155313e-21,0,
-0.092138767,1.8147775e-21,1.90063902e-21,0,
-0.091894627,1.80464585e-21,1.69064832e-21,0,
-0.091650486,1.73991382e-21,1.29820621e-21,0,
-0.091406345,1.62799509e-21,7.81443547e-22,0,
-0.091162205,1.49588137e-21,2.38349191e-22,0,
-0.090918064,1.37738314e-21,4.08955718e-22,0,
-0.090673923,1.31604674e-21,8.57474427e-22,0,
-0.090429783,1.3406522e-21,1.15568108e-21,0,
-0.090185642,1.45148144e-21,1.25263881e-21,0,
-0.089941502,1.61065801e-21,1.13429753e-21,0,
-0.089697361,1.77800113e-21,8.15860045e-22,0,
-0.08945322,1.91920071e-21,3.5701459e-22,0,
-0.08920908,2.0190309e-21,2.75972107e-22,0,
-0.088964939,2.06858962e-21,8.20405161e-22,0,
-0.088720798,2.06750884e-21,1.31308045e-21,0,
-0.088476658,2.0220871e-21,1.65936351e-21,0,
-0.088232517,1.94600435e-21,1.80454416e-21,1,1.078391093
-0.087988377,1.86114614e-21,1.72229796e-21,0,
-0.087744236,1.78847369e-21,1.41497575e-21,0,
-0.087500095,1.75235179e-21,9.21715405e-22,0,
-0.087255955,1.76924528e-21,3.01380327e-22,0,
-0.087011814,1.84724975e-21,3.66624719e-22,0,
-0.086767673,1.97264154e-21,9.92897513e-22,0,
-0.086523533,2.12399754e-21,1.49760863e-21,0,
-0.086279392,2.27503597e-21,1.81544695e-21,1,1.253154749
-0.086035252,2.40774586e-21,1.90768013e-21,1,1.262132903
-0.085791111,2.50194048e-21,1.76523721e-21,1,1.417339532
-0.08554697,2.54760673e-21,1.42153633e-21,1,1.792150273
-0.08530283,2.53562485e-21,9.51399646e-22,0,
-0.085058689,2.47454883e-21,5.64426971e-22,0,
-0.084814548,2.37246172e-21,7.0253668e-22,0,
-0.084570408,2.25183113e-21,1.11894717e-21,0,
-0.084326267,2.13053919e-21,1.44719653e-21,0,
-0.084082127,2.03925066e-21,1.58001737e-21,0,
-0.083837986,1.99448805e-21,1.47789284e-21,0,
-0.083593845,2.00783154e-21,1.15146378e-21,0,
-0.083349705,2.06628157e-21,6.51373595e-22,0,
-0.083105564,2.15949881e-21,2.7091221e-22,0,
-0.082861423,2.2678167e-21,7.83247408e-22,0,
-0.082617283,2.38118446e-21,1.39294327e-21,0,
-0.082373142,2.48187509e-21,1.87595095e-21,1,1.322995728
-0.082129002,2.56418327e-21,2.15740442e-21,1,1.188550118
-0.081884861,2.61604512e-21,2.19416701e-21,1,1.192272561
-0.08164072,2.63403747e-21,1.98569026e-21,1,1.32650974
-0.08139658,2.60672789e-21,1.5685556e-21,1,1.661865153
-0.081152439,2.53690567e-21,1.04380608e-21,0,
-0.080908298,2.43063531e-21,6.84970952e-22,0,
-0.080664158,2.31352972e-21,9.26586939e-22,0,
-0.080420017,2.21264325e-21,1.41467806e-21,0,
-0.080175877,2.16505077e-21,1.81162214e-21,1,1.195089592
-0.079931736,2.19281964e-21,2.00806724e-21,1,1.092005083
-0.079687595,2.30069673e-21,1.9770859e-21,1,1.163680712
-0.079443455,2.45886306e-21,1.74472585e-21,1,1.409311991
-0.079199314,2.63033615e-21,1.41102901e-21,1,1.864126207
-0.078955173,2.77677773e-21,1.18325145e-21,0,
-0.078711033,2.87773413e-21,1.29673009e-21,1,2.219223687
-0.078466892,2.91928746e-21,1.66226002e-21,1,1.756215893
-0.078222752,2.90258311e-21,2.0310909e-21,1,1.429075926
-0.077978611,2.83562964e-21,2.24634732e-21,1,1.262329123
