pair,bottleneck_rank,n_rows,n_reject_event_rows,n_tensor_fail,tensor_fail_rate,scalar_overlap_rate,mean_reject_tensor_mismatch_share,median_tensor_mismatch,median_scalar_mismatch,median_abs_corr,median_abs_lag_over_tolerance,median_obs_ratio_iqr_rel
H1-V1,1,3,3,3,1,0.6666667,0.7972203,0.0290511,0.3930713,0.1059332,7.5,0.7011839
L1-V1,2,3,3,2,0.6666667,0.3333333,0.5283078,0.028253,1.9119128,0.0932189,11,0.6866172
H1-L1,3,3,3,0,0,0.6666667,0.0078052,0.0006065383,0.0207609,0.5302713,4.375,0.7513267
