lag_ms,corr
-10.009766,-0.05569173
-9.765625,-0.05662735
-9.521484,-0.05366551
-9.277344,-0.04694925
-9.033203,-0.03682634
-8.789062,-0.02384491
-8.544922,-0.00875576
-8.300781,0.00751293
-8.056641,0.02391581
-7.8125,0.03936228
-7.568359,0.05278634
-7.324219,0.06323039
-7.080078,0.06995935
-6.835938,0.07258378
-6.591797,0.07113509
-6.347656,0.06604343
-6.103516,0.05801909
-5.859375,0.04788713
-5.615234,0.03643067
-5.371094,0.02427309
-5.126953,0.01181578
-4.882812,-0.00074777982
-4.638672,-0.01333277
-4.394531,-0.02581275
-4.150391,-0.037889
-3.90625,-0.04904347
-3.662109,-0.05859616
-3.417969,-0.06583794
-3.173828,-0.0701776
-2.929688,-0.07124136
-2.685547,-0.0688979
-2.441406,-0.06323061
-2.197266,-0.05449978
-1.953125,-0.04311674
-1.708984,-0.02962439
-1.464844,-0.01467684
-1.220703,0.00097672943
-0.976562,0.0165032
-0.732422,0.03101109
-0.488281,0.04361606
-0.244141,0.05355045
0,0.06028796
0.244141,0.06927313
0.488281,0.07481706
0.732422,0.07641193
0.976562,0.07374555
1.220703,0.06675611
1.464844,0.05567517
1.708984,0.04104484
1.953125,0.02369204
2.197266,0.0046604
2.441406,-0.01487821
2.685547,-0.03370874
2.929688,-0.05065021
3.173828,-0.06463799
3.417969,-0.07481958
3.662109,-0.08064785
3.90625,-0.0819371
4.150391,-0.07885541
4.394531,-0.07185637
4.638672,-0.06157966
4.882812,-0.04875518
5.126953,-0.03413391
5.371094,-0.01845378
5.615234,-0.00243612
5.859375,0.01320078
6.103516,0.02772887
6.347656,0.04041384
6.591797,0.05054319
6.835938,0.0574795
7.080078,0.06073067
7.324219,0.0600201
7.568359,0.05533381
7.8125,0.04692742
8.056641,0.03529619
8.300781,0.02113
8.544922,0.00527179
8.789062,-0.01132159
9.033203,-0.02763047
9.277344,-0.04264221
9.521484,-0.05543119
9.765625,-0.06523094
10.009766,-0.07148378
