t_s,env_h1,env_l1,selected,ratio_h1_l1_selected
-1.991406202,2.84517673e-09,7.72641514e-11,0,
-1.991162062,3.28339365e-09,4.53002664e-11,0,
-1.990917921,3.06876466e-09,7.44265071e-11,0,
-1.99067378,3.0149604e-09,6.04405723e-11,0,
-1.99042964,2.99079721e-09,6.51348891e-11,0,
-1.990185499,2.87311247e-09,6.2482223e-11,0,
-1.989941359,2.94502252e-09,8.64803209e-11,0,
-1.989697218,2.9750452e-09,1.35855222e-10,0,
-1.989453077,2.98171007e-09,1.67398958e-10,0,
-1.989208937,3.04606546e-09,1.94514788e-10,0,
-1.988964796,2.99639468e-09,2.0647132e-10,0,
-1.988720655,2.96936117e-09,1.96646834e-10,0,
-1.988476515,2.93962171e-09,1.86115322e-10,0,
-1.988232374,2.86472793e-09,1.73467752e-10,0,
-1.987988234,2.8688663e-09,1.8664843e-10,0,
-1.987744093,2.86253432e-09,2.27321381e-10,0,
-1.987499952,2.87638108e-09,2.61787613e-10,1,10.987460567
-1.987255812,2.94462336e-09,2.79239118e-10,1,10.545167829
-1.987011671,2.97068343e-09,2.66942055e-10,1,11.128570315
-1.98676753,3.01614298e-09,2.28694548e-10,0,
-1.98652339,3.04391314e-09,2.12837971e-10,0,
-1.986279249,3.01265174e-09,2.58632814e-10,1,11.648373958
-1.986035109,2.98769337e-09,3.42597976e-10,1,8.720697666
-1.985790968,2.90864377e-09,4.25354648e-10,1,6.83816147
-1.985546827,2.81424076e-09,4.68780002e-10,1,6.003329379
-1.985302687,2.74588367e-09,4.58180015e-10,1,5.993023673
-1.985058546,2.67174173e-09,3.95335651e-10,1,6.758160386
-1.984814405,2.66491774e-09,2.82132144e-10,1,9.445636706
-1.984570265,2.70865367e-09,1.49359436e-10,0,
-1.984326124,2.77124676e-09,8.46402505e-11,0,
-1.984081984,2.8761069e-09,1.8438606e-10,0,
-1.983837843,2.94944484e-09,2.82616805e-10,1,10.43619766
-1.983593702,2.98902291e-09,3.41456561e-10,1,8.753742807
-1.983349562,3.00700018e-09,3.49776021e-10,1,8.596930607
-1.983105421,2.97031322e-09,3.21404883e-10,1,9.241655552
-1.98286128,2.94165533e-09,2.65573812e-10,1,11.076601672
-1.98261714,2.92819795e-09,2.0543353e-10,0,
-1.982372999,2.92667714e-09,1.50791122e-10,0,
-1.982128859,2.96948006e-09,9.8610517e-11,0,
-1.981884718,2.99928042e-09,3.66315329e-11,0,
-1.981640577,3.00129522e-09,4.65713292e-11,0,
-1.981396437,2.97228188e-09,1.4035112e-10,0,
-1.981152296,2.87129229e-09,2.3386483e-10,0,
-1.980908155,2.7427733e-09,3.01460383e-10,1,9.098287695
-1.980664015,2.59823105e-09,3.28523902e-10,1,7.9088037
-1.980419874,2.45805997e-09,3.07477898e-10,1,7.994265563
-1.980175734,2.38477974e-09,2.45275327e-10,0,
-1.979931593,2.36764926e-09,1.90218103e-10,0,
-1.979687452,2.41900487e-09,2.18852473e-10,0,
-1.979443312,2.53632157e-09,3.11249227e-10,1,8.148844574
-1.979199171,2.66729259e-09,3.98432573e-10,1,6.694464196
-1.97895503,2.81678642e-09,4.42132142e-10,1,6.370915274
-1.97871089,2.95383833e-09,4.27543692e-10,1,6.908857223
-1.978466749,3.05365758e-09,3.61090218e-10,1,8.456771829
-1.978222609,3.13335395e-09,2.54185172e-10,1,12.327052464
-1.977978468,3.16187558e-09,1.33610246e-10,0,
-1.977734327,3.15586627e-09,3.28437389e-11,0,
-1.977490187,3.12935778e-09,6.51834969e-11,0,
-1.977246046,3.07199135e-09,9.45644482e-11,0,
-1.977001905,3.02296775e-09,8.37577655e-11,0,
-1.976757765,2.98119488e-09,7.39870853e-11,0,
-1.976513624,2.94647669e-09,1.40588742e-10,0,
-1.976269484,2.93994563e-09,2.37181969e-10,0,
-1.976025343,2.9328968e-09,3.26178894e-10,1,8.991681722
-1.975781202,2.92817391e-09,3.8616087e-10,1,7.582782555
-1.975537062,2.92858994e-09,4.05703813e-10,1,7.218541819
-1.975292921,2.91159109e-09,3.86692395e-10,1,7.52947596
-1.97504878,2.90170875e-09,3.32629028e-10,1,8.723558398
-1.97480464,2.89297139e-09,2.5709093e-10,1,11.252716626
-1.974560499,2.88376038e-09,1.72822319e-10,0,
-1.974316359,2.89621638e-09,9.01868187e-11,0,
-1.974072218,2.90902178e-09,2.76735591e-11,0,
-1.973828077,2.931158e-09,4.12500987e-11,0,
-1.973583937,2.96202687e-09,6.72119515e-11,0,
-1.973339796,2.9787841e-09,6.65401906e-11,0,
-1.973095655,2.99646573e-09,4.32433248e-11,0,
-1.972851515,2.99861446e-09,2.59346038e-11,0,
-1.972607374,2.97907191e-09,7.42002239e-11,0,
-1.972363234,2.95183559e-09,1.25837929e-10,0,
-1.972119093,2.89748878e-09,1.62236489e-10,0,
-1.971874952,2.83124466e-09,1.72075053e-10,0,
-1.971630812,2.76019349e-09,1.58101808e-10,0,
-1.971386671,2.67903492e-09,1.43575814e-10,0,
-1.97114253,2.61726798e-09,1.61444233e-10,0,
-1.97089839,2.5733555e-09,2.111986e-10,0,
-1.970654249,2.55520496e-09,2.62001972e-10,0,
-1.970410109,2.57873018e-09,2.88691712e-10,1,8.932470432
-1.970165968,2.62231676e-09,2.85768549e-10,1,9.176365874
-1.969921827,2.6868148e-09,2.59213071e-10,0,
-1.969677687,2.76075736e-09,2.25983261e-10,0,
-1.969433546,2.81845866e-09,2.05697526e-10,0,
-1.969189405,2.86762239e-09,1.9730818e-10,0,
-1.968945265,2.89356791e-09,1.87890755e-10,0,
-1.968701124,2.8933747e-09,1.66103922e-10,0,
-1.968456984,2.8821169e-09,1.48516241e-10,0,
-1.968212843,2.84746838e-09,1.60770025e-10,0,
-1.967968702,2.80432925e-09,2.01985785e-10,0,
-1.967724562,2.76020357e-09,2.37332472e-10,0,
-1.967480421,2.70928338e-09,2.45759278e-10,0,
-1.96723628,2.67323408e-09,2.17036661e-10,0,
-1.96699214,2.64628233e-09,1.56747562e-10,0,
-1.966747999,2.62959758e-09,7.92614138e-11,0,
-1.966503859,2.63276911e-09,2.3089948e-12,0,
-1.966259718,2.63674894e-09,5.53952154e-11,0,
-1.966015577,2.64714969e-09,8.90814255e-11,0,
-1.965771437,2.6606107e-09,1.08589133e-10,0,
-1.965527296,2.66697388e-09,1.44121539e-10,0,
-1.965283155,2.68388618e-09,2.01286268e-10,0,
-1.965039015,2.70589653e-09,2.5953474e-10,0,
-1.964794874,2.73506605e-09,2.91008185e-10,1,9.398588046
-1.964550734,2.77817957e-09,2.76490406e-10,1,10.048014348
-1.964306593,2.81244316e-09,2.08592758e-10,0,
-1.964062452,2.83514693e-09,9.00638944e-11,0,
-1.963818312,2.83529714e-09,6.13579601e-11,0,
-1.963574171,2.79722489e-09,2.24031653e-10,0,
-1.96333003,2.73586353e-09,3.70999152e-10,1,7.374312084
-1.96308589,2.65041226e-09,4.79436928e-10,1,5.528177135
-1.962841749,2.55814023e-09,5.35376639e-10,1,4.778206669
-1.962597609,2.48629062e-09,5.32376705e-10,1,4.670171707
-1.962353468,2.43923508e-09,4.78084651e-10,1,5.102098708
-1.962109327,2.43665403e-09,3.84943888e-10,1,6.329894056
-1.961865187,2.47542888e-09,2.71706029e-10,0,
-1.961621046,2.5363125e-09,1.58203077e-10,0,
-1.961376905,2.61495026e-09,7.01636394e-11,0,
-1.961132765,2.68517662e-09,8.19230435e-11,0,
-1.960888624,2.73737657e-09,1.40273185e-10,0,
-1.960644484,2.77434189e-09,1.83230028e-10,0,
-1.960400343,2.78728057e-09,2.03485716e-10,0,
-1.960156202,2.7952585e-09,1.98444319e-10,0,
-1.959912062,2.80679232e-09,1.70449113e-10,0,
-1.959667921,2.82339604e-09,1.32777513e-10,0,
-1.95942378,2.85683001e-09,1.12625216e-10,0,
-1.95917964,2.88920294e-09,1.34762099e-10,0,
-1.958935499,2.90856738e-09,1.75546733e-10,0,
-1.958691359,2.90704891e-09,2.04618548e-10,0,
-1.958447218,2.86436537e-09,2.10734197e-10,0,
-1.958203077,2.78999275e-09,1.93133936e-10,0,
-1.957958937,2.69127492e-09,1.58434564e-10,0,
-1.957714796,2.58128519e-09,1.23799334e-10,0,
-1.957470655,2.49394591e-09,1.09676488e-10,0,
-1.957226515,2.44069489e-09,1.2294651e-10,0,
-1.956982374,2.43478645e-09,1.46217769e-10,0,
-1.956738234,2.47691345e-09,1.6150951e-10,0,
-1.956494093,2.53825346e-09,1.63411508e-10,0,
-1.956249952,2.6030954e-09,1.53460044e-10,0,
-1.956005812,2.64692409e-09,1.45298165e-10,0,
-1.955761671,2.65124311e-09,1.62827673e-10,0,
-1.95551753,2.62614825e-09,2.10769326e-10,0,
-1.95527339,2.57564325e-09,2.69319427e-10,0,
-1.955029249,2.52440308e-09,3.1426329e-10,1,8.032764749
-1.954785109,2.49981009e-09,3.30243259e-10,1,7.56960216
-1.954540968,2.50430435e-09,3.07374769e-10,1,8.147397241
-1.954296827,2.54215485e-09,2.4870195e-10,0,
-1.954052687,2.5941117e-09,1.65220905e-10,0,
-1.953808546,2.63268136e-09,8.4785083e-11,0,
-1.953564405,2.64972566e-09,7.07888099e-11,0,
-1.953320265,2.62715647e-09,1.04338335e-10,0,
-1.953076124,2.56761863e-09,1.06782241e-10,0,
-1.952831984,2.48420642e-09,6.52644155e-11,0,
-1.952587843,2.3836052e-09,5.05693791e-11,0,
-1.952343702,2.29507247e-09,1.63359643e-10,0,
-1.952099562,2.23471667e-09,2.94624793e-10,0,
-1.951855421,2.21128411e-09,4.15743865e-10,1,5.318861668
-1.95161128,2.23252378e-09,5.04369848e-10,1,4.426362492
-1.95136714,2.27645388e-09,5.47141092e-10,1,4.160634089
-1.951122999,2.3255548e-09,5.377867e-10,1,4.324307026
-1.950878859,2.36567978e-09,4.78870816e-10,1,4.940121007
-1.950634718,2.37683997e-09,3.82107415e-10,1,6.220345063
-1.950390577,2.36514343e-09,2.63205266e-10,0,
-1.950146437,2.33435695e-09,1.4694834e-10,0,
-1.949902296,2.291577e-09,7.92472541e-11,0,
-1.949658155,2.25712033e-09,1.11142854e-10,0,
-1.949414015,2.23070314e-09,1.51203086e-10,0,
-1.949169874,2.21562155e-09,1.65080653e-10,0,
