t_s,env_h1,env_v1,selected,ratio_h1_v1_selected
-0.119921923,2.47222591e-10,2.57179842e-09,1,0.096128293
-0.119677782,1.77437162e-10,2.48120526e-09,1,0.071512488
-0.119433641,1.58072402e-10,2.37828894e-09,0,
-0.119189501,1.32336466e-10,2.41152021e-09,0,
-0.11894536,1.14388466e-10,2.34259487e-09,0,
-0.11870122,9.66058968e-11,2.3842177e-09,0,
-0.118457079,7.87180758e-11,2.33740068e-09,0,
-0.118212938,6.45401443e-11,2.37259158e-09,0,
-0.117968798,4.78518781e-11,2.34864211e-09,0,
-0.117724657,3.66492498e-11,2.38197699e-09,0,
-0.117480516,2.35642752e-11,2.38734858e-09,0,
-0.117236376,1.84032834e-11,2.428978e-09,0,
-0.116992235,1.70998172e-11,2.46708681e-09,0,
-0.116748095,2.3448262e-11,2.52031543e-09,0,
-0.116503954,2.92514908e-11,2.58342372e-09,0,
-0.116259813,3.67455357e-11,2.63905582e-09,0,
-0.116015673,4.09905864e-11,2.70818245e-09,0,
-0.115771532,4.63594658e-11,2.74932925e-09,0,
-0.115527391,4.78042871e-11,2.8019371e-09,0,
-0.115283251,4.98496469e-11,2.81333562e-09,0,
-0.11503911,4.84617277e-11,2.83209104e-09,0,
-0.11479497,4.67142137e-11,2.80691613e-09,0,
-0.114550829,4.30602953e-11,2.78522405e-09,0,
-0.114306688,3.81971086e-11,2.72760435e-09,0,
-0.114062548,3.37390683e-11,2.67158158e-09,0,
-0.113818407,2.82953269e-11,2.59611517e-09,0,
-0.113574266,2.58107327e-11,2.52375789e-09,0,
-0.113330126,2.41752066e-11,2.45310172e-09,0,
-0.113085985,2.52315495e-11,2.39041421e-09,0,
-0.112841845,2.71786204e-11,2.34996677e-09,0,
-0.112597704,2.8021018e-11,2.32232918e-09,0,
-0.112353563,2.86564712e-11,2.33006663e-09,0,
-0.112109423,2.64692233e-11,2.34958333e-09,0,
-0.111865282,2.4588332e-11,2.40507448e-09,0,
-0.111621141,2.2675633e-11,2.46328057e-09,0,
-0.111377001,2.694505e-11,2.54697458e-09,0,
-0.11113286,3.65066921e-11,2.62100758e-09,0,
-0.11088872,5.19296028e-11,2.70495265e-09,0,
-0.110644579,6.91951131e-11,2.76974193e-09,0,
-0.110400438,8.90804224e-11,2.82896233e-09,0,
-0.110156298,1.08293675e-10,2.86553316e-09,0,
-0.109912157,1.27783777e-10,2.8844303e-09,0,
-0.109668016,1.44674252e-10,2.88338836e-09,1,0.050175084
-0.109423876,1.59540867e-10,2.8582099e-09,1,0.055818457
-0.109179735,1.70357455e-10,2.82070913e-09,1,0.060395258
-0.108935595,1.77125755e-10,2.75959607e-09,1,0.064185392
-0.108691454,1.79062316e-10,2.69685031e-09,1,0.066396832
-0.108447313,1.75636308e-10,2.61788065e-09,1,0.06709103
-0.108203173,1.6741577e-10,2.54897081e-09,1,0.065679752
-0.107959032,1.53581872e-10,2.47591137e-09,0,
-0.107714891,1.35870673e-10,2.42288649e-09,0,
-0.107470751,1.13557868e-10,2.37805577e-09,0,
-0.10722661,8.92850267e-11,2.35780841e-09,0,
-0.10698247,6.31937227e-11,2.35311697e-09,0,
-0.106738329,4.05180859e-11,2.36923024e-09,0,
-0.106494188,3.0897173e-11,2.40080267e-09,0,
-0.106250048,4.43756128e-11,2.44220341e-09,0,
-0.106005907,6.53299438e-11,2.49363586e-09,0,
-0.105761766,8.62356999e-11,2.541487e-09,0,
-0.105517626,1.03515251e-10,2.59241569e-09,0,
-0.105273485,1.17053702e-10,2.62873042e-09,0,
-0.105029345,1.2511064e-10,2.66226227e-09,0,
-0.104785204,1.28742586e-10,2.67555637e-09,0,
-0.104541063,1.26843172e-10,2.68281855e-09,0,
-0.104296923,1.21180461e-10,2.67100266e-09,0,
-0.104052782,1.11454815e-10,2.65363189e-09,0,
-0.103808641,1.00061339e-10,2.62497453e-09,0,
-0.103564501,8.78109925e-11,2.59528109e-09,0,
-0.10332036,7.793828e-11,2.56660122e-09,0,
-0.10307622,7.20811024e-11,2.54367107e-09,0,
-0.102832079,7.2508527e-11,2.53396296e-09,0,
-0.102587938,7.75216328e-11,2.53466614e-09,0,
-0.102343798,8.56172154e-11,2.55489696e-09,0,
-0.102099657,9.35967921e-11,2.58381232e-09,0,
-0.101855516,1.0072836e-10,2.62976913e-09,0,
-0.101611376,1.05511881e-10,2.67662867e-09,0,
-0.101367235,1.08544065e-10,2.73171337e-09,0,
-0.101123095,1.09768586e-10,2.77848494e-09,0,
-0.100878954,1.10603322e-10,2.82298167e-09,0,
-0.100634813,1.11854398e-10,2.85276478e-09,0,
-0.100390673,1.14849795e-10,2.87118072e-09,0,
-0.100146532,1.19853206e-10,2.87259911e-09,0,
-0.099902391,1.2668692e-10,2.85612679e-09,0,
-0.099658251,1.34258391e-10,2.82357162e-09,0,
-0.09941411,1.41095352e-10,2.76968682e-09,0,
-0.09916997,1.45820082e-10,2.70258711e-09,0,
-0.098925829,1.46762987e-10,2.61472464e-09,0,
-0.098681688,1.43186263e-10,2.51850987e-09,0,
-0.098437548,1.33761827e-10,2.4077603e-09,0,
-0.098193407,1.18720228e-10,2.29736385e-09,0,
-0.097949266,9.74610375e-11,2.18611445e-09,0,
-0.097705126,7.17233749e-11,2.08984834e-09,0,
-0.097460985,4.44763243e-11,2.01299859e-09,0,
-0.097216845,3.46589826e-11,1.96849696e-09,0,
-0.096972704,6.08323131e-11,1.96059497e-09,0,
-0.096728563,1.00354974e-10,1.99130459e-09,0,
-0.096484423,1.42570635e-10,2.0572604e-09,0,
