event,quality,usable_pair_count,pair_names,pair_tensor_overlap_count,pair_scalar_overlap_count,status,status_reason,scalar_overlap_fraction,tensor_mismatch_max,scalar_mismatch_max,ring_directions_used
GW200115_042309,missing,0,,0,0,inconclusive_insufficient_pairs,"low_corr=H1-L1,H1-V1,L1-V1",,,,0
GW200129_065458,low_corr,1,H1-L1,0,0,inconclusive_insufficient_pairs,"low_corr=H1-V1,L1-V1",,,,0
GW200311_115853,missing,0,,0,0,inconclusive_insufficient_pairs,"low_corr=H1-L1,H1-V1,L1-V1",,,,0
