trial_id,status,reason,n_usable_events,n_pair_pruned_events,scalar_overlap_proxy,corr_use_min,response_floor_frac,min_ring_directions,geometry_relax_factor,geometry_delay_floor_ms,allow_pair_pruning,returncode,trial_json
tmp_ng_tune_0001,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.03,0.05,8,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0001.json
tmp_ng_tune_0003,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.03,0.05,8,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0003.json
tmp_ng_tune_0009,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.03,0.1,8,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0009.json
tmp_ng_tune_0011,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.03,0.1,8,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0011.json
tmp_ng_tune_0017,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.03,0.15,8,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0017.json
tmp_ng_tune_0019,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.03,0.15,8,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0019.json
tmp_ng_tune_0025,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.05,0.05,8,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0025.json
tmp_ng_tune_0033,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.05,0.1,8,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0033.json
tmp_ng_tune_0041,reject,tensor_response_failed_for_some_events,1,0,0.3333333,0.05,0.15,8,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0041.json
tmp_ng_tune_0005,reject,tensor_response_failed_for_some_events,1,0,0.6666667,0.03,0.05,12,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0005.json
tmp_ng_tune_0013,reject,tensor_response_failed_for_some_events,1,0,0.6666667,0.03,0.1,12,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0013.json
tmp_ng_tune_0021,reject,tensor_response_failed_for_some_events,1,0,0.6666667,0.03,0.15,12,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0021.json
tmp_ng_tune_0029,reject,tensor_response_failed_for_some_events,1,0,0.6666667,0.05,0.05,12,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0029.json
tmp_ng_tune_0037,reject,tensor_response_failed_for_some_events,1,0,0.6666667,0.05,0.1,12,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0037.json
tmp_ng_tune_0045,reject,tensor_response_failed_for_some_events,1,0,0.6666667,0.05,0.15,12,2,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0045.json
tmp_ng_tune_0007,reject,tensor_response_failed_for_some_events,1,0,1,0.03,0.05,12,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0007.json
tmp_ng_tune_0015,reject,tensor_response_failed_for_some_events,1,0,1,0.03,0.1,12,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0015.json
tmp_ng_tune_0023,reject,tensor_response_failed_for_some_events,1,0,1,0.03,0.15,12,4,0.25,False,0,C:/develop/waveP/output/private/gw/tmp_ng_tune_0023.json
