t_s,env_h1,env_l1,selected,ratio_h1_l1_selected
-0.096045017,3.67952937e-22,1.28930938e-22,0,
-0.095800877,3.53343573e-22,9.09047188e-23,0,
-0.095556736,3.31848522e-22,5.45450262e-23,0,
-0.095312595,3.02333752e-22,4.19301309e-23,0,
-0.095068455,2.68181658e-22,7.45385314e-23,0,
-0.094824314,2.31554335e-22,1.19623133e-22,0,
-0.094580173,1.95776301e-22,1.63290068e-22,0,
-0.094336033,1.65721737e-22,2.02532001e-22,0,
-0.094091892,1.52675592e-22,2.34181865e-22,0,
-0.093847752,1.62174789e-22,2.56344814e-22,0,
-0.093603611,1.87634464e-22,2.68438068e-22,0,
-0.09335947,2.16933483e-22,2.68303135e-22,0,
-0.09311533,2.44408656e-22,2.57966258e-22,0,
-0.092871189,2.64568396e-22,2.35888388e-22,0,
-0.092627048,2.74477925e-22,2.07269609e-22,0,
-0.092382908,2.71903815e-22,1.72966793e-22,0,
-0.092138767,2.59020438e-22,1.42616466e-22,0,
-0.091894627,2.38848335e-22,1.2199863e-22,0,
-0.091650486,2.13775749e-22,1.21951287e-22,0,
-0.091406345,1.85331326e-22,1.36928674e-22,0,
-0.091162205,1.55140863e-22,1.59954303e-22,0,
-0.090918064,1.26393055e-22,1.8058553e-22,0,
-0.090673923,9.92500283e-23,1.97615397e-22,0,
-0.090429783,7.29110615e-23,2.06797094e-22,0,
-0.090185642,4.62177196e-23,2.11031558e-22,0,
-0.089941502,2.70512738e-23,2.07881233e-22,0,
-0.089697361,3.11999075e-23,2.01523832e-22,0,
-0.08945322,4.68228844e-23,1.90207348e-22,0,
-0.08920908,6.03711485e-23,1.79086668e-22,0,
-0.088964939,6.7162809e-23,1.67807792e-22,0,
-0.088720798,6.45183679e-23,1.63082856e-22,0,
-0.088476658,4.9771561e-23,1.65195984e-22,0,
-0.088232517,2.35612526e-23,1.78536805e-22,0,
-0.087988377,1.28934468e-23,1.98179856e-22,0,
-0.087744236,5.24641342e-23,2.23313421e-22,0,
-0.087500095,9.38211197e-23,2.46539221e-22,0,
-0.087255955,1.34345535e-22,2.66943201e-22,0,
-0.087011814,1.68702554e-22,2.78418647e-22,0,
-0.086767673,1.93543603e-22,2.81516674e-22,0,
-0.086523533,2.05128376e-22,2.72541788e-22,0,
-0.086279392,2.04837934e-22,2.53838406e-22,0,
-0.086035252,1.94423038e-22,2.24845129e-22,0,
-0.085791111,1.7689791e-22,1.9005712e-22,0,
-0.08554697,1.54109014e-22,1.53396111e-22,0,
-0.08530283,1.29659102e-22,1.25593846e-22,0,
-0.085058689,1.08024314e-22,1.19182337e-22,0,
-0.084814548,9.12525982e-23,1.41508096e-22,0,
-0.084570408,7.79977395e-23,1.80146579e-22,0,
-0.084326267,7.06835906e-23,2.26763296e-22,0,
-0.084082127,7.7800796e-23,2.72854011e-22,0,
-0.083837986,1.0100468e-22,3.17426022e-22,0,
-0.083593845,1.31382958e-22,3.55861245e-22,0,
-0.083349705,1.63565593e-22,3.88016281e-22,0,
-0.083105564,1.92400219e-22,4.10519678e-22,1,0.46867478
-0.082861423,2.13494796e-22,4.22968917e-22,1,0.504752919
-0.082617283,2.21698764e-22,4.23780746e-22,1,0.523144965
-0.082373142,2.16339453e-22,4.1293345e-22,1,0.523908762
-0.082129002,2.00639634e-22,3.9173403e-22,0,
-0.081884861,1.80895961e-22,3.61620504e-22,0,
-0.08164072,1.64450524e-22,3.27596683e-22,0,
-0.08139658,1.59567067e-22,2.93445855e-22,0,
-0.081152439,1.71230972e-22,2.67125856e-22,0,
-0.080908298,1.94153326e-22,2.52237145e-22,0,
-0.080664158,2.17034242e-22,2.52562916e-22,0,
-0.080420017,2.32661114e-22,2.63660006e-22,0,
-0.080175877,2.40408254e-22,2.82223875e-22,0,
-0.079931736,2.43349266e-22,3.01581312e-22,0,
-0.079687595,2.45087862e-22,3.20288598e-22,0,
-0.079443455,2.48782491e-22,3.34112826e-22,1,0.744606227
-0.079199314,2.58090096e-22,3.43984988e-22,1,0.750294649
-0.078955173,2.72575917e-22,3.4650674e-22,1,0.786639583
-0.078711033,2.86912e-22,3.4345964e-22,1,0.835358707
-0.078466892,2.93665005e-22,3.3158421e-22,1,0.885642308
-0.078222752,2.90658922e-22,3.13070934e-22,1,0.928412351
-0.077978611,2.79748761e-22,2.85213704e-22,1,0.980839127
-0.07773447,2.66817697e-22,2.50633278e-22,0,
-0.07749033,2.57771e-22,2.07958411e-22,0,
-0.077246189,2.61289297e-22,1.60231335e-22,0,
