t_s,env_h1,env_v1,selected,ratio_h1_v1_selected
-0.096630812,2.15575229e-10,6.36263361e-09,1,0.033881446
-0.096386671,2.31989703e-10,6.34387736e-09,1,0.036569071
-0.09614253,2.40501454e-10,6.32345227e-09,1,0.038033252
-0.09589839,2.39376571e-10,6.24787968e-09,1,0.038313249
-0.095654249,2.30329107e-10,6.16208759e-09,1,0.037378421
-0.095410109,2.14650908e-10,6.04426822e-09,1,0.035513134
-0.095165968,1.94978671e-10,5.91061283e-09,0,
-0.094921827,1.77492012e-10,5.77433272e-09,0,
-0.094677687,1.67474609e-10,5.62138365e-09,0,
-0.094433546,1.73417765e-10,5.4954899e-09,0,
-0.094189405,1.95099986e-10,5.35644336e-09,0,
-0.093945265,2.28716971e-10,5.26793294e-09,1,0.043416834
-0.093701124,2.68286378e-10,5.17124205e-09,1,0.051880453
-0.093456984,3.07479622e-10,5.13658952e-09,1,0.059860657
-0.093212843,3.44032185e-10,5.09669276e-09,1,0.067501064
-0.092968702,3.73113218e-10,5.11537098e-09,1,0.072939621
-0.092724562,3.94541712e-10,5.12874407e-09,1,0.076927549
-0.092480421,4.05102741e-10,5.18382127e-09,1,0.078147513
-0.09223628,4.05283327e-10,5.23294874e-09,1,0.077448365
-0.09199214,3.93898222e-10,5.29875681e-09,1,0.074337856
-0.091747999,3.71497298e-10,5.36039394e-09,1,0.069304104
-0.091503859,3.39144516e-10,5.41200928e-09,1,0.062665176
-0.091259718,2.97332318e-10,5.46445e-09,1,0.054412122
-0.091015577,2.49304082e-10,5.48454635e-09,1,0.045455734
-0.090771437,1.96140763e-10,5.51214143e-09,0,
-0.090527296,1.44079156e-10,5.49432297e-09,0,
-0.090283155,1.00760282e-10,5.49009879e-09,0,
-0.090039015,8.71191925e-11,5.43951479e-09,0,
-0.089794874,1.12212496e-10,5.40658817e-09,0,
-0.089550734,1.52878423e-10,5.33854177e-09,0,
-0.089306593,1.9520372e-10,5.28991523e-09,0,
-0.089062452,2.31708887e-10,5.22656684e-09,1,0.044332904
-0.088818312,2.60528929e-10,5.18217558e-09,1,0.050274045
-0.088574171,2.79890903e-10,5.14695487e-09,1,0.054379902
-0.08833003,2.88914272e-10,5.12721683e-09,1,0.056349143
-0.08808589,2.88342563e-10,5.1371069e-09,1,0.056129368
-0.087841749,2.77492575e-10,5.15443714e-09,1,0.05383567
-0.087597609,2.58913071e-10,5.21267633e-09,1,0.049669892
-0.087353468,2.32395539e-10,5.26551884e-09,1,0.044135354
-0.087109327,2.0159903e-10,5.35927169e-09,0,
-0.086865187,1.67449397e-10,5.43293602e-09,0,
-0.086621046,1.34239629e-10,5.53801366e-09,0,
-0.086376905,1.05599264e-10,5.61149915e-09,0,
-0.086132765,8.67457086e-11,5.70118017e-09,0,
-0.085888624,8.24425567e-11,5.75529375e-09,0,
-0.085644484,8.81380181e-11,5.8087706e-09,0,
-0.085400343,9.76835617e-11,5.83199378e-09,0,
-0.085156202,1.04266062e-10,5.83994855e-09,0,
-0.084912062,1.05416895e-10,5.83116528e-09,0,
-0.084667921,1.00282341e-10,5.79776011e-09,0,
-0.08442378,8.90833369e-11,5.76604137e-09,0,
-0.08417964,7.57383553e-11,5.70719615e-09,0,
-0.083935499,6.68616845e-11,5.66877036e-09,0,
-0.083691359,7.41758845e-11,5.60695112e-09,0,
-0.083447218,9.8899633e-11,5.57962359e-09,0,
-0.083203077,1.3387659e-10,5.53628287e-09,0,
-0.082958937,1.72577765e-10,5.53268036e-09,0,
-0.082714796,2.11352425e-10,5.52097631e-09,0,
-0.082470655,2.46778774e-10,5.54355646e-09,1,0.044516327
-0.082226515,2.77387817e-10,5.56465691e-09,1,0.049848144
-0.081982374,3.0026807e-10,5.60529619e-09,1,0.053568636
-0.081738234,3.15291762e-10,5.64970895e-09,1,0.055806726
-0.081494093,3.20041896e-10,5.69381067e-09,1,0.056208735
-0.081249952,3.15633752e-10,5.74599693e-09,1,0.054931069
-0.081005812,3.00605277e-10,5.77826038e-09,1,0.052023491
-0.080761671,2.77322605e-10,5.82174037e-09,1,0.047635688
-0.08051753,2.45971979e-10,5.83087889e-09,1,0.042184375
-0.08027339,2.10831252e-10,5.85246898e-09,1,0.036024326
-0.080029249,1.75714624e-10,5.8340216e-09,0,
-0.079785109,1.50463405e-10,5.82709758e-09,0,
-0.079540968,1.45062169e-10,5.78455616e-09,0,
-0.079296827,1.64995615e-10,5.75106921e-09,0,
-0.079052687,2.00857094e-10,5.69535075e-09,0,
-0.078808546,2.43893925e-10,5.64561144e-09,1,0.043200622
-0.078564405,2.85722677e-10,5.59236755e-09,1,0.051091541
-0.078320265,3.23448382e-10,5.54160418e-09,1,0.058367283
-0.078076124,3.52997752e-10,5.50607407e-09,1,0.064110607
-0.077831984,3.73614339e-10,5.46817893e-09,1,0.068325185
-0.077587843,3.83256214e-10,5.45889213e-09,1,0.070207691
-0.077343702,3.81976888e-10,5.44020497e-09,1,0.070213694
