t_s,env_h1,env_l1,selected,ratio_h1_l1_selected
-0.119970798,2.27490123e-23,1.34302018e-22,0,
-0.119726658,2.51317775e-23,1.11419426e-22,0,
-0.119482517,4.431753e-23,1.0663901e-22,0,
-0.119238377,9.38066907e-23,1.0122795e-22,0,
-0.118994236,1.39401669e-22,1.06739246e-22,0,
-0.118750095,1.87735054e-22,1.21177278e-22,0,
-0.118505955,2.20064147e-22,1.51045349e-22,0,
-0.118261814,2.52247969e-22,1.86380089e-22,0,
-0.118017673,2.6740633e-22,2.28280901e-22,0,
-0.117773533,2.86856678e-22,2.68653488e-22,0,
-0.117529392,2.98152159e-22,3.0657853e-22,0,
-0.117285252,3.1997835e-22,3.38349106e-22,1,0.94570473
-0.117041111,3.36685849e-22,3.61193155e-22,1,0.932149028
-0.11679697,3.56770895e-22,3.75751077e-22,1,0.949487351
-0.11655283,3.62909649e-22,3.7831943e-22,1,0.959267802
-0.116308689,3.598149e-22,3.72783396e-22,1,0.965211712
-0.116064548,3.36554908e-22,3.54862988e-22,1,0.948408031
-0.115820408,2.97721247e-22,3.30114917e-22,1,0.901871535
-0.115576267,2.42278963e-22,2.94503592e-22,0,
-0.115332127,1.77476727e-22,2.54883157e-22,0,
-0.115087986,1.16003239e-22,2.09326499e-22,0,
-0.114843845,8.6378296e-23,1.67699572e-22,0,
-0.114599705,1.10150358e-22,1.34386208e-22,0,
-0.114355564,1.54307631e-22,1.24775511e-22,0,
-0.114111423,1.8886863e-22,1.36707519e-22,0,
-0.113867283,2.11172542e-22,1.6229039e-22,0,
-0.113623142,2.17530531e-22,1.86293764e-22,0,
-0.113379002,2.14411649e-22,2.05453744e-22,0,
-0.113134861,2.06017241e-22,2.13024341e-22,0,
-0.11289072,1.98044868e-22,2.10827199e-22,0,
-0.11264658,1.9118478e-22,1.95601362e-22,0,
-0.112402439,1.82239407e-22,1.71758757e-22,0,
-0.112158298,1.67255659e-22,1.39149075e-22,0,
-0.111914158,1.41597099e-22,1.05531198e-22,0,
-0.111670017,1.07614727e-22,7.88682596e-23,0,
-0.111425877,7.64353969e-23,7.9712514e-23,0,
-0.111181736,8.48143666e-23,1.06669816e-22,0,
-0.110937595,1.33912827e-22,1.45627712e-22,0,
-0.110693455,1.89995393e-22,1.84825582e-22,0,
-0.110449314,2.39809357e-22,2.2257828e-22,0,
-0.110205173,2.74145064e-22,2.54765587e-22,0,
-0.109961033,2.90486693e-22,2.8242529e-22,0,
-0.109716892,2.88522041e-22,3.02407458e-22,0,
-0.109472752,2.71715121e-22,3.16315899e-22,0,
-0.109228611,2.49545971e-22,3.21638097e-22,0,
-0.10898447,2.31484885e-22,3.207467e-22,0,
-0.10874033,2.27304018e-22,3.13025907e-22,0,
-0.108496189,2.34106393e-22,3.02889513e-22,0,
-0.108252048,2.44793607e-22,2.92357317e-22,0,
-0.108007908,2.48065977e-22,2.86617622e-22,0,
-0.107763767,2.40312064e-22,2.86486499e-22,0,
-0.107519627,2.19395518e-22,2.92858509e-22,0,
-0.107275486,1.94920083e-22,3.01784087e-22,0,
-0.107031345,1.79453455e-22,3.10700207e-22,0,
-0.106787205,1.89543714e-22,3.15714722e-22,0,
-0.106543064,2.21312315e-22,3.16421136e-22,0,
-0.106298923,2.62241132e-22,3.1299584e-22,0,
-0.106054783,2.98700369e-22,3.08447906e-22,0,
-0.105810642,3.26210188e-22,3.05759601e-22,1,1.066884529
-0.105566502,3.42075449e-22,3.0775552e-22,1,1.111516859
-0.105322361,3.51925487e-22,3.14681353e-22,1,1.118355073
-0.10507822,3.59402778e-22,3.24240296e-22,1,1.108445747
-0.10483408,3.70970462e-22,3.32669739e-22,1,1.115131369
-0.104589939,3.83309541e-22,3.35968795e-22,1,1.140908162
-0.104345798,3.93362214e-22,3.32145013e-22,1,1.184308659
-0.104101658,3.91649423e-22,3.20098724e-22,1,1.223526975
