lag_ms,corr
-10.009766,0.25648885
-9.765625,0.28811179
-9.521484,0.32816133
-9.277344,0.37535559
-9.033203,0.42616061
-8.789062,0.47585094
-8.544922,0.52000307
-8.300781,0.55575178
-8.056641,0.58223498
-7.8125,0.60040112
-7.568359,0.6125009
-7.324219,0.62134999
-7.080078,0.62966651
-6.835938,0.63976419
-6.591797,0.65331731
-6.347656,0.67088791
-6.103516,0.69156016
-5.859375,0.71309891
-5.615234,0.73236273
-5.371094,0.74565834
-5.126953,0.74948118
-4.882812,0.74192847
-4.638672,0.72384462
-4.394531,0.69863224
-4.150391,0.67101934
-3.90625,0.64564667
-3.662109,0.62575925
-3.417969,0.61220835
-3.173828,0.60327587
-2.929688,0.59545957
-2.685547,0.58469539
-2.441406,0.56744271
-2.197266,0.54145258
-1.953125,0.5061747
-1.708984,0.46275422
-1.464844,0.41375739
-1.220703,0.36272219
-0.976562,0.31340872
-0.732422,0.26887283
-0.488281,0.23079009
-0.244141,0.19917523
0,0.17234697
0.244141,0.14726299
0.488281,0.12090597
0.732422,0.08959194
0.976562,0.05067615
1.220703,0.0035443
1.464844,-0.05004981
1.708984,-0.10622635
1.953125,-0.16006473
2.197266,-0.20737858
2.441406,-0.24589349
2.685547,-0.27537553
2.929688,-0.29759883
3.173828,-0.31612286
3.417969,-0.3351101
3.662109,-0.35777794
3.90625,-0.38570038
4.150391,-0.41891187
4.394531,-0.4560457
4.638672,-0.49453447
4.882812,-0.53131715
5.126953,-0.56355134
5.371094,-0.5887455
5.615234,-0.60514485
5.859375,-0.61281045
6.103516,-0.61385029
6.347656,-0.61122811
6.591797,-0.60800037
6.835938,-0.60752349
7.080078,-0.61266713
7.324219,-0.62375037
7.568359,-0.63787305
7.8125,-0.6508763
8.056641,-0.65938123
8.300781,-0.66067572
8.544922,-0.65238068
8.789062,-0.63396329
9.033203,-0.60798503
9.277344,-0.57876319
9.521484,-0.55029356
9.765625,-0.52554115
10.009766,-0.5062242
