t_s,env_l1,env_v1,selected,ratio_l1_v1_selected
-0.092627048,2.24976177e-22,3.31603536e-21,0,
-0.092382908,2.28806835e-22,3.40106415e-21,0,
-0.092138767,2.34183669e-22,3.54088705e-21,0,
-0.091894627,2.4237939e-22,3.73072602e-21,0,
-0.091650486,2.54106071e-22,3.91942656e-21,0,
-0.091406345,2.68550707e-22,4.05763551e-21,1,0.066184039
-0.091162205,2.84631598e-22,4.11204911e-21,1,0.06921892
-0.090918064,3.00884623e-22,4.0338446e-21,1,0.074590038
-0.090673923,3.1659316e-22,3.82799483e-21,1,0.082704699
-0.090429783,3.31276584e-22,3.49887036e-21,1,0.094681011
-0.090185642,3.45418901e-22,3.09440676e-21,0,
-0.089941502,3.59541375e-22,2.7186631e-21,0,
-0.089697361,3.74259725e-22,2.49309259e-21,0,
-0.08945322,3.89112633e-22,2.54698689e-21,0,
-0.08920908,4.02910295e-22,2.86159078e-21,1,0.140799411
-0.088964939,4.13452312e-22,3.29346817e-21,1,0.12553706
-0.088720798,4.18430402e-22,3.72086907e-21,1,0.112455019
-0.088476658,4.15571178e-22,4.03407082e-21,1,0.10301534
-0.088232517,4.03450389e-22,4.18264995e-21,1,0.096458081
-0.087988377,3.81691824e-22,4.14986849e-21,1,0.091976848
-0.087744236,3.51369809e-22,3.93502697e-21,1,0.089292859
-0.087500095,3.15163963e-22,3.60396088e-21,1,0.08744933
-0.087255955,2.7752823e-22,3.23732905e-21,0,
-0.087011814,2.44829875e-22,2.98118108e-21,0,
-0.086767673,2.24194385e-22,2.98329574e-21,0,
-0.086523533,2.20456032e-22,3.26585312e-21,0,
-0.086279392,2.3264072e-22,3.74059485e-21,0,
-0.086035252,2.5527724e-22,4.25935756e-21,1,0.059933273
-0.085791111,2.8256503e-22,4.7032998e-21,1,0.060078039
-0.08554697,3.10433165e-22,5.01171731e-21,1,0.061941475
-0.08530283,3.36470513e-22,5.12868018e-21,1,0.065605673
-0.085058689,3.59330964e-22,5.05602994e-21,1,0.071069786
-0.084814548,3.78356468e-22,4.80250178e-21,1,0.078783202
-0.084570408,3.93585988e-22,4.40432764e-21,1,0.089363467
-0.084326267,4.05788029e-22,3.93739751e-21,1,0.10305996
-0.084082127,4.1662393e-22,3.47715381e-21,1,0.119817515
-0.083837986,4.27953696e-22,3.14583419e-21,1,0.136038224
-0.083593845,4.41190375e-22,3.03572106e-21,1,0.145332976
-0.083349705,4.56158252e-22,3.16038203e-21,1,0.144336428
-0.083105564,4.7121052e-22,3.46386578e-21,1,0.136036022
-0.082861423,4.83258947e-22,3.83492884e-21,1,0.126015102
-0.082617283,4.89043988e-22,4.19890126e-21,1,0.116469514
-0.082373142,4.85555066e-22,4.51557058e-21,1,0.107529061
-0.082129002,4.71296626e-22,4.74916492e-21,1,0.099237789
-0.081884861,4.46129565e-22,4.90632024e-21,1,0.090929565
-0.08164072,4.12004134e-22,4.9767968e-21,1,0.082785002
-0.08139658,3.72425311e-22,4.96483463e-21,1,0.075012632
-0.081152439,3.33238944e-22,4.88188021e-21,1,0.068260369
-0.080908298,3.01829348e-22,4.72132242e-21,1,0.063928985
-0.080664158,2.85959327e-22,4.51032406e-21,1,0.06340106
-0.080420017,2.8903795e-22,4.26409773e-21,1,0.067784082
-0.080175877,3.07966616e-22,4.02236301e-21,1,0.076563606
-0.079931736,3.35178894e-22,3.84710292e-21,1,0.087125013
-0.079687595,3.63759121e-22,3.77911749e-21,1,0.096255044
-0.079443455,3.88797486e-22,3.85961691e-21,1,0.100734735
-0.079199314,4.07936393e-22,4.06977944e-21,1,0.100235504
-0.078955173,4.20106257e-22,4.3473709e-21,1,0.096634556
-0.078711033,4.25477455e-22,4.63229834e-21,1,0.091850184
-0.078466892,4.24389004e-22,4.84303084e-21,1,0.087628805
-0.078222752,4.17713387e-22,4.9355954e-21,1,0.084632826
-0.077978611,4.0643605e-22,4.88002663e-21,1,0.083285621
-0.07773447,3.92462354e-22,4.66268063e-21,1,0.084170971
-0.07749033,3.78391064e-22,4.32104919e-21,1,0.087569256
-0.077246189,3.67813621e-22,3.90103028e-21,1,0.094286277
-0.077002048,3.64138314e-22,3.50999057e-21,1,0.103743388
-0.076757908,3.69550067e-22,3.28347008e-21,1,0.112548633
-0.076513767,3.83420635e-22,3.32140963e-21,1,0.115439129
-0.076269627,4.02610198e-22,3.63480688e-21,1,0.110765224
-0.076025486,4.2240261e-22,4.1071252e-21,1,0.102846295
-0.075781345,4.38191565e-22,4.60492946e-21,1,0.095157064
-0.075537205,4.46197043e-22,5.03809978e-21,1,0.088564551
-0.075293064,4.43991592e-22,5.33038208e-21,1,0.083294515
-0.075048923,4.30572099e-22,5.46355455e-21,1,0.078808053
-0.074804783,4.06311262e-22,5.43156231e-21,1,0.074805597
-0.074560642,3.72988652e-22,5.2547016e-21,1,0.07098189
-0.074316502,3.33412562e-22,4.98943884e-21,1,0.06682366
-0.074072361,2.91576623e-22,4.68581725e-21,1,0.062225351
-0.07382822,2.52122504e-22,4.42678097e-21,1,0.056953914
-0.07358408,2.20320847e-22,4.27223005e-21,0,
-0.073339939,2.00316951e-22,4.24933298e-21,0,
-0.073095798,1.93395495e-22,4.35971201e-21,0,
-0.072851658,1.9637499e-22,4.54872948e-21,0,
-0.072607517,2.03892744e-22,4.77113528e-21,0,
-0.072363377,2.10595431e-22,4.98655493e-21,0,
-0.072119236,2.12852878e-22,5.15560518e-21,1,0.041285721
-0.071875095,2.08339388e-22,5.27354391e-21,1,0.039506524
-0.071630955,1.96298377e-22,5.31781098e-21,0,
-0.071386814,1.76678809e-22,5.28281465e-21,0,
-0.071142673,1.50462859e-22,5.16434629e-21,0,
-0.070898533,1.19019552e-22,4.94558734e-21,0,
-0.070654392,8.4700756e-23,4.64211673e-21,0,
-0.070410252,5.06334966e-23,4.26205362e-21,0,
-0.070166111,2.42353879e-23,3.85288413e-21,0,
-0.06992197,2.76812462e-23,3.50126655e-21,0,
-0.06967783,4.66861079e-23,3.30728431e-21,0,
-0.069433689,6.19323962e-23,3.37452264e-21,0,
-0.069189548,7.13346976e-23,3.69655683e-21,0,
-0.068945408,7.62001647e-23,4.16867952e-21,0,
-0.068701267,7.98864586e-23,4.67747381e-21,0,
-0.068457127,8.6136097e-23,5.10680001e-21,0,
-0.068212986,9.74038449e-23,5.39131705e-21,0,
-0.067968845,1.13234603e-22,5.49165336e-21,0,
-0.067724705,1.31731147e-22,5.38948413e-21,0,
-0.067480564,1.50730812e-22,5.12057528e-21,0,
-0.067236423,1.69046646e-22,4.73097359e-21,0,
-0.066992283,1.86158538e-22,4.32459653e-21,0,
-0.066748142,2.0247603e-22,4.02987522e-21,0,
-0.066504002,2.18348893e-22,3.95380493e-21,0,
-0.066259861,2.34069324e-22,4.14129346e-21,0,
-0.06601572,2.48966353e-22,4.50746198e-21,1,0.055234266
-0.06577158,2.619274e-22,4.92628373e-21,1,0.053169369
-0.065527439,2.71053938e-22,5.29373068e-21,1,0.05120282
-0.065283298,2.74592382e-22,5.52170564e-21,1,0.049729631
-0.065039158,2.70908651e-22,5.5849712e-21,1,0.048506723
-0.064795017,2.59396965e-22,5.47378262e-21,1,0.047388978
-0.064550877,2.40356582e-22,5.21448026e-21,1,0.046094063
-0.064306736,2.15313206e-22,4.87109695e-21,0,
-0.064062595,1.86603569e-22,4.50873089e-21,0,
-0.063818455,1.57155124e-22,4.22764828e-21,0,
-0.063574314,1.29975787e-22,4.09821043e-21,0,
-0.063330173,1.07569499e-22,4.14408072e-21,0,
-0.063086033,9.16485002e-23,4.34552071e-21,0,
-0.062841892,8.34337699e-23,4.62469541e-21,0,
-0.062597752,8.43577591e-23,4.9215188e-21,0,
-0.062353611,9.52154108e-23,5.18916451e-21,0,
-0.06210947,1.14407366e-22,5.38770453e-21,0,
-0.06186533,1.38581794e-22,5.51382144e-21,0,
-0.061621189,1.63821351e-22,5.54724335e-21,0,
-0.061377048,1.86651862e-22,5.48657341e-21,0,
-0.061132908,2.04165185e-22,5.33176566e-21,1,0.038292228
-0.060888767,2.14553887e-22,5.07345763e-21,1,0.04228948
-0.060644627,2.17387386e-22,4.73732763e-21,0,
-0.060400486,2.13975866e-22,4.34525858e-21,0,
-0.060156345,2.07589652e-22,3.96336921e-21,0,
-0.059912205,2.03025235e-22,3.6940854e-21,0,
-0.059668064,2.053221e-22,3.63239055e-21,0,
-0.059423923,2.1690873e-22,3.84034572e-21,0,
-0.059179783,2.36293074e-22,4.26347239e-21,0,
-0.058935642,2.59248389e-22,4.78165391e-21,1,0.054217305
-0.058691502,2.81749801e-22,5.2883373e-21,1,0.053277578
-0.058447361,3.01275473e-22,5.67595083e-21,1,0.053079296
-0.05820322,3.17515001e-22,5.88729097e-21,1,0.053932276
-0.05795908,3.31517194e-22,5.88441493e-21,1,0.056338174
-0.057714939,3.45204603e-22,5.65200473e-21,1,0.061076489
-0.057470798,3.59692095e-22,5.22441099e-21,1,0.068848354
-0.057226658,3.74871824e-22,4.64333574e-21,1,0.080733302
-0.056982517,3.88629628e-22,4.01463074e-21,1,0.096803331
-0.056738377,3.97983353e-22,3.48221569e-21,1,0.114290264
-0.056494236,3.99405189e-22,3.21474595e-21,1,0.124241603
-0.056250095,3.90178661e-22,3.3236122e-21,1,0.117395965
-0.056005955,3.68366277e-22,3.71752972e-21,1,0.099088993
-0.055761814,3.33588799e-22,4.2202185e-21,1,0.079045386
-0.055517673,2.86802229e-22,4.69453955e-21,1,0.061092728
-0.055273533,2.30833784e-22,5.0412953e-21,1,0.045788586
-0.055029392,1.70882326e-22,5.23509606e-21,0,
-0.054785252,1.17999168e-22,5.26758925e-21,0,
-0.054541111,9.79466447e-23,5.16093437e-21,0,
-0.05429697,1.2766207e-22,4.96900713e-21,0,
-0.05405283,1.79454168e-22,4.73285413e-21,0,
-0.053808689,2.32772426e-22,4.51964045e-21,0,
-0.053564548,2.79877087e-22,4.36729945e-21,1,0.064084703
-0.053320408,3.17481696e-22,4.29150679e-21,1,0.073979073
-0.053076267,3.43654402e-22,4.30027893e-21,1,0.079914444
-0.052832127,3.5746615e-22,4.36165243e-21,1,0.081956588
-0.052587986,3.58627153e-22,4.46305284e-21,1,0.080354673
-0.052343845,3.47635896e-22,4.58973879e-21,1,0.075741978
-0.052099705,3.25844237e-22,4.72141095e-21,1,0.069014166
-0.051855564,2.95411333e-22,4.86091195e-21,1,0.060772821
-0.051611423,2.5970188e-22,4.97917504e-21,1,0.052157612
-0.051367283,2.23127637e-22,5.05624766e-21,1,0.044129096
-0.051123142,1.91513043e-22,5.06702633e-21,0,
-0.050879002,1.70525789e-22,4.97207794e-21,0,
-0.050634861,1.63155757e-22,4.76904561e-21,0,
-0.05039072,1.66534945e-22,4.44910946e-21,0,
-0.05014658,1.74481885e-22,4.04889835e-21,0,
-0.049902439,1.81248013e-22,3.64801905e-21,0,
-0.049658298,1.8390999e-22,3.35338663e-21,0,
-0.049414158,1.81788919e-22,3.30891556e-21,0,
-0.049170017,1.76291512e-22,3.55709245e-21,0,
