t_s,env_l1,env_v1,selected,ratio_l1_v1_selected
-0.114062548,3.24221047e-10,5.83634269e-09,1,0.055552092
-0.113818407,1.45088318e-10,3.07219993e-09,0,
-0.113574266,1.69178449e-10,2.66883466e-09,0,
-0.113330126,2.12804937e-10,2.36266363e-09,0,
-0.113085985,2.35740961e-10,1.9461715e-09,0,
-0.112841845,3.00704382e-10,2.1290624e-09,1,0.141237938
-0.112597704,3.14832428e-10,1.82541359e-09,0,
-0.112353563,3.57665789e-10,2.11392161e-09,1,0.169195389
-0.112109423,3.54415228e-10,1.95569697e-09,1,0.181221955
-0.111865282,3.63599552e-10,2.21991547e-09,1,0.163789819
-0.111621141,3.39020771e-10,2.18908214e-09,1,0.154868913
-0.111377001,3.14461222e-10,2.39515476e-09,1,0.131290565
-0.11113286,2.70611e-10,2.4565043e-09,1,0.110161012
-0.11088872,2.21765126e-10,2.59059898e-09,0,
-0.110644579,1.69506966e-10,2.70183479e-09,0,
-0.110400438,1.2470372e-10,2.75384706e-09,0,
-0.110156298,1.07924259e-10,2.87367618e-09,0,
-0.109912157,1.38397566e-10,2.84355374e-09,0,
-0.109668016,1.81026834e-10,2.94073645e-09,0,
-0.109423876,2.35442367e-10,2.8440365e-09,1,0.08278458
-0.109179735,2.76186821e-10,2.90380144e-09,1,0.095112158
-0.108935595,3.12897452e-10,2.77034006e-09,1,0.112945503
-0.108691454,3.3369787e-10,2.79535773e-09,1,0.11937573
-0.108447313,3.41811051e-10,2.66188417e-09,1,0.128409438
-0.108203173,3.37209638e-10,2.66638642e-09,1,0.126466905
-0.107959032,3.15061079e-10,2.56591297e-09,1,0.122787126
-0.107714891,2.85724254e-10,2.56445847e-09,1,0.111416994
-0.107470751,2.38030793e-10,2.51628017e-09,0,
-0.10722661,1.89457273e-10,2.51393568e-09,0,
-0.10698247,1.25694381e-10,2.51968615e-09,0,
-0.106738329,6.73211739e-11,2.51174011e-09,0,
-0.106494188,1.1761039e-11,2.55896067e-09,0,
-0.106250048,6.26337455e-11,2.53890994e-09,0,
-0.106005907,1.21433706e-10,2.60706026e-09,0,
-0.105761766,1.70075258e-10,2.57316728e-09,0,
-0.105517626,2.11059712e-10,2.63846481e-09,0,
-0.105273485,2.41035695e-10,2.59397596e-09,1,0.09292133
-0.105029345,2.56965778e-10,2.63483471e-09,1,0.097526337
-0.104785204,2.63454855e-10,2.5854507e-09,1,0.101899005
-0.104541063,2.52502272e-10,2.58974287e-09,1,0.097500905
-0.104296923,2.35158971e-10,2.54338003e-09,0,
-0.104052782,2.01008146e-10,2.51471966e-09,0,
-0.103808641,1.64776275e-10,2.48395649e-09,0,
-0.103564501,1.18905322e-10,2.44220492e-09,0,
-0.10332036,8.21347855e-11,2.44431254e-09,0,
-0.10307622,7.52403214e-11,2.41628972e-09,0,
-0.102832079,1.04919483e-10,2.46468669e-09,0,
-0.102587938,1.54702759e-10,2.46698552e-09,0,
-0.102343798,2.00961808e-10,2.55759736e-09,0,
