t_s,env_l1,env_v1,selected,ratio_l1_v1_selected
-0.116064548,2.35691109e-22,6.83747598e-21,0,
-0.115820408,1.26440369e-22,5.80572782e-21,0,
-0.115576267,1.39059237e-22,5.5531817e-21,0,
-0.115332127,1.52034622e-22,5.39351127e-21,0,
-0.115087986,1.39514878e-22,5.44987752e-21,0,
-0.114843845,1.52316206e-22,5.64510211e-21,0,
-0.114599705,1.27653835e-22,5.85840275e-21,0,
-0.114355564,1.30375431e-22,6.14774812e-21,0,
-0.114111423,1.02433361e-22,6.31279249e-21,0,
-0.113867283,9.97124475e-23,6.49213904e-21,0,
-0.113623142,7.5136276e-23,6.48691054e-21,0,
-0.113379002,7.38848749e-23,6.46250069e-21,0,
-0.113134861,5.77806389e-23,6.27909673e-21,0,
-0.11289072,6.44095893e-23,6.09370355e-21,0,
-0.11264658,5.99695119e-23,5.85718347e-21,0,
-0.112402439,7.41076715e-23,5.6966835e-21,0,
-0.112158298,7.55163734e-23,5.62395791e-21,0,
-0.111914158,8.93440565e-23,5.68861481e-21,0,
-0.111670017,8.80710902e-23,5.88437045e-21,0,
-0.111425877,9.46483737e-23,6.15188078e-21,0,
-0.111181736,8.60131457e-23,6.46549978e-21,0,
-0.110937595,8.22440789e-23,6.71522264e-21,0,
-0.110693455,6.65958646e-23,6.91104864e-21,0,
-0.110449314,5.46191832e-23,6.95192233e-21,0,
-0.110205173,3.61487732e-23,6.89867244e-21,0,
-0.109961033,2.46558503e-23,6.69115646e-21,0,
-0.109716892,1.80966192e-23,6.42615394e-21,0,
-0.109472752,3.37116466e-23,6.09853318e-21,0,
-0.109228611,4.60518535e-23,5.81770727e-21,0,
-0.10898447,6.66441729e-23,5.61911108e-21,0,
-0.10874033,7.95441971e-23,5.57583346e-21,0,
-0.108496189,9.87773131e-23,5.69127528e-21,0,
-0.108252048,1.09848758e-22,5.93456265e-21,0,
-0.108007908,1.24894762e-22,6.25444488e-21,0,
-0.107763767,1.32532478e-22,6.56269059e-21,0,
-0.107519627,1.4048594e-22,6.83037127e-21,0,
