t_s,env_l1,env_v1,selected,ratio_l1_v1_selected
-0.114453077,1.00598745e-10,1.06421203e-08,0,
-0.114208937,4.88417178e-11,6.38349566e-09,0,
-0.113964796,5.73929055e-11,6.45948536e-09,0,
-0.113720655,1.20968405e-10,5.96807801e-09,0,
-0.113476515,1.65682064e-10,5.74100802e-09,0,
-0.113232374,2.21881562e-10,5.89443329e-09,0,
-0.112988234,2.56795933e-10,5.52994029e-09,1,0.046437379
-0.112744093,2.91180336e-10,5.83047127e-09,1,0.049941132
-0.112499952,3.05906884e-10,5.43150344e-09,1,0.056320849
-0.112255812,3.14686288e-10,5.71061247e-09,1,0.055105523
-0.112011671,3.08184945e-10,5.3488769e-09,1,0.057616758
-0.11176753,2.95736548e-10,5.55214207e-09,1,0.053265306
-0.11152339,2.7531808e-10,5.27524156e-09,1,0.052190611
-0.111279249,2.53890625e-10,5.39711092e-09,0,
-0.111035109,2.33570613e-10,5.22918332e-09,0,
-0.110790968,2.19112318e-10,5.27933018e-09,0,
-0.110546827,2.11082457e-10,5.22108557e-09,0,
-0.110302687,2.09131085e-10,5.20811705e-09,0,
-0.110058546,2.09069646e-10,5.24018871e-09,0,
-0.109814405,2.08050602e-10,5.17028337e-09,0,
-0.109570265,2.02897204e-10,5.26058669e-09,0,
-0.109326124,1.93497908e-10,5.14399802e-09,0,
-0.109081984,1.81635579e-10,5.25666885e-09,0,
-0.108837843,1.72746698e-10,5.11274317e-09,0,
-0.108593702,1.73661275e-10,5.216192e-09,0,
-0.108349562,1.91107056e-10,5.0722478e-09,0,
-0.108105421,2.22827756e-10,5.14516153e-09,0,
-0.10786128,2.65360581e-10,5.03047859e-09,0,
-0.10761714,3.10216262e-10,5.06489668e-09,1,0.06124829
-0.107372999,3.53835532e-10,5.00349193e-09,1,0.070717718
-0.107128859,3.90584621e-10,5.00408757e-09,1,0.078053115
-0.106884718,4.18210979e-10,5.00911203e-09,1,0.083490043
-0.106640577,4.34513294e-10,4.98883781e-09,1,0.087097098
-0.106396437,4.38174957e-10,5.0596144e-09,1,0.086602441
-0.106152296,4.3057465e-10,5.03362204e-09,1,0.085539726
-0.105908155,4.11773283e-10,5.15545337e-09,1,0.079871401
-0.105664015,3.86831696e-10,5.1360253e-09,1,0.075317327
-0.105419874,3.5799111e-10,5.28298832e-09,1,0.067762995
-0.105175734,3.3361819e-10,5.2770648e-09,1,0.063220408
-0.104931593,3.17357214e-10,5.41774129e-09,1,0.058577403
-0.104687452,3.1608181e-10,5.42666304e-09,1,0.058246073
-0.104443312,3.27461191e-10,5.53164259e-09,1,0.059197821
-0.104199171,3.49678496e-10,5.55202028e-09,1,0.062982208
-0.10395503,3.7437491e-10,5.60103949e-09,1,0.066840255
-0.10371089,3.98250095e-10,5.62634228e-09,1,0.070783126
-0.103466749,4.14715588e-10,5.61294659e-09,1,0.07388554
-0.103222609,4.2376995e-10,5.63592938e-09,1,0.075190784
-0.102978468,4.21718881e-10,5.5684406e-09,1,0.075733749
-0.102734327,4.11628158e-10,5.58404879e-09,1,0.073715
