lag_ms,corr
-10.009766,0.24475324
-9.765625,0.27416388
-9.521484,0.29841065
-9.277344,0.31793375
-9.033203,0.3337679
-8.789062,0.34722108
-8.544922,0.35981036
-8.300781,0.37322755
-8.056641,0.38907883
-7.8125,0.40844071
-7.568359,0.43143173
-7.324219,0.45694766
-7.080078,0.48266302
-6.835938,0.50542832
-6.591797,0.52206532
-6.347656,0.53027133
-6.103516,0.5292522
-5.859375,0.51986776
-5.615234,0.50427566
-5.371094,0.48523343
-5.126953,0.46536604
-4.882812,0.44668554
-4.638672,0.43037429
-4.394531,0.41666557
-4.150391,0.40478971
-3.90625,0.39306326
-3.662109,0.37914552
-3.417969,0.36042928
-3.173828,0.33454305
-2.929688,0.2999628
-2.685547,0.2565946
-2.441406,0.20602649
-2.197266,0.15129471
-1.953125,0.09628139
-1.708984,0.04492382
-1.464844,0.00035711136
-1.220703,-0.03586691
-0.976562,-0.0642176
-0.732422,-0.08701174
-0.488281,-0.10765923
-0.244141,-0.12969335
0,-0.15594413
0.244141,-0.19102914
0.488281,-0.2303908
0.732422,-0.27328528
0.976562,-0.31776703
1.220703,-0.36092287
1.464844,-0.39931538
1.708984,-0.42968608
1.953125,-0.44978388
2.197266,-0.45899552
2.441406,-0.45850544
2.685547,-0.45098139
2.929688,-0.43996837
3.173828,-0.4291337
3.417969,-0.42147184
3.662109,-0.418649
3.90625,-0.42067482
4.150391,-0.42597736
4.394531,-0.4318194
4.638672,-0.43490711
4.882812,-0.43205925
5.126953,-0.42087296
5.371094,-0.40029867
5.615234,-0.37094481
5.859375,-0.3349769
6.103516,-0.29565343
6.347656,-0.25666224
6.591797,-0.22141411
6.835938,-0.19239303
7.080078,-0.17065647
7.324219,-0.15560369
7.568359,-0.14510296
7.8125,-0.13599018
8.056641,-0.12485174
8.300781,-0.10889898
8.544922,-0.0866839
8.789062,-0.05844825
9.033203,-0.02602492
9.277344,0.00763564
9.521484,0.03913095
9.765625,0.06526894
10.009766,0.08360835
