lag_ms,corr
-10.009766,-0.05390135
-9.765625,-0.03230257
-9.521484,-0.00910314
-9.277344,0.01414829
-9.033203,0.03593038
-8.789062,0.05491652
-8.544922,0.07009838
-8.300781,0.08083568
-8.056641,0.08683806
-7.8125,0.08810369
-7.568359,0.08483742
-7.324219,0.07736821
-7.080078,0.06608705
-6.835938,0.05142566
-6.591797,0.0338815
-6.347656,0.01407143
-6.103516,-0.00721734
-5.859375,-0.02900596
-5.615234,-0.05014544
-5.371094,-0.0693852
-5.126953,-0.0854907
-4.882812,-0.09740233
-4.638672,-0.10440278
-4.394531,-0.10623626
-4.150391,-0.10313007
-3.90625,-0.09570967
-3.662109,-0.08484432
-3.417969,-0.07147693
-3.173828,-0.05647956
-2.929688,-0.04055668
-2.685547,-0.0242093
-2.441406,-0.00776898
-2.197266,0.00850123
-1.953125,0.02426403
-1.708984,0.03897284
-1.464844,0.05180476
-1.220703,0.06170599
-0.976562,0.06754906
-0.732422,0.06834876
-0.488281,0.06346228
-0.244141,0.05272502
0,0.03651852
0.244141,0.00858287
0.488281,-0.0192323
0.732422,-0.04464219
0.976562,-0.06578427
1.220703,-0.08152571
1.464844,-0.09152794
1.708984,-0.0960854
1.953125,-0.09586468
2.197266,-0.09164836
2.441406,-0.08412059
2.685547,-0.07371158
2.929688,-0.06053922
3.173828,-0.04448928
3.417969,-0.02542993
3.662109,-0.00348788
3.90625,0.02072789
4.150391,0.04604318
4.394531,0.07078789
4.638672,0.09297276
4.882812,0.11053538
5.126953,0.12164125
5.371094,0.12500468
5.615234,0.12014511
5.859375,0.10749109
6.103516,0.08830543
6.347656,0.06446565
6.591797,0.03815025
6.835938,0.0114834
7.080078,-0.01378468
7.324219,-0.03646882
7.568359,-0.05595794
7.8125,-0.07206729
8.056641,-0.08481519
8.300781,-0.09421011
8.544922,-0.10010571
8.789062,-0.10215192
9.033203,-0.09984876
9.277344,-0.09269081
9.521484,-0.08036905
9.765625,-0.06297489
10.009766,-0.04114312
