t_s,env_h1,env_l1,selected,ratio_h1_l1_selected
-0.118798733,1.28255108e-21,5.87742487e-22,0,
-0.118554592,1.17509828e-21,2.2473716e-21,0,
-0.118310452,1.04518793e-21,2.92852704e-21,1,0.35689885
-0.118066311,9.32721619e-22,3.15401833e-21,1,0.295724856
-0.11782217,8.33915011e-22,3.05508099e-21,0,
-0.11757803,8.31120714e-22,2.46356969e-21,0,
-0.117333889,9.01114494e-22,1.77152448e-21,0,
-0.117089748,1.02190391e-21,1.08648827e-21,0,
-0.116845608,1.14505214e-21,1.22868774e-21,0,
-0.116601467,1.25610082e-21,2.06615134e-21,0,
-0.116357327,1.33295431e-21,2.85198155e-21,1,0.467378307
-0.116113186,1.39670517e-21,3.40026498e-21,1,0.410763625
-0.115869045,1.42882538e-21,3.65341827e-21,1,0.391092746
-0.115624905,1.45906528e-21,3.4885726e-21,1,0.41824134
-0.115380764,1.45237991e-21,3.0213877e-21,1,0.480699618
-0.115136623,1.4334758e-21,2.23700167e-21,1,0.640802293
-0.114892483,1.35844226e-21,1.34441911e-21,0,
-0.114648342,1.25882834e-21,8.80839734e-22,0,
-0.114404202,1.10368275e-21,1.4518929e-21,0,
-0.114160061,9.51648077e-22,2.22747489e-21,0,
-0.11391592,8.17976857e-22,2.80381446e-21,0,
-0.11367178,8.03334493e-22,2.99818152e-21,0,
-0.113427639,9.03423832e-22,2.82589364e-21,0,
-0.113183498,1.09391838e-21,2.24835809e-21,0,
-0.112939358,1.28531431e-21,1.36560084e-21,0,
-0.112695217,1.45618286e-21,3.10274058e-22,0,
-0.112451077,1.55675518e-21,9.15714234e-22,0,
-0.112206936,1.59994269e-21,1.97587771e-21,1,0.809737708
-0.111962795,1.56201358e-21,2.83717161e-21,1,0.550553084
-0.111718655,1.47738525e-21,3.33366267e-21,1,0.44317179
-0.111474514,1.34024294e-21,3.43343361e-21,1,0.39035062
-0.111230373,1.19297118e-21,3.0937331e-21,1,0.385608954
-0.110986233,1.03892352e-21,2.37023761e-21,0,
-0.110742092,9.21372242e-22,1.40878247e-21,0,
-0.110497952,8.45397493e-22,7.1683201e-22,0,
-0.110253811,8.45245719e-22,1.45745903e-21,0,
-0.11000967,9.06106944e-22,2.48801705e-21,0,
