trial_id,status,reason,n_usable_events,n_pair_pruned_events,tensor_reject_events,watch_events,scalar_overlap_proxy,corr_use_min,response_floor_frac,min_ring_directions,geometry_relax_factor,geometry_delay_floor_ms,allow_pair_pruning,top_bottleneck_pair,top_bottleneck_share,returncode,trial_json
tmp_ng_breakthrough_0072,reject,tensor_response_failed_for_some_events,3,1,3,0,1,0.07,0.1,10,4,0.25,True,H1-V1,0.99494,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0072.json
tmp_ng_breakthrough_0026,reject,tensor_response_failed_for_some_events,3,2,3,0,1,0.05,0.08,6,2,0.25,True,H1-V1,0.9667212,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0026.json
tmp_ng_breakthrough_0030,reject,tensor_response_failed_for_some_events,3,2,3,0,1,0.05,0.08,8,2,0.25,True,H1-V1,0.9667212,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0030.json
tmp_ng_breakthrough_0034,reject,tensor_response_failed_for_some_events,3,2,3,0,1,0.05,0.08,10,2,0.25,True,H1-V1,0.9667212,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0034.json
tmp_ng_breakthrough_0038,reject,tensor_response_failed_for_some_events,3,2,3,0,1,0.05,0.1,6,2,0.25,True,H1-V1,0.9097003,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0038.json
tmp_ng_breakthrough_0042,reject,tensor_response_failed_for_some_events,3,2,3,0,1,0.05,0.1,8,2,0.25,True,H1-V1,0.9097003,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0042.json
tmp_ng_breakthrough_0046,reject,tensor_response_failed_for_some_events,3,2,3,0,1,0.05,0.1,10,2,0.25,True,H1-V1,0.9097003,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0046.json
tmp_ng_breakthrough_0027,reject,tensor_response_failed_for_some_events,2,0,2,0,0.5,0.05,0.08,6,4,0.25,False,H1-V1,0.9606107,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0027.json
tmp_ng_breakthrough_0031,reject,tensor_response_failed_for_some_events,2,0,2,0,0.5,0.05,0.08,8,4,0.25,False,H1-V1,0.9606107,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0031.json
tmp_ng_breakthrough_0035,reject,tensor_response_failed_for_some_events,2,0,2,0,0.5,0.05,0.08,10,4,0.25,False,H1-V1,0.9606107,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0035.json
tmp_ng_breakthrough_0039,reject,tensor_response_failed_for_some_events,2,0,2,0,0.5,0.05,0.1,6,4,0.25,False,H1-V1,0.8748301,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0039.json
tmp_ng_breakthrough_0043,reject,tensor_response_failed_for_some_events,2,0,2,0,0.5,0.05,0.1,8,4,0.25,False,H1-V1,0.8748301,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0043.json
tmp_ng_breakthrough_0047,reject,tensor_response_failed_for_some_events,2,0,2,0,0.5,0.05,0.1,10,4,0.25,False,H1-V1,0.8748301,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0047.json
tmp_ng_breakthrough_0051,reject,tensor_response_failed_for_some_events,2,0,2,0,0.5,0.07,0.08,6,4,0.25,False,H1-V1,0.9946009,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0051.json
tmp_ng_breakthrough_0055,reject,tensor_response_failed_for_some_events,2,0,2,0,0.5,0.07,0.08,8,4,0.25,False,H1-V1,0.9946009,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0055.json
tmp_ng_breakthrough_0059,reject,tensor_response_failed_for_some_events,2,0,2,0,0.5,0.07,0.08,10,4,0.25,False,H1-V1,0.9946009,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0059.json
tmp_ng_breakthrough_0063,reject,tensor_response_failed_for_some_events,2,0,2,0,0.5,0.07,0.1,6,4,0.25,False,H1-V1,0.99494,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0063.json
tmp_ng_breakthrough_0067,reject,tensor_response_failed_for_some_events,2,0,2,0,0.5,0.07,0.1,8,4,0.25,False,H1-V1,0.99494,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0067.json
tmp_ng_breakthrough_0071,reject,tensor_response_failed_for_some_events,2,0,2,0,0.5,0.07,0.1,10,4,0.25,False,H1-V1,0.99494,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0071.json
tmp_ng_breakthrough_0050,reject,tensor_response_failed_for_some_events,2,1,2,0,1,0.07,0.08,6,2,0.25,True,H1-V1,0.9847648,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0050.json
tmp_ng_breakthrough_0054,reject,tensor_response_failed_for_some_events,2,1,2,0,1,0.07,0.08,8,2,0.25,True,H1-V1,0.9847648,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0054.json
tmp_ng_breakthrough_0058,reject,tensor_response_failed_for_some_events,2,1,2,0,1,0.07,0.08,10,2,0.25,True,H1-V1,0.9847648,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0058.json
tmp_ng_breakthrough_0062,reject,tensor_response_failed_for_some_events,2,1,2,0,1,0.07,0.1,6,2,0.25,True,H1-V1,0.9851016,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0062.json
tmp_ng_breakthrough_0066,reject,tensor_response_failed_for_some_events,2,1,2,0,1,0.07,0.1,8,2,0.25,True,H1-V1,0.9851016,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0066.json
tmp_ng_breakthrough_0070,reject,tensor_response_failed_for_some_events,2,1,2,0,1,0.07,0.1,10,2,0.25,True,H1-V1,0.9851016,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0070.json
tmp_ng_breakthrough_0049,reject,tensor_response_failed_for_some_events,1,0,1,0,0,0.07,0.08,6,2,0.25,False,H1-V1,0.9899808,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0049.json
tmp_ng_breakthrough_0053,reject,tensor_response_failed_for_some_events,1,0,1,0,0,0.07,0.08,8,2,0.25,False,H1-V1,0.9899808,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0053.json
tmp_ng_breakthrough_0057,reject,tensor_response_failed_for_some_events,1,0,1,0,0,0.07,0.08,10,2,0.25,False,H1-V1,0.9899808,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0057.json
tmp_ng_breakthrough_0061,reject,tensor_response_failed_for_some_events,1,0,1,0,0,0.07,0.1,6,2,0.25,False,H1-V1,0.9906545,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0061.json
tmp_ng_breakthrough_0065,reject,tensor_response_failed_for_some_events,1,0,1,0,0,0.07,0.1,8,2,0.25,False,H1-V1,0.9906545,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0065.json
tmp_ng_breakthrough_0069,reject,tensor_response_failed_for_some_events,1,0,1,0,0,0.07,0.1,10,2,0.25,False,H1-V1,0.9906545,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0069.json
tmp_ng_breakthrough_0001,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.03,0.08,6,2,0.25,False,H1-V1,0.9220005,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0001.json
tmp_ng_breakthrough_0003,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.03,0.08,6,4,0.25,False,H1-V1,0.9220005,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0003.json
tmp_ng_breakthrough_0005,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.03,0.08,8,2,0.25,False,H1-V1,0.9220005,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0005.json
tmp_ng_breakthrough_0007,reject,tensor_response_failed_for_some_events,1,0,1,0,0.3333333,0.03,0.08,8,4,0.25,False,H1-V1,0.9220005,0,C:/develop/waveP/output/private/gw/tmp_ng_breakthrough_0007.json
