candidate_id,gain,sat_mev,blend,sign_blend,all_constraints_pass,logft_constraint_pass,holdout_p95_abs_z_qbeta,holdout_p95_abs_z_logft,overfit_gap_qbeta,n_qbeta_gt3_holdout,top_priority_q_gt3_after,residue_n,residue_reference,residue_all_qfail_nonregression,residue_all_logft_count_nonregression,residue_all_top_priority_nonregression,residue_all_logft_nonworsening,residue_all_overfit_nonworsening,residue_max_pos_delta_n_qbeta_gt3,residue_max_pos_delta_n_logft_gt3,residue_max_pos_delta_top_priority_q_gt3,residue_holdout_p95_abs_z_qbeta_spread,residue_holdout_p95_abs_z_logft_spread,residue_overfit_gap_qbeta_spread,delta_holdout_p95_abs_z_qbeta_vs_pre,delta_overfit_gap_qbeta_vs_pre,delta_n_logft_gt3_holdout_vs_pre,qbeta_nonworsening_pass,overfit_nonworsening_pass,qbeta_overfit_guard_pass,prelocal_logft_count_guard_pass,residue_logft_count_guard_pass,residue_logft_nonworsening_guard_pass,logft_rootcause_guard_pass,prelocal_logft_count_refrozen_pass,residue_logft_count_refrozen_pass,residue_logft_nonworsening_refrozen_pass,logft_rootcause_refrozen_guard_pass,norm_residue_max_pos_delta_top_priority_q_gt3,norm_residue_max_pos_delta_n_logft_gt3,norm_residue_max_pos_delta_n_qbeta_gt3,norm_residue_holdout_p95_abs_z_logft_spread,norm_residue_holdout_p95_abs_z_qbeta_spread,norm_delta_holdout_p95_abs_z_qbeta_vs_pre,norm_delta_overfit_gap_qbeta_vs_pre,residue_reweight_score,rank_residue_reweight
lcand_0036,0.8,8.0,0.4,0.0,False,False,6566.601607309196,10.542869723561463,2679.3684260620967,1245,109,5,0,True,False,False,False,False,0,136,3,4867.353444663197,4.22497253189073,5651.706942047065,5.010948968214507,17.96183737731826,4,False,False,False,False,False,False,False,False,False,True,False,1.0,0.9328358208955224,0.0,0.43172059294942905,0.014157884183123394,0.019044224744304613,0.07612787059475293,0.5241632639431951,18
lcand_0044,0.8,12.0,0.6,0.0,False,False,6600.341356236536,10.134652257660537,2715.1191318317424,1244,109,5,0,True,False,False,False,False,0,143,3,4867.09625698327,4.117079649421825,5654.26418046389,38.75069789555437,53.71254314696398,5,False,False,False,False,False,False,False,False,False,True,False,1.0,0.9850746268656716,0.0,0.41327163898779656,0.009491211768819717,0.14727290267826135,0.22765051526246788,0.571469612609842,23
lcand_0012,0.6,8.0,0.4,0.0,False,False,6599.710918177756,10.844274879812474,2713.9922510902816,1243,109,5,0,True,False,False,False,False,0,144,3,4867.0878963495115,3.40574750872862,5654.093692008302,38.120259836774494,52.58566240550317,8,False,False,False,False,False,False,False,False,False,True,False,1.0,0.9925373134328358,0.0,0.2916386487962456,0.009339508005490828,0.14487690859511962,0.2228744431124117,0.5596615643324692,22
lcand_0022,0.6,12.0,0.8,0.0,False,False,6555.795188685237,13.021252477545575,2670.051977247568,1241,109,5,0,True,False,False,False,False,0,62,3,4867.457568850114,4.374899285729988,5661.5653413627115,-5.795469655744455,8.645388562789776,114,True,False,False,False,False,False,False,False,True,True,False,1.0,0.3805970149253731,0.0,0.4573570549282316,0.016047218349076627,0.0,0.036641853944213855,0.4194425515701498,8
lcand_0014,0.6,8.0,0.6,0.0,False,False,6498.568125367681,15.27014599317739,2615.5946870865605,1243,109,5,0,True,False,False,False,False,0,111,3,4867.899065396312,2.429683422175067,5659.704098697964,-63.02253297330026,-45.8119015982179,60,True,True,True,False,False,False,False,False,False,True,False,1.0,0.746268656716418,0.0,0.12473828443143961,0.02405817654793855,0.0,0.0,0.44800509547949613,9
lcand_0054,1.0,5.0,0.4,0.0,False,False,6681.343762959518,11.856702614137788,2782.215385591215,1244,109,5,0,True,False,False,False,False,0,93,3,4868.619737633956,6.016528322227257,5656.741088425053,119.75310461853678,120.80879690643678,3,False,False,False,False,False,False,False,False,False,True,False,1.0,0.6119402985074627,0.0,0.7380645290764539,0.03713477979786185,0.45512437916450355,0.5120253715922533,0.6246266346779178,24
lcand_0020,0.6,12.0,0.6,0.0,False,False,6548.885213278564,16.084733146402307,2664.5047971602103,1243,109,5,0,True,False,False,False,False,0,123,3,4866.935899221869,4.516122963545124,5640.291576931357,-12.705445062417311,3.098208475431875,46,True,False,False,False,False,False,False,False,False,True,False,1.0,0.835820895522388,0.0,0.48150534970620046,0.0065815189648518735,0.0,0.013131174107559974,0.5005031130057997,10
lcand_0024,0.8,3.0,0.4,0.0,False,False,6739.32504977625,11.786662333571236,2854.596996679734,1242,109,5,0,True,False,False,False,False,0,134,2,4866.739387139931,3.681857615426418,5655.673677258059,177.73439143526866,193.19040799495542,9,False,False,False,False,False,False,False,False,False,True,False,0.0,0.917910447761194,0.0,0.33885161160013794,0.003015805738938457,0.675483569430869,0.8188012212246907,0.4123481853941863,7
lcand_0015,0.6,8.0,0.6,0.1,False,False,6824.559938246998,10.475351692493412,2896.2032411191567,1240,109,5,0,True,False,False,False,False,0,28,2,4920.316198309197,1.7001909485354822,5816.605062921528,262.9692799060167,234.7966524343783,149,False,False,False,False,False,False,False,False,True,True,False,0.0,0.12686567164179105,0.0,0.0,0.9751674531325928,0.9994206884055712,0.9951414656040183,0.3609126864535813,4
lcand_0023,0.6,12.0,0.8,0.1,False,False,6824.673319385412,10.568250888234337,2896.9016230599386,1241,109,5,0,True,False,False,False,False,0,11,2,4921.158195595384,4.015547345757717,5826.706938557092,263.0826610444301,235.49503437516023,157,False,False,False,False,False,False,False,False,True,True,False,0.0,0.0,0.0,0.39591030102875674,0.9904455003139025,0.9998515959832388,0.9981014261524138,0.37886024757401104,6
lcand_0021,0.6,12.0,0.6,0.1,False,False,6824.712367703978,11.118500858876715,2897.3495782494474,1240,109,5,0,True,False,False,False,False,0,26,2,4921.6847591483765,2.0785022030615288,5827.318251497592,263.1217093629966,235.942989564669,149,False,False,False,False,False,False,False,False,True,True,False,0.0,0.11194029850746269,0.0,0.0646886685961883,1.0,1.0,1.0,0.3666181205909621,5
lcand_0001,0.6,3.0,0.4,0.1,False,False,6822.870685586709,11.48857131435153,2890.4380990346026,1240,109,5,0,True,False,False,False,False,0,27,2,4913.045032272192,1.7563635217731814,5774.796653782332,261.280027245728,229.0315103498242,151,False,False,False,False,False,False,False,False,True,True,False,0.0,0.11940298507462686,0.0,0.009605130513288653,0.8432320899207904,0.9930006455121956,0.9707069948227877,0.349909603976609,3
