window_ns,pairs_total,c00,c01,c10,c11
0.5,12,3,3,2,4
1,22,5,6,5,6
2,35,10,8,8,9
5,75,23,11,16,25
10,120,26,23,32,39
20,252,63,54,69,66
50,594,142,141,151,160
100,1231,304,299,305,323
200,2462,587,594,639,642
500,6128,1514,1548,1486,1580
1000,12051,2919,3057,2955,3120
2000,23756,5713,6024,5826,6193
5000,56430,13495,14239,13918,14778
