key,label,a_star_mid,inc_deg_mid,horizon_rg,r_plus_rg,r_minus_rg,orbit_margin_plus_rg,orbit_margin_minus_rg,b_plus_rg,b_minus_rg,ring_coeff_rg,ring_diameter_obs_uas,ring_diameter_obs_sigma_uas,ring_diameter_pred_uas,ring_diameter_residual_uas,z_ring_diameter,ring_asymmetry_pred,ring_asymmetry_target,ring_asymmetry_sigma,z_ring_asymmetry,ring_asymmetry_range_pass,ring_asymmetry_min,ring_asymmetry_max
m87,M87*,0.4995,17.5,1.866313886533051,1.886313886533051,2.5132115909999446,0.020000000000000018,0.6468977044668935,4.66632881342414,5.925827426172423,10.592156239596562,42.0,3.0,40.45259645206988,-1.5474035479301165,-0.5158011826433722,0.11890861353044536,,,,,,
sgra,Sgr A*,0.4995,27.5,1.866313886533051,1.886313886533051,2.708058174820736,0.020000000000000018,0.8417442882876849,4.334775062333212,6.144167486587504,10.478942548920717,51.8,2.3,52.54057172017158,0.7405717201715802,0.3219877044224262,0.17266937153316592,0.16999999999999998,0.07505553499465135,0.035565285536318644,True,0.04,0.3
