key,name,kappa_fit,kappa_fp_center,kappa_fp_sigma_1sigma,kappa_fp_min_1sigma,kappa_fp_max_1sigma,kappa_fp_min_3sigma,kappa_fp_max_3sigma,z_fit_vs_fp_center,status,sigma_emit_gradient,sigma_absorption,sigma_scattering
m87,M87*,1.0114123055156017,1.0,0.07592683321217669,0.9240731667878233,1.0759268332121767,0.77221950036347,1.22778049963653,0.15030661800038628,pass,0.07224373610825725,0.023360791826267012,0.0
sgra,Sgr A*,0.9501526665820448,1.0,0.08285467553536911,0.9171453244646309,1.0828546755353692,0.7514359733938927,1.2485640266061073,-0.6016236633100606,pass,0.04218824581348848,0.02221593693615954,0.06776061776061776
