session,archive_path,archive_bytes,identity_status,identity_session_values,fit_ok,fit_rc,n_points,beta_est,beta_sigma,delta_beta,chi2,dof,weighted_rmse_s,max_abs_bendsun_ns,pull_vs_weighted_mean,chi2_contrib
21MAY10XA,C:\develop\waveP\data\temp\21MAY10XA.tgz,9523739,watch,R1998,True,0,3960,8.5306399955109704e+00,4.7796293125863376e-01,7.5306399955109704e+00,2.4828614770968161e+09,3920,8.6401469162083481e-09,3.9231793956574657e+00,9.5315327075162095e+00,9.0850115754451281e+01
21MAY17XA,C:\develop\waveP\data\temp\21MAY17XA.tgz,7919790,watch,AOV059,True,0,2872,1.3644890582673060e+01,7.9933948618352146e-01,1.2644890582673060e+01,1.0112303462127110e+09,2818,1.2128927951711579e-08,3.4968322298975880e+00,1.2097450540825575e+01,1.4634830958772099e+02
21MAY18XA,C:\develop\waveP\data\temp\21MAY18XA.tgz,15543876,watch,R1999,True,0,8271,1.2395093035314225e+01,3.7201229650695583e-01,1.1395093035314225e+01,5.7882678949617062e+09,8149,1.1624919746382919e-08,2.9706243743926186e+00,2.2634123740363528e+01,5.1230355749408784e+02
21MAY19XA,C:\develop\waveP\data\temp\21MAY19XA.tgz,25865823,watch,RV147,True,0,16993,9.2240235889905318e+00,2.0671736091106691e-01,8.2240235889905318e+00,2.6520403948702110e+10,16737,6.5536790985664271e-09,5.3656492413026733e+00,2.5392656343023837e+01,6.4478699615490871e+02
21MAY25XA,C:\develop\waveP\data\temp\21MAY25XA.tgz,14901603,watch,R11000,True,0,8567,6.7373957033256282e+00,2.9195044506348505e-01,5.7373957033256282e+00,1.0634122683341137e+10,8461,9.9798760923045378e-09,5.3974932309631090e+00,9.4621366974999592e+00,8.9532030882175434e+01
21MAY26XA,C:\develop\waveP\data\temp\21MAY26XA.tgz,7736781,watch,AUA076,True,0,4923,1.2278871471934563e+01,6.4774639607957918e-01,1.1278871471934563e+01,1.6442832294064164e+09,4893,1.0018983392267658e-08,3.0263566990850150e+00,1.2819756063413738e+01,1.6434614552543331e+02
21MAY31XA,C:\develop\waveP\data\temp\21MAY31XA.tgz,6256855,watch,R11001,True,0,2530,1.3098005853534733e+01,8.0952567701970835e-01,1.2098005853534733e+01,8.9799069658700800e+08,2484,1.5015364747228262e-08,2.9993246204083723e+00,1.1269667447588134e+01,1.2700540437922764e+02
22MAY03XA,C:\develop\waveP\data\temp\22MAY03XA.tgz,13190257,watch,R11049,True,0,8479,7.7822037576289791e+00,3.2180945993781102e-01,6.7822037576289791e+00,1.0954700606142994e+10,8371,1.1500006435372158e-08,6.2311991067156116e+00,1.1830861265314413e+01,1.3996927827911693e+02
22MAY04XA,C:\develop\waveP\data\temp\22MAY04XA.tgz,24670789,watch,RV153,True,0,14287,6.0531354014350995e+00,2.3521652670556448e-01,5.0531354014350995e+00,1.6718221926096966e+10,14075,6.8178610230139238e-09,4.4420263215455336e+00,8.8353261027340686e+00,7.8062987341653979e+01
22MAY09XA,C:\develop\waveP\data\temp\22MAY09XA.tgz,8690198,watch,R11050,True,0,4874,5.4609783256794806e+00,3.8943244120781795e-01,4.4609783256794806e+00,9.7154996008064117e+09,4804,1.6516879590187318e-08,1.1981812554125794e+01,3.8159574940174941e+00,1.4561531596148273e+01
22MAY11XA,C:\develop\waveP\data\temp\22MAY11XA.tgz,3829849,watch,RD2205,True,0,2193,5.0208758228919335e+00,5.1197987055564964e-01,4.0208758228919335e+00,1.9657118237868280e+09,2153,1.0457573504515192e-08,9.6543758444478129e+00,2.0429614518199362e+00,4.1736914936222211e+00
22MAY16XA,C:\develop\waveP\data\temp\22MAY16XA.tgz,4290120,watch,R11051,True,0,2393,1.1374223588058493e+01,5.9541821576791076e-01,1.0374223588058493e+01,6.2336977662960348e+09,2363,8.5857074142401799e-09,3.3026319272835152e+00,1.2427068418248899e+01,1.5443202947183920e+02
22MAY23XA,C:\develop\waveP\data\temp\22MAY23XA.tgz,12012837,watch,R11052,True,0,6983,1.7409277658075329e+01,5.7728015937692978e-01,1.6409277658075329e+01,9.8960523652603836e+09,6895,1.2192076153394807e-08,3.7076754943432282e+00,2.3271814831357315e+01,5.4157736554498229e+02
22MAY24XA,C:\develop\waveP\data\temp\22MAY24XA.tgz,7206871,watch,AUA088,True,0,4678,1.3532848768598063e+01,6.9668388484978161e-01,1.2532848768598063e+01,1.4246852592536016e+09,4658,1.4279899373447595e-08,3.3231998451978337e+00,1.3719174927406215e+01,1.8821576068877133e+02
22MAY30XA,C:\develop\waveP\data\temp\22MAY30XA.tgz,14215414,watch,AOV071,True,0,5476,1.2362919988641284e+01,5.3217584809712604e-01,1.1362919988641284e+01,1.0616721011926891e+09,5420,1.3873730810280657e-08,2.6267589395969675e+00,1.5761706089058425e+01,2.4843137883786142e+02
22MAY31XA,C:\develop\waveP\data\temp\22MAY31XA.tgz,11632588,watch,R11053,True,0,5809,1.6005663847034342e+01,7.5631589517928088e-01,1.5005663847034342e+01,6.9221654726063480e+09,5723,1.5166366068153696e-08,2.9458619930484069e+00,1.5907034666967476e+01,2.5303375189610509e+02
