key,value
session,17MAY22XA_ALL_none
n_points,5908
n_params,2
nuisance_mode,none
intercept_s,2.9880022579923749e-05
delta_gamma,-4.6429792032639038e+04
delta_gamma_sigma,4.1653023585454430e+03
gamma_est,-4.6428792032639038e+04
gamma_sigma,4.1653023585454430e+03
beta_est,-2.3213896016319519e+04
beta_sigma,2.0826511792727215e+03
delta_beta,-2.3214896016319519e+04
chi2,1.7475994979185379e+17
dof,5906
rmse_s,9.4644238540271124e-05
weighted_rmse_s,8.1581032476701115e-05
corr_template_residual,-4.5482016403368325e-02
