key,value
session,17MAY09XA_ALL_none
n_points,1734
n_params,2
nuisance_mode,none
intercept_s,8.2304130491515387e-06
delta_gamma,4.9859587007461141e+02
delta_gamma_sigma,3.5159306879219952e+02
gamma_est,4.9959587007461141e+02
gamma_sigma,3.5159306879219952e+02
beta_est,2.5029793503730571e+02
beta_sigma,1.7579653439609976e+02
delta_beta,2.4929793503730571e+02
chi2,1.1483401121951572e+14
dof,1732
rmse_s,4.3971221035255509e-06
weighted_rmse_s,4.4099820055109463e-06
corr_template_residual,6.8523691871011469e-02
