group_type,group_label,n_removed,beta_drop,beta_drop_sigma,impact_beta_all_minus_drop,sigma_combined,abs_z_impact
baseline,BADARY-ISHIOKA,439,1.3665625792670684e+00,5.5533827620938100e-02,3.5618337753530627e-02,7.8623855883285063e-02,4.5302201670705472e-01
baseline,ISHIOKA-YARRA12M,331,1.3915259678614889e+00,5.5929676769486805e-02,1.0654949159110139e-02,7.8903950770939119e-02,1.3503695385344927e-01
baseline,BADARY-SESHAN25,395,1.3918157274523599e+00,5.7060415369772556e-02,1.0365189568239064e-02,7.9709445524946965e-02,1.3003715557141884e-01
baseline,SESHAN25-YARRA12M,361,1.3987326579157187e+00,5.6405460955028963e-02,3.4482591048803357e-03,7.9241912705794837e-02,4.3515596571764348e-02
baseline,WARK12M-YARRA12M,288,1.3997497481838870e+00,5.6099882345326327e-02,2.4311688367120166e-03,7.9024689198268716e-02,3.0764674450187889e-02
baseline,ISHIOKA-KUNMING,393,1.4042068945923580e+00,5.6285377919693798e-02,-2.0259775717590411e-03,7.9156480917776190e-02,2.5594588696578435e-02
baseline,KATH12M-SESHAN25,393,1.4041048565172196e+00,5.6762019955598729e-02,-1.9239394966206191e-03,7.9496110679474749e-02,2.4201680814019556e-02
baseline,ISHIOKA-KATH12M,462,1.4034903634702600e+00,5.6670540813679428e-02,-1.3094464496610225e-03,7.9430818325373034e-02,1.6485370253862017e-02
baseline,HOBART26-YARRA12M,328,1.4009126168823465e+00,5.6311572226451508e-02,1.2683001382525205e-03,7.9175108906387848e-02,1.6018925086065706e-02
baseline,KATH12M-YARRA12M,518,1.4009418242974347e+00,5.6535730693711185e-02,1.2390927231642479e-03,7.9334693223049327e-02,1.5618548113377602e-02
baseline,KUNMING-SESHAN25,398,1.4028243792258497e+00,5.6609602942444659e-02,-6.4346220525068887e-04,7.9387353205814526e-02,8.1053490167695887e-03
baseline,ISHIOKA-SESHAN25,451,1.4027421953700128e+00,5.6321919324677810e-02,-5.6127834941377408e-04,7.9182468388772950e-02,7.0884169290857330e-03
source,OJ287,351,1.3412174132250381e+00,5.1860665260931971e-02,6.0963503795560925e-02,7.6073867425219988e-02,8.0137247991877858e-01
source,0727-115,312,1.4271490953075039e+00,5.3212463549777399e-02,-2.4968178286904896e-02,7.7001759595218988e-02,3.2425464584390046e-01
source,1156+295,344,1.3776764745225725e+00,5.4790880905467368e-02,2.4504442498026524e-02,7.8100866410819161e-02,3.1375378563831108e-01
source,1334-127,325,1.4182846774430489e+00,5.5180925756884922e-02,-1.6103760422449875e-02,7.8374991362745020e-02,2.0547065004341014e-01
source,0017+200,382,1.3898024472460264e+00,5.6375624742429450e-02,1.2378469774572576e-02,7.9220677659451608e-02,1.5625301550416279e-01
source,1546+027,317,1.3901315745517320e+00,5.5592799283179874e-02,1.2049342468867019e-02,7.8665519993599706e-02,1.5317184034183418e-01
source,CTA26,343,1.3910616950923431e+00,5.6267375724256219e-02,1.1119221928255874e-02,7.9143681204617525e-02,1.4049412105949829e-01
source,0003-066,299,1.3924666220762174e+00,5.5556360241061489e-02,9.7142949443815851e-03,7.8639772805865288e-02,1.2352903114767202e-01
source,1741-038,285,1.3955793062783537e+00,5.4660776407325522e-02,6.6016107422453008e-03,7.8009648000584811e-02,8.4625567624607295e-02
source,0748+126,409,1.3961165826080408e+00,5.6083132774545290e-02,6.0643344125581589e-03,7.9012799504452363e-02,7.6751291570379479e-02
source,1149-084,299,1.4080598674459943e+00,5.5939986127037107e-02,-5.8789504253953240e-03,7.8911258712661622e-02,7.4500781273838981e-02
source,0458-020,348,1.3963431808134243e+00,5.5642787046819658e-02,5.8377362071746486e-03,7.8700854214304644e-02,7.4176275028455585e-02
time_quartile,Q2,3127,1.6527802082732979e+00,8.5841636771156415e-02,-2.5059929125269886e-01,1.0230587132356904e-01,2.4495103556677909e+00
time_quartile,Q4,3102,1.3654288856991408e+00,5.2416586605154324e-02,3.6752031321458212e-02,7.6453928970715138e-02,4.8070820971850492e-01
time_quartile,Q1,3108,1.4326625664691635e+00,5.3172952144977116e-02,-3.0481649448564463e-02,7.6974460332863259e-02,3.9599692309308354e-01
time_quartile,Q3,3090,1.3957658257093248e+00,7.5857969523684912e-02,6.4150913112741570e-03,9.4085791934700860e-02,6.8183422590803885e-02
