key,value
session,17APR19XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,1060
n_params,42
nuisance_mode,baseline_intercept_linear
intercept_s,-6.8081380004810045e-07
delta_gamma,3.6917869563435055e+01
delta_gamma_sigma,4.0852717081171273e+00
gamma_est,3.7917869563435055e+01
gamma_sigma,4.0852717081171273e+00
beta_est,1.9458934781717527e+01
beta_sigma,2.0426358540585636e+00
delta_beta,1.8458934781717527e+01
chi2,3.2311732916327548e+09
dof,1018
rmse_s,1.6388208576388319e-08
weighted_rmse_s,1.2490747362607386e-08
corr_template_residual,-3.0052097963675663e-02
