group_type,group_label,n_removed,beta_drop,beta_drop_sigma,impact_beta_all_minus_drop,sigma_combined,abs_z_impact
baseline,HARTRAO-ZELENCHK,242,1.1669407961786809e+00,7.4301170704174441e-02,1.9749494186005467e-02,1.0181774076171850e-01,1.9396908670586899e-01
baseline,BADARY-SESHAN25,338,1.1671936838407995e+00,6.8300798473315605e-02,1.9496606523886850e-02,9.7525316907468268e-02,1.9991328551523879e-01
baseline,SVETLOE-ZELENCHK,243,1.1710839655079708e+00,6.7250511062678237e-02,1.5606324856715537e-02,9.6792662965748857e-02,1.6123458512798647e-01
baseline,HARTRAO-SVETLOE,220,1.1953147278001990e+00,7.8639692853167367e-02,-8.6244374355126663e-03,1.0502566190150930e-01,8.2117429962978661e-02
baseline,SESHAN25-ZELENCHK,180,1.1940399740154848e+00,6.7574790458490297e-02,-7.3496836507984664e-03,9.7018249166424944e-02,7.5755682193262744e-02
baseline,BADARY-ZELENCHK,201,1.1796030576195591e+00,6.9397319801297208e-02,7.0872327451272366e-03,9.8296370031721730e-02,7.2100655831340246e-02
baseline,BADARY-SVETLOE,230,1.1826630396905757e+00,6.6578745803625397e-02,4.0272506741105829e-03,9.6327139263000058e-02,4.1808058506908018e-02
baseline,SESHAN25-SVETLOE,191,1.1834477670014294e+00,6.8063660291457190e-02,3.2425233632569217e-03,9.7359386902755959e-02,3.3304681411927987e-02
baseline,BADARY-SEJONG,342,1.1855618509558155e+00,7.2571804708473034e-02,1.1284394088708627e-03,1.0056269290574110e-01,1.1221252894734687e-02
baseline,HOBART26-SEJONG,243,1.1872504434980051e+00,7.1868968221204421e-02,-5.6015313331880812e-04,1.0005666873822121e-01,5.5983588138871559e-03
baseline,SEJONG-SVETLOE,165,1.1863894616405291e+00,7.1012053075629869e-02,3.0082872415726492e-04,9.9442948708421339e-02,3.0251388164215728e-03
baseline,SEJONG-SESHAN25,311,1.1866344487796374e+00,7.2459054061938560e-02,5.5841585048899134e-05,1.0048135588934187e-01,5.5574075961312033e-04
source,0202+319,225,1.1440743079752729e+00,6.9515049121397249e-02,4.2615982389413443e-02,9.8379522361922017e-02,4.3317939919078158e-01
source,0552+398,104,1.1682150887552447e+00,6.6581040704762146e-02,1.8475201609441605e-02,9.6328725451647265e-02,1.9179327373863506e-01
source,0017+200,176,1.1794543661202372e+00,7.0108706636578089e-02,7.2359242444490768e-03,9.8799894291762336e-02,7.3238177999269266e-02
source,1751+288,149,1.1819569289102754e+00,7.0337754259896620e-02,4.7333614544109448e-03,9.8962558779243620e-02,4.7829820821121680e-02
source,0420-014,155,1.1828031187592680e+00,7.0727094522650552e-02,3.8871716054182937e-03,9.9239660748239103e-02,3.9169537421935081e-02
source,3C446,122,1.1838064728938915e+00,6.9828578932369378e-02,2.8838174707948028e-03,9.8601312372218364e-02,2.9247252408856773e-02
source,2227-088,118,1.1841850111575247e+00,6.8503716412111587e-02,2.5052792071615926e-03,9.7667535691654719e-02,2.5651094700197889e-02
source,2215+150,169,1.1842714529619798e+00,7.0572144919889654e-02,2.4188374027065418e-03,9.9129289336722021e-02,2.4400834696698404e-02
source,0716+714,127,1.1848847838414345e+00,7.0474349804926534e-02,1.8055065232518430e-03,9.9059690824455898e-02,1.8226450216278070e-02
source,1123+264,95,1.1850140952707882e+00,7.0225282533126071e-02,1.6761950938981585e-03,9.8882651019615284e-02,1.6951356750798001e-02
source,1639-062,140,1.1850522554838556e+00,7.0471162918631078e-02,1.6380348808306966e-03,9.9057423593155725e-02,1.6536215272046254e-02
source,1149-084,99,1.1854264303920667e+00,7.0182355862098117e-02,1.2638599726195743e-03,9.8852169628004735e-02,1.2785353901443594e-02
time_quartile,Q2,1000,1.2498630956740644e+00,8.1279195867836565e-02,-6.3172805309378077e-02,1.0701633542002727e-01,5.9030992849298947e-01
time_quartile,Q1,1008,1.2415167613225899e+00,6.0402554089125288e-02,-5.4826470957903606e-02,9.2166463023701559e-02,5.9486356706348176e-01
time_quartile,Q3,1006,1.1970290104997405e+00,1.0297446427254800e-01,-1.0338720135054214e-02,1.2429774196673046e-01,8.3177055121576346e-02
time_quartile,Q4,996,1.1934242940485840e+00,7.9083887881232717e-02,-6.7340036838976491e-03,1.0535867163276609e-01,6.3915039735594037e-02
