mode,beta_selected,beta_selected_sigma,beta_all,beta_all_sigma,delta_beta_all_minus_selected,sigma_combined,abs_z_delta_beta,wrmse_selected_s,wrmse_all_s
baseline_intercept,1.1568698010885798e+00,1.2543328818829214e-01,1.1568698010885798e+00,1.2543328818829214e-01,0.0000000000000000e+00,1.7738945732893568e-01,0.0000000000000000e+00,1.7695160748921788e-08,1.7695160748921788e-08
baseline_intercept_linear,1.1866902903646863e+00,6.9614570068410556e-02,1.1866902903646863e+00,6.9614570068410556e-02,0.0000000000000000e+00,9.8449869129518322e-02,0.0000000000000000e+00,9.7862278135770652e-09,9.7862278135770652e-09
none,1.4592956486015078e+03,6.7046755063155456e+02,1.4592956486015078e+03,6.7046755063155456e+02,0.0000000000000000e+00,9.4818430323421421e+02,0.0000000000000000e+00,9.5009356626911864e-05,9.5009356626911864e-05
