key,value
session,18MAY22XA_ALL_baseline_intercept
n_points,4822
n_params,35
nuisance_mode,baseline_intercept
intercept_s,-9.5896867015433672e-06
delta_gamma,7.9030358412426249e+00
delta_gamma_sigma,1.9527584186774412e+00
gamma_est,8.9030358412426249e+00
gamma_sigma,1.9527584186774412e+00
beta_est,4.9515179206213125e+00
beta_sigma,9.7637920933872058e-01
delta_beta,3.9515179206213125e+00
chi2,4.8064163546685760e+10
dof,4787
rmse_s,3.1914887207244364e-08
weighted_rmse_s,3.2018877500785699e-08
corr_template_residual,2.6142122201418570e-02
