mode,n_points,n_params,beta_est,beta_sigma,delta_beta,gamma_est,gamma_sigma,chi2,dof,weighted_rmse_s,aic_like,delta_aic_base_minus_mode
none,325,2,-1.8324263366830593e+04,7.2743381770768674e+03,-1.8325263366830593e+04,-3.6649526733661187e+04,1.4548676354153735e+04,1.3121608375085766e+16,323,2.8465292172994016e-05,1.3121608375085770e+16,-1.3121605735888348e+16
baseline_intercept,325,52,-3.5226422165763452e+01,8.6287260201406006e+00,-3.6226422165763452e+01,-7.1452844331526904e+01,1.7257452040281201e+01,2.6391973171032009e+09,273,1.2766094075678319e-08,2.6391974211032009e+09,0.0000000000000000e+00
baseline_intercept_linear,325,102,1.7865628772686303e+01,4.3444271464780705e+01,1.6865628772686303e+01,3.4731257545372607e+01,8.6888542929561410e+01,2.1972403885745621e+09,223,1.1648255728585127e-08,2.1972405925745621e+09,4.4195682852863884e+08
