key,value
session,17MAY01XA_baseline_intercept_linear
n_points,1029
n_params,42
nuisance_mode,baseline_intercept_linear
intercept_s,-2.1175591288201848e-04
delta_gamma,8.0456068325135632e-02
delta_gamma_sigma,2.2457233917200479e-02
gamma_est,1.0804560683251356e+00
gamma_sigma,2.2457233917200479e-02
beta_est,1.0402280341625678e+00
beta_sigma,1.1228616958600239e-02
delta_beta,4.0228034162567816e-02
chi2,7.5559446849928513e+07
dof,987
rmse_s,5.5423087064764140e-09
weighted_rmse_s,3.8582084247958514e-09
corr_template_residual,-2.3684982842174607e-01
