key,value
session,18MAY01XA_baseline_intercept_linear
n_points,2645
n_params,90
nuisance_mode,baseline_intercept_linear
intercept_s,-2.0461434482252632e-04
delta_gamma,5.1888679845838226e-02
delta_gamma_sigma,3.2943013164069883e-02
gamma_est,1.0518886798458382e+00
gamma_sigma,3.2943013164069883e-02
beta_est,1.0259443399229191e+00
beta_sigma,1.6471506582034941e-02
delta_beta,2.5944339922919113e-02
chi2,1.4960342092048550e+08
dof,2555
rmse_s,6.0544662688753382e-09
weighted_rmse_s,3.6994086999684730e-09
corr_template_residual,3.1337569672593107e-01
