key,value
session,17MAY30XA_baseline_intercept
n_points,325
n_params,52
nuisance_mode,baseline_intercept
intercept_s,-5.2522784103668541e-06
delta_gamma,-7.2452844331526904e+01
delta_gamma_sigma,1.7257452040281201e+01
gamma_est,-7.1452844331526904e+01
gamma_sigma,1.7257452040281201e+01
beta_est,-3.5226422165763452e+01
beta_sigma,8.6287260201406006e+00
delta_beta,-3.6226422165763452e+01
chi2,2.6391973171032009e+09
dof,273
rmse_s,2.3057946977269805e-08
weighted_rmse_s,1.2766094075678319e-08
corr_template_residual,-9.0273913495883068e-02
