key,value
session,21MAY19XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,16993
n_params,256
nuisance_mode,baseline_intercept_linear
intercept_s,-1.3742639809763146e-05
delta_gamma,1.6448047177981064e+01
delta_gamma_sigma,4.1343472182213381e-01
gamma_est,1.7448047177981064e+01
gamma_sigma,4.1343472182213381e-01
beta_est,9.2240235889905318e+00
beta_sigma,2.0671736091106691e-01
delta_beta,8.2240235889905318e+00
chi2,2.6520403948702110e+10
dof,16737
rmse_s,1.0530952371249098e-08
weighted_rmse_s,6.5536790985664271e-09
corr_template_residual,9.8830869533066551e-03
