key,value
session,18MAY01XA_ALL_none
n_points,12427
n_params,2
nuisance_mode,none
intercept_s,-2.0741179365252777e-05
delta_gamma,1.7909232989645338e+04
delta_gamma_sigma,1.1893780102938283e+03
gamma_est,1.7910232989645338e+04
gamma_sigma,1.1893780102938283e+03
beta_est,8.9556164948226688e+03
beta_sigma,5.9468900514691416e+02
delta_beta,8.9546164948226688e+03
chi2,3.0688603142448978e+18
dof,12425
rmse_s,1.3018322739910144e-04
weighted_rmse_s,1.0592103002299012e-04
corr_template_residual,1.6332459331867943e-01
