key,value
session,18MAY21XA_ALLSKY_BASELINE_INTERCEPT
n_points,5197
n_params,21
nuisance_mode,baseline_intercept
intercept_s,-1.9195676082144277e-05
delta_gamma,1.8695442804531954e+01
delta_gamma_sigma,1.5371283240522990e+00
gamma_est,1.9695442804531954e+01
gamma_sigma,1.5371283240522990e+00
beta_est,1.0347721402265977e+01
beta_sigma,7.6856416202614952e-01
delta_beta,9.3477214022659769e+00
chi2,1.4378267044845371e+09
dof,5176
rmse_s,2.0438293848685728e-08
weighted_rmse_s,1.9222412557416263e-08
corr_template_residual,-1.6782306153698628e-01
