session,max_abs_bendsun_ns,n_points_all,n_points_stable,n_stable_sources_present,beta_est_stable,beta_sigma_stable,beta_est_all,beta_sigma_all,delta_beta_stable_minus_all,abs_z_stable_vs_all,top_source_by_points
17MAY01XA,5.7691633352725638e+01,4010,140,1,2.9887098089273856e+01,1.3561492614938119e+01,1.1866902903646863e+00,6.9614570068410556e-02,2.8700407798909168e+01,2.1162884122957450e+00,1639-062
18MAY01XA,3.8915678326779855e+01,12427,185,2,4.6054490745170263e+01,3.9960677300421343e+00,1.4021809170205990e+00,5.5657027442395014e-02,4.4652309828149662e+01,1.1172978656409789e+01,1639-062
20MAY06XA,1.1452581368343477e+01,719,48,1,2.2524339952431344e+01,6.3599550817500932e+00,9.2325738013260708e+00,1.2206749153850662e+00,1.3291766151105273e+01,2.0524532019093193e+00,0955+476
20MAY04XA,1.0106397771203248e+01,9994,672,2,3.9647687758979231e+01,2.8240206154993794e+00,8.0497082639269522e+00,2.7976357126395818e-01,3.1597979495052279e+01,1.1134500876307387e+01,0955+476
