key,value
session,18MAY07XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,9390
n_params,56
nuisance_mode,baseline_intercept_linear
intercept_s,-2.2227701337773308e-04
delta_gamma,8.1458410084293202e+00
delta_gamma_sigma,4.5276526747534090e-01
gamma_est,9.1458410084293202e+00
gamma_sigma,4.5276526747534090e-01
beta_est,5.0729205042146601e+00
beta_sigma,2.2638263373767045e-01
delta_beta,4.0729205042146601e+00
chi2,7.9450549387014160e+09
dof,9334
rmse_s,8.2352016156990033e-09
weighted_rmse_s,6.8381697649600330e-09
corr_template_residual,4.9567213503200402e-03
