key,value
session,17MAY15XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,3529
n_params,72
nuisance_mode,baseline_intercept_linear
intercept_s,-1.0674338995664876e-05
delta_gamma,5.5852051234514860e+01
delta_gamma_sigma,1.7899280679498206e+00
gamma_est,5.6852051234514860e+01
gamma_sigma,1.7899280679498206e+00
beta_est,2.8926025617257430e+01
beta_sigma,8.9496403397491031e-01
delta_beta,2.7926025617257430e+01
chi2,6.3622890667825975e+09
dof,3457
rmse_s,1.8689642895331380e-08
weighted_rmse_s,1.1948400217740626e-08
corr_template_residual,1.0973825530198932e-01
