group_type,group_label,n_removed,beta_drop,beta_drop_sigma,impact_beta_all_minus_drop,sigma_combined,abs_z_impact
baseline,KOKEE-NYALES20,235,1.5946430473718927e+01,0.0000000000000000e+00,6.2362731561129436e-01,7.2299218050773750e-01,8.6256439893075754e-01
baseline,ISHIOKA-KOKEE,267,1.6930677468570543e+01,7.5264825743871411e-01,-3.6061967924032245e-01,1.0436460571002344e+00,3.4553829508282002e-01
baseline,NYALES20-WETTZ13N,267,1.6429263731729272e+01,7.4168814198398614e-01,1.4079405760094943e-01,1.0357697586988097e+00,1.3593180957302961e-01
baseline,ISHIOKA-NYALES20,266,1.6461056841855957e+01,7.4827133751052100e-01,1.0900094747426436e-01,1.0404939632766337e+00,1.0475884658764190e-01
baseline,MATERA-NYALES20,232,1.6476440652974524e+01,2.8593727068223098e-15,9.3617136355696573e-02,7.2299218050773750e-01,1.2948568308159547e-01
baseline,NYALES20-WETTZELL,199,1.6478203230648198e+01,7.4679081470235165e-01,9.1854558682022969e-02,1.0394297542398596e+00,8.8370145560434418e-02
baseline,HOBART12-YARRA12M,330,1.6512091563232534e+01,7.4032391589761559e-01,5.7966226097686757e-02,1.0347933095673323e+00,5.6017202239086364e-02
baseline,HOBART12-KATH12M,270,1.6601073289743177e+01,2.8150590635620732e-15,-3.1015500412955532e-02,7.2299218050773750e-01,4.2898804785377068e-02
baseline,KATH12M-YARRA12M,288,1.6539060383758581e+01,7.3679424457615283e-01,3.0997405571639547e-02,1.0322710166985589e+00,3.0028359868880566e-02
baseline,MATERA-WETTZELL,211,1.6542776337285694e+01,0.0000000000000000e+00,2.7281452044526588e-02,7.2299218050773750e-01,3.7734090049725819e-02
baseline,MATERA-WETTZ13N,252,1.6557431174839245e+01,7.3601923510944445e-01,1.2626614490976351e-02,1.0317179883700898e+00,1.2238435922711692e-02
baseline,ISHIOKA-SEJONG,245,1.6565387088701847e+01,7.3520555027941359e-01,4.6707006283739361e-03,1.0311376698758454e+00,4.5296576440043293e-03
source,OJ287,551,1.1552818022134264e+01,8.6384561284623707e-01,5.0172397671959565e+00,1.1264754484270945e+00,4.4539273130200607e+00
source,0202+319,560,1.8863706146927075e+01,7.9070204040288106e-01,-2.2936483575968545e+00,1.0714137435055666e+00,2.1407680940252356e+00
source,0727-115,369,1.5948963199481215e+01,2.7050545483060683e-15,6.2109458984900634e-01,7.2299218050773750e-01,8.5906128253396696e-01
source,0059+581,569,1.6983145611520563e+01,7.4393407242050724e-01,-4.1308782219034157e-01,1.0373791964289112e+00,3.9820330271935367e-01
source,0454-234,364,1.6194368388654322e+01,7.4521338801392323e-01,3.7568940067589907e-01,1.0382970127812767e+00,3.6183230429368501e-01
source,0955+476,393,1.6220357064083061e+01,7.4477798922420213e-01,3.4970072524716045e-01,1.0379845597638622e+00,3.3690359067259740e-01
source,1751+288,358,1.6886439750699516e+01,0.0000000000000000e+00,-3.1638196136929508e-01,7.2299218050773750e-01,4.3760080661883333e-01
source,2318+049,176,1.6495788154605670e+01,7.3216626402634699e-01,7.4269634724551281e-02,1.0289728525348136e+00,7.2178420005535066e-02
source,1123+264,210,1.6517056401341470e+01,0.0000000000000000e+00,5.3001387988750537e-02,7.2299218050773750e-01,7.3308383434422655e-02
source,1849+670,210,1.6557024043662320e+01,7.3556572157812183e-01,1.3033745667900831e-02,1.0313945044628055e+00,1.2637012909710399e-02
source,0017+200,370,1.6559192715805267e+01,7.0846242588778385e-01,1.0865073524954028e-02,1.0122434005564751e+00,1.0733657062106817e-02
source,3C418,565,1.6568787122745562e+01,7.2886999602408020e-01,1.2706665846593523e-03,1.0266300035453257e+00,1.2377064573130337e-03
time_quartile,Q1,1862,2.0565575685866278e+01,9.0075363995806013e-01,-3.9955178965360574e+00,1.1550215638562891e+00,3.4592582697730401e+00
time_quartile,Q2,1851,2.0301028478672620e+01,8.8623539393692818e-01,-3.7309706893423993e+00,1.1437354880136732e+00,3.2620922656006597e+00
time_quartile,Q3,1849,1.3196157418703889e+01,2.5481562401775807e-15,3.3739003706263322e+00,7.2299218050773750e-01,4.6665793373545688e+00
time_quartile,Q4,1843,1.7233683976031131e+01,6.8466155356889491e-01,-6.6362618670090967e-01,9.9573045349165934e-01,6.6647171870039479e-01
