mode,beta_selected,beta_selected_sigma,beta_all,beta_all_sigma,delta_beta_all_minus_selected,sigma_combined,abs_z_delta_beta,wrmse_selected_s,wrmse_all_s
baseline_intercept,1.3888747757588427e+00,4.2037239421348661e-02,1.1683469807950417e+00,8.7655786976539987e-02,-2.2052779496380093e-01,9.7214538463361269e-02,2.2684651745470625e+00,1.0246241222749797e-08,1.5220843702963768e-08
baseline_intercept_linear,1.0259443399229191e+00,1.6471506582034941e-02,1.4021809170205990e+00,5.5657027442395014e-02,3.7623657709767988e-01,5.8043218663385063e-02,6.4820074723908823e+00,3.6994086999684730e-09,9.6002050459550156e-09
none,5.6606826209872070e+03,2.8002107615852663e+02,8.9556164948226688e+03,5.9468900514691416e+02,3.2949338738354618e+03,6.5731789564533074e+02,5.0126946119436102e+00,1.0526854452718136e-04,1.0592103002299012e-04
