key,value
session,18MAY16XA_ALL_none
n_points,1091
n_params,2
nuisance_mode,none
intercept_s,-3.8317425558331200e-06
delta_gamma,4.7810219554214191e+03
delta_gamma_sigma,1.7632144782494458e+03
gamma_est,4.7820219554214191e+03
gamma_sigma,1.7632144782494458e+03
beta_est,2.3915109777107095e+03
beta_sigma,8.8160723912472292e+02
delta_beta,2.3905109777107095e+03
chi2,1.6834860701764647e+14
dof,1089
rmse_s,1.3780481596161662e-05
weighted_rmse_s,1.0184032749669751e-05
corr_template_residual,1.0253359232229008e-01
