key,value
session,22MAY04XA_ALLSKY_BASELINE_INTERCEPT_LINEAR
n_points,14287
n_params,212
nuisance_mode,baseline_intercept_linear
intercept_s,-2.1704323040627455e-05
delta_gamma,1.0106270802870199e+01
delta_gamma_sigma,4.7043305341112895e-01
gamma_est,1.1106270802870199e+01
gamma_sigma,4.7043305341112895e-01
beta_est,6.0531354014350995e+00
beta_sigma,2.3521652670556448e-01
delta_beta,5.0531354014350995e+00
chi2,1.6718221926096966e+10
dof,14075
rmse_s,1.0499278297598354e-08
weighted_rmse_s,6.8178610230139238e-09
corr_template_residual,-3.3201763451585424e-02
